GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
42b29b42-1b58-44a7-a3e1-99f81839c43f	1	3301765	157775246	71741	-0.0003
42b29b42-1b58-44a7-a3e1-99f81839c43f	1	157779754	157780080	4	-1.2718
42b29b42-1b58-44a7-a3e1-99f81839c43f	1	157780469	247650984	57538	0.0003
42b29b42-1b58-44a7-a3e1-99f81839c43f	2	480597	41909072	24783	0.0096
42b29b42-1b58-44a7-a3e1-99f81839c43f	2	41909107	41914891	4	-1.3975
42b29b42-1b58-44a7-a3e1-99f81839c43f	2	41915387	51430923	5855	0.0037
42b29b42-1b58-44a7-a3e1-99f81839c43f	2	51431007	51437306	17	-1.0559
42b29b42-1b58-44a7-a3e1-99f81839c43f	2	51437365	241537572	101143	0.0027
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	2170634	31442209	17570	0.0047
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	31443689	31443910	3	-2.0057
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	31446153	88405157	32584	0.0031
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	88409646	88412823	4	-1.2321
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	88418508	106046921	7386	-0.0007
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	106046923	106047288	2	-2.1548
42b29b42-1b58-44a7-a3e1-99f81839c43f	3	106047854	197812401	49237	0.0021
42b29b42-1b58-44a7-a3e1-99f81839c43f	4	1059384	39988834	24130	0.0026
42b29b42-1b58-44a7-a3e1-99f81839c43f	4	39993535	40002832	4	-1.2499
42b29b42-1b58-44a7-a3e1-99f81839c43f	4	40003768	187842528	79019	-0.0011
42b29b42-1b58-44a7-a3e1-99f81839c43f	5	913983	119508143	63648	-0.0001
42b29b42-1b58-44a7-a3e1-99f81839c43f	5	119508585	119508791	2	-2.0052
42b29b42-1b58-44a7-a3e1-99f81839c43f	5	119508868	175336319	34675	0.0024
42b29b42-1b58-44a7-a3e1-99f81839c43f	5	175338797	175347282	15	-1.2528
42b29b42-1b58-44a7-a3e1-99f81839c43f	5	175347627	180934240	2437	0.0111
42b29b42-1b58-44a7-a3e1-99f81839c43f	6	1011760	24946443	16905	-0.0012
42b29b42-1b58-44a7-a3e1-99f81839c43f	6	24947544	24947577	2	1.847
42b29b42-1b58-44a7-a3e1-99f81839c43f	6	24950971	52298232	13993	0.0033
