GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-F4-6856-01A-11D-A920-36	chr1	17001	16603000	15171	-0.011040
TCGA-F4-6856-01A-11D-A920-36	chr1	16604001	16640000	36	-0.165755
TCGA-F4-6856-01A-11D-A920-36	chr1	16640001	16949000	169	-0.058594
TCGA-F4-6856-01A-11D-A920-36	chr1	16949001	120574000	101992	0.010452
TCGA-F4-6856-01A-11D-A920-36	chr1	120671001	120936000	28	-0.769357
TCGA-F4-6856-01A-11D-A920-36	chr1	120941001	122742000	291	-0.009053
TCGA-F4-6856-01A-11D-A920-36	chr1	122756001	122905000	22	-0.557944
TCGA-F4-6856-01A-11D-A920-36	chr1	122912001	122914000	2	2.073092
TCGA-F4-6856-01A-11D-A920-36	chr1	122922001	122923000	1	-6.739134
TCGA-F4-6856-01A-11D-A920-36	chr1	122925001	122937000	4	0.608569
TCGA-F4-6856-01A-11D-A920-36	chr1	122948001	122949000	1	-4.694548
TCGA-F4-6856-01A-11D-A920-36	chr1	122998001	123186000	24	0.495855
TCGA-F4-6856-01A-11D-A920-36	chr1	123195001	123525000	34	-0.325501
TCGA-F4-6856-01A-11D-A920-36	chr1	123525001	123532000	4	-2.404324
TCGA-F4-6856-01A-11D-A920-36	chr1	123535001	123688000	22	-0.109537
TCGA-F4-6856-01A-11D-A920-36	chr1	123692001	123721000	3	-3.041913
TCGA-F4-6856-01A-11D-A920-36	chr1	123742001	124553000	113	0.027740
TCGA-F4-6856-01A-11D-A920-36	chr1	124555001	124591000	8	-1.781630
TCGA-F4-6856-01A-11D-A920-36	chr1	124591001	124640000	15	-0.185651
TCGA-F4-6856-01A-11D-A920-36	chr1	124642001	124643000	1	-4.735940
TCGA-F4-6856-01A-11D-A920-36	chr1	124653001	143536000	368	-0.044675
TCGA-F4-6856-01A-11D-A920-36	chr1	143536001	145226000	329	-0.929927
TCGA-F4-6856-01A-11D-A920-36	chr1	145232001	248931000	99673	0.009198
TCGA-F4-6856-01A-11D-A920-36	chr2	11001	6267000	6154	-0.036695
TCGA-F4-6856-01A-11D-A920-36	chr2	6267001	242159000	226742	0.006190
TCGA-F4-6856-01A-11D-A920-36	chr3	12001	91000	78	-0.023940
TCGA-F4-6856-01A-11D-A920-36	chr3	91001	108000	17	-0.042328
TCGA-F4-6856-01A-11D-A920-36	chr3	108001	121000	13	-0.041788
TCGA-F4-6856-01A-11D-A920-36	chr3	121001	163000	40	-0.029949
TCGA-F4-6856-01A-11D-A920-36	chr3	163001	3176000	2988	-0.020566
TCGA-F4-6856-01A-11D-A920-36	chr3	3176001	3200000	24	-0.038339
