GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e174cea5-8f30-4631-aeb8-51639d26428a	1	3301765	247650984	129743	-0.102
e174cea5-8f30-4631-aeb8-51639d26428a	2	480597	14712369	9076	0.0502
e174cea5-8f30-4631-aeb8-51639d26428a	2	14713007	14713963	2	-2.3712
e174cea5-8f30-4631-aeb8-51639d26428a	2	14716790	39055210	14008	0.0632
e174cea5-8f30-4631-aeb8-51639d26428a	2	39055417	39055543	2	-2.7664
e174cea5-8f30-4631-aeb8-51639d26428a	2	39059061	225868751	99910	0.0611
e174cea5-8f30-4631-aeb8-51639d26428a	2	225869074	225870874	3	-1.8389
e174cea5-8f30-4631-aeb8-51639d26428a	2	225873135	230213733	2576	0.0606
e174cea5-8f30-4631-aeb8-51639d26428a	2	230213930	230214061	2	-1.8361
e174cea5-8f30-4631-aeb8-51639d26428a	2	230217409	241537572	6627	0.0442
e174cea5-8f30-4631-aeb8-51639d26428a	3	2170634	24738343	13211	-0.0531
e174cea5-8f30-4631-aeb8-51639d26428a	3	24738775	24743916	8	-0.8514
e174cea5-8f30-4631-aeb8-51639d26428a	3	24747413	59715251	20404	-0.0431
e174cea5-8f30-4631-aeb8-51639d26428a	3	59715704	59720118	5	-0.232
e174cea5-8f30-4631-aeb8-51639d26428a	3	61040294	61081314	62	-0.6236
e174cea5-8f30-4631-aeb8-51639d26428a	3	61085325	61199120	108	-0.2746
e174cea5-8f30-4631-aeb8-51639d26428a	3	61201204	167416001	57456	-0.0452
e174cea5-8f30-4631-aeb8-51639d26428a	3	167416011	167417574	2	-1.9112
e174cea5-8f30-4631-aeb8-51639d26428a	3	167418166	197812401	15937	-0.048
e174cea5-8f30-4631-aeb8-51639d26428a	4	1059384	41403149	24972	-0.1104
e174cea5-8f30-4631-aeb8-51639d26428a	4	41404113	41405550	17	-0.9582
e174cea5-8f30-4631-aeb8-51639d26428a	4	41407153	96312146	28688	-0.0994
e174cea5-8f30-4631-aeb8-51639d26428a	4	96312159	96316977	2	-2.0013
e174cea5-8f30-4631-aeb8-51639d26428a	4	96320386	187842528	49822	-0.1125
e174cea5-8f30-4631-aeb8-51639d26428a	5	913983	45383300	26137	0.3444
e174cea5-8f30-4631-aeb8-51639d26428a	5	50828231	180934240	74987	-0.1089
e174cea5-8f30-4631-aeb8-51639d26428a	6	1011760	92595738	51715	0.1481
e174cea5-8f30-4631-aeb8-51639d26428a	6	92596385	118227095	14240	-0.6437
e174cea5-8f30-4631-aeb8-51639d26428a	6	118227934	143332585	14764	0.1532
e174cea5-8f30-4631-aeb8-51639d26428a	6	143337875	143338056	2	-1.7324
e174cea5-8f30-4631-aeb8-51639d26428a	6	143341413	170596889	16460	0.1393
e174cea5-8f30-4631-aeb8-51639d26428a	7	664936	54467709	32211	0.0692
e174cea5-8f30-4631-aeb8-51639d26428a	7	54467767	54467776	2	-2.7735
e174cea5-8f30-4631-aeb8-51639d26428a	7	54467893	54473272	6	-0.3452
e174cea5-8f30-4631-aeb8-51639d26428a	7	54474771	55022686	366	0.071
e174cea5-8f30-4631-aeb8-51639d26428a	7	55022920	55023177	7	-1.1252
e174cea5-8f30-4631-aeb8-51639d26428a	7	55025406	93910482	15058	0.0691
e174cea5-8f30-4631-aeb8-51639d26428a	7	93915505	93916019	2	-2.1473
e174cea5-8f30-4631-aeb8-51639d26428a	7	93916756	158592540	34291	0.0666
e174cea5-8f30-4631-aeb8-51639d26428a	8	667625	35374424	20874	-0.5309
e174cea5-8f30-4631-aeb8-51639d26428a	8	35399927	35538629	69	0.731
e174cea5-8f30-4631-aeb8-51639d26428a	8	35541901	36122284	304	-0.5524
e174cea5-8f30-4631-aeb8-51639d26428a	8	36126731	36335055	116	0.6644
e174cea5-8f30-4631-aeb8-51639d26428a	8	36338517	37067019	308	-0.5208
e174cea5-8f30-4631-aeb8-51639d26428a	8	37068563	37071854	2	-2.3238
e174cea5-8f30-4631-aeb8-51639d26428a	8	37071920	37354066	224	-0.5294
e174cea5-8f30-4631-aeb8-51639d26428a	8	37356605	38266279	402	0.6964
e174cea5-8f30-4631-aeb8-51639d26428a	8	38270728	38339886	27	-0.5151
e174cea5-8f30-4631-aeb8-51639d26428a	8	38346560	144182542	59877	0.6915
e174cea5-8f30-4631-aeb8-51639d26428a	9	789794	3176005	1710	-0.0712
e174cea5-8f30-4631-aeb8-51639d26428a	9	3176796	3177564	2	-1.6799
e174cea5-8f30-4631-aeb8-51639d26428a	9	3178150	13217801	5052	-0.0689
e174cea5-8f30-4631-aeb8-51639d26428a	9	13219571	13219688	2	-2.4492
e174cea5-8f30-4631-aeb8-51639d26428a	9	13220511	25465154	9098	-0.0739
e174cea5-8f30-4631-aeb8-51639d26428a	9	25465751	25466643	2	-1.961
e174cea5-8f30-4631-aeb8-51639d26428a	9	25467901	29338612	2143	-0.0719
e174cea5-8f30-4631-aeb8-51639d26428a	9	29340916	31248791	938	-0.4949
e174cea5-8f30-4631-aeb8-51639d26428a	9	31249991	138044505	49521	-0.0893
e174cea5-8f30-4631-aeb8-51639d26428a	10	366509	133411599	81300	-0.0922
e174cea5-8f30-4631-aeb8-51639d26428a	11	456012	134272740	77599	0.0638
e174cea5-8f30-4631-aeb8-51639d26428a	12	780472	132605822	74364	0.0986
e174cea5-8f30-4631-aeb8-51639d26428a	13	18874255	62979513	25778	0.3612
e174cea5-8f30-4631-aeb8-51639d26428a	13	62979918	62979930	2	-2.7199
e174cea5-8f30-4631-aeb8-51639d26428a	13	62982658	65747641	1018	0.357
e174cea5-8f30-4631-aeb8-51639d26428a	13	65749651	69748727	2038	0.3121
e174cea5-8f30-4631-aeb8-51639d26428a	13	69749009	114226675	28200	0.3583
e174cea5-8f30-4631-aeb8-51639d26428a	14	20033191	21380012	791	-0.0911
e174cea5-8f30-4631-aeb8-51639d26428a	14	21380640	21380762	3	-1.7514
e174cea5-8f30-4631-aeb8-51639d26428a	14	21387092	105533894	48986	-0.0904
e174cea5-8f30-4631-aeb8-51639d26428a	15	23437561	70423017	26915	0.0038
e174cea5-8f30-4631-aeb8-51639d26428a	15	70423361	101344124	17888	0.0621
e174cea5-8f30-4631-aeb8-51639d26428a	16	603333	6375599	2544	-0.0868
e174cea5-8f30-4631-aeb8-51639d26428a	16	6375751	6583259	238	-1.621
e174cea5-8f30-4631-aeb8-51639d26428a	16	7081613	46824225	11372	-0.0745
e174cea5-8f30-4631-aeb8-51639d26428a	16	46825555	53978402	4708	-0.0304
e174cea5-8f30-4631-aeb8-51639d26428a	16	53980325	66028576	8023	-0.0885
e174cea5-8f30-4631-aeb8-51639d26428a	16	66028860	77302582	5883	-0.0566
e174cea5-8f30-4631-aeb8-51639d26428a	16	77302703	89317317	8449	-0.0922
e174cea5-8f30-4631-aeb8-51639d26428a	17	1074619	26943774	9721	-0.5173
e174cea5-8f30-4631-aeb8-51639d26428a	17	26947350	82959812	27544	0.0607
e174cea5-8f30-4631-aeb8-51639d26428a	18	326691	79349796	42891	-0.5096
e174cea5-8f30-4631-aeb8-51639d26428a	19	283868	1731832	288	-0.5778
e174cea5-8f30-4631-aeb8-51639d26428a	19	1846112	11593815	3726	0.1797
e174cea5-8f30-4631-aeb8-51639d26428a	19	11594158	12655485	451	0.0501
e174cea5-8f30-4631-aeb8-51639d26428a	19	12655556	23860401	4577	0.1813
e174cea5-8f30-4631-aeb8-51639d26428a	19	23860649	28846445	836	0.0395
e174cea5-8f30-4631-aeb8-51639d26428a	19	28847133	28848671	4	-2.6528
e174cea5-8f30-4631-aeb8-51639d26428a	19	28849867	58370362	14270	0.0242
e174cea5-8f30-4631-aeb8-51639d26428a	20	472817	14378448	8901	-0.5289
e174cea5-8f30-4631-aeb8-51639d26428a	20	14385379	14539796	73	-1.5087
e174cea5-8f30-4631-aeb8-51639d26428a	20	14543066	22952704	6233	-0.5313
