GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3845-01A-01D-A91V-36	chr1	17001	16585000	15160	-0.034049
TCGA-AA-3845-01A-01D-A91V-36	chr1	16585001	16675000	62	-0.315940
TCGA-AA-3845-01A-01D-A91V-36	chr1	16675001	16949000	154	0.320499
TCGA-AA-3845-01A-01D-A91V-36	chr1	16949001	48975000	31764	-0.024275
TCGA-AA-3845-01A-01D-A91V-36	chr1	48975001	48983000	8	-0.584338
TCGA-AA-3845-01A-01D-A91V-36	chr1	48983001	248931000	171163	-0.006067
TCGA-AA-3845-01A-01D-A91V-36	chr2	11001	242159000	232896	-0.007966
TCGA-AA-3845-01A-01D-A91V-36	chr3	12001	60072000	59753	-0.009018
TCGA-AA-3845-01A-01D-A91V-36	chr3	60072001	60256000	184	-0.494542
TCGA-AA-3845-01A-01D-A91V-36	chr3	60256001	60286000	30	-0.594035
TCGA-AA-3845-01A-01D-A91V-36	chr3	60286001	60418000	132	-1.184951
TCGA-AA-3845-01A-01D-A91V-36	chr3	60418001	60517000	99	-0.611114
TCGA-AA-3845-01A-01D-A91V-36	chr3	60517001	60619000	102	-1.367327
TCGA-AA-3845-01A-01D-A91V-36	chr3	60619001	60718000	99	-0.636338
TCGA-AA-3845-01A-01D-A91V-36	chr3	60718001	84053000	23191	-0.018624
TCGA-AA-3845-01A-01D-A91V-36	chr3	84053001	84059000	6	-0.151260
TCGA-AA-3845-01A-01D-A91V-36	chr3	84059001	90669000	6560	-0.012465
TCGA-AA-3845-01A-01D-A91V-36	chr3	90673001	90718000	7	-2.196937
TCGA-AA-3845-01A-01D-A91V-36	chr3	90777001	90799000	3	-2.195972
TCGA-AA-3845-01A-01D-A91V-36	chr3	90811001	91736000	279	-0.006456
TCGA-AA-3845-01A-01D-A91V-36	chr3	93470001	93718000	4	-0.624583
TCGA-AA-3845-01A-01D-A91V-36	chr3	93718001	195615000	101031	-0.000015
TCGA-AA-3845-01A-01D-A91V-36	chr3	195615001	195698000	60	-0.283613
TCGA-AA-3845-01A-01D-A91V-36	chr3	195698001	195751000	49	-0.155420
TCGA-AA-3845-01A-01D-A91V-36	chr3	195751001	198175000	2340	-0.016964
TCGA-AA-3845-01A-01D-A91V-36	chr4	15001	49092000	48388	-0.016004
TCGA-AA-3845-01A-01D-A91V-36	chr4	49092001	49658000	296	-0.084437
TCGA-AA-3845-01A-01D-A91V-36	chr4	49709001	105389000	52988	0.004595
TCGA-AA-3845-01A-01D-A91V-36	chr4	105389001	105439000	50	-0.414729
TCGA-AA-3845-01A-01D-A91V-36	chr4	105439001	119406000	13839	0.010384
TCGA-AA-3845-01A-01D-A91V-36	chr4	119406001	119450000	22	-0.117268
TCGA-AA-3845-01A-01D-A91V-36	chr4	119450001	190204000	69996	-0.007430
TCGA-AA-3845-01A-01D-A91V-36	chr5	13001	686000	631	-0.052668
TCGA-AA-3845-01A-01D-A91V-36	chr5	686001	790000	71	0.881277
TCGA-AA-3845-01A-01D-A91V-36	chr5	790001	844000	46	0.721373
TCGA-AA-3845-01A-01D-A91V-36	chr5	844001	21478000	20363	-0.029668
TCGA-AA-3845-01A-01D-A91V-36	chr5	21478001	21497000	19	-1.247514
TCGA-AA-3845-01A-01D-A91V-36	chr5	21497001	49603000	24754	-0.018380
TCGA-AA-3845-01A-01D-A91V-36	chr5	49622001	49631000	2	-0.998194
TCGA-AA-3845-01A-01D-A91V-36	chr5	49631001	171058000	118346	0.000351
TCGA-AA-3845-01A-01D-A91V-36	chr5	171060001	171084000	24	-1.014241
TCGA-AA-3845-01A-01D-A91V-36	chr5	171088001	180753000	9218	-0.027341
TCGA-AA-3845-01A-01D-A91V-36	chr5	180753001	180769000	16	0.541347
TCGA-AA-3845-01A-01D-A91V-36	chr5	180769001	181474000	452	-0.020168
TCGA-AA-3845-01A-01D-A91V-36	chr6	148001	256000	108	-0.035866
TCGA-AA-3845-01A-01D-A91V-36	chr6	256001	382000	126	-0.523055
TCGA-AA-3845-01A-01D-A91V-36	chr6	382001	32486000	31715	-0.014983
TCGA-AA-3845-01A-01D-A91V-36	chr6	32487001	32534000	8	-1.374491
TCGA-AA-3845-01A-01D-A91V-36	chr6	32534001	75532000	40816	-0.002852
TCGA-AA-3845-01A-01D-A91V-36	chr6	75532001	75556000	24	-1.008061
TCGA-AA-3845-01A-01D-A91V-36	chr6	75556001	78265000	2664	-0.004122
TCGA-AA-3845-01A-01D-A91V-36	chr6	78265001	78273000	8	-8.819588
TCGA-AA-3845-01A-01D-A91V-36	chr6	78273001	78274000	1	-9.138465
TCGA-AA-3845-01A-01D-A91V-36	chr6	78274001	78278000	4	-29.668317
TCGA-AA-3845-01A-01D-A91V-36	chr6	78278001	78279000	1	-24.919148
TCGA-AA-3845-01A-01D-A91V-36	chr6	78279001	78282000	3	-29.672769
TCGA-AA-3845-01A-01D-A91V-36	chr6	78282001	78286000	4	-9.293746
TCGA-AA-3845-01A-01D-A91V-36	chr6	78286001	78318000	32	-29.674071
TCGA-AA-3845-01A-01D-A91V-36	chr6	78318001	78319000	1	-9.188178
TCGA-AA-3845-01A-01D-A91V-36	chr6	78319001	78326000	7	-29.671967
TCGA-AA-3845-01A-01D-A91V-36	chr6	78326001	162643000	83740	0.002124
TCGA-AA-3845-01A-01D-A91V-36	chr6	162643001	170612000	7787	-0.043527
TCGA-AA-3845-01A-01D-A91V-36	chr7	35001	61267000	57429	-0.008542
TCGA-AA-3845-01A-01D-A91V-36	chr7	61268001	61481000	5	-1.102389
TCGA-AA-3845-01A-01D-A91V-36	chr7	61725001	76624000	12801	-0.041477
TCGA-AA-3845-01A-01D-A91V-36	chr7	76624001	77073000	322	0.040166
TCGA-AA-3845-01A-01D-A91V-36	chr7	77073001	100730000	23513	0.004345
TCGA-AA-3845-01A-01D-A91V-36	chr7	100730001	100740000	10	-29.919104
TCGA-AA-3845-01A-01D-A91V-36	chr7	100743001	111118000	10081	-0.004147
TCGA-AA-3845-01A-01D-A91V-36	chr7	111118001	111185000	67	-0.518167
TCGA-AA-3845-01A-01D-A91V-36	chr7	111185001	133477000	22165	0.003643
TCGA-AA-3845-01A-01D-A91V-36	chr7	133477001	135050000	1553	0.354274
TCGA-AA-3845-01A-01D-A91V-36	chr7	135050001	137825000	2753	0.363762
TCGA-AA-3845-01A-01D-A91V-36	chr7	137825001	138460000	635	0.350327
TCGA-AA-3845-01A-01D-A91V-36	chr7	138460001	139125000	664	0.378528
TCGA-AA-3845-01A-01D-A91V-36	chr7	139125001	141857000	2720	0.373734
TCGA-AA-3845-01A-01D-A91V-36	chr7	141857001	142216000	346	0.420820
TCGA-AA-3845-01A-01D-A91V-36	chr7	142216001	142768000	549	0.455689
TCGA-AA-3845-01A-01D-A91V-36	chr7	142768001	145446000	2164	0.383888
TCGA-AA-3845-01A-01D-A91V-36	chr7	145446001	147093000	1635	0.339285
TCGA-AA-3845-01A-01D-A91V-36	chr7	147093001	147228000	135	0.352043
TCGA-AA-3845-01A-01D-A91V-36	chr7	147228001	148630000	1391	0.347436
TCGA-AA-3845-01A-01D-A91V-36	chr7	148630001	149399000	768	0.391191
TCGA-AA-3845-01A-01D-A91V-36	chr7	149399001	152578000	3111	0.379517
TCGA-AA-3845-01A-01D-A91V-36	chr7	152578001	153821000	1209	0.338498
TCGA-AA-3845-01A-01D-A91V-36	chr7	153822001	155588000	1711	0.328576
TCGA-AA-3845-01A-01D-A91V-36	chr7	155588001	157813000	2209	0.367671
TCGA-AA-3845-01A-01D-A91V-36	chr7	157813001	158630000	781	0.324508
TCGA-AA-3845-01A-01D-A91V-36	chr7	158630001	159063000	426	0.364747
TCGA-AA-3845-01A-01D-A91V-36	chr7	159063001	159335000	265	0.325404
TCGA-AA-3845-01A-01D-A91V-36	chr8	205001	7941000	6695	-0.042485
TCGA-AA-3845-01A-01D-A91V-36	chr8	8049001	12328000	3838	-0.006856
TCGA-AA-3845-01A-01D-A91V-36	chr8	12374001	12393000	16	-29.785824
TCGA-AA-3845-01A-01D-A91V-36	chr8	12393001	145076000	129431	-0.000234
TCGA-AA-3845-01A-01D-A91V-36	chr9	10001	65647000	40739	-0.006500
TCGA-AA-3845-01A-01D-A91V-36	chr9	65648001	67724000	168	-0.492671
TCGA-AA-3845-01A-01D-A91V-36	chr9	67759001	138219000	69234	-0.020619
TCGA-AA-3845-01A-01D-A91V-36	chr10	47001	1988000	1897	0.332749
TCGA-AA-3845-01A-01D-A91V-36	chr10	1988001	2953000	958	0.324355
TCGA-AA-3845-01A-01D-A91V-36	chr10	2953001	4212000	1254	0.366673
TCGA-AA-3845-01A-01D-A91V-36	chr10	4212001	4678000	463	0.397349
TCGA-AA-3845-01A-01D-A91V-36	chr10	4678001	4827000	148	0.444130
TCGA-AA-3845-01A-01D-A91V-36	chr10	4827001	6854000	1998	0.380375
TCGA-AA-3845-01A-01D-A91V-36	chr10	6854001	11193000	4316	0.332001
TCGA-AA-3845-01A-01D-A91V-36	chr10	11193001	12302000	1101	0.372251
TCGA-AA-3845-01A-01D-A91V-36	chr10	12302001	14810000	2499	0.337450
TCGA-AA-3845-01A-01D-A91V-36	chr10	14810001	16667000	1852	0.361022
TCGA-AA-3845-01A-01D-A91V-36	chr10	16667001	16934000	267	0.393845
TCGA-AA-3845-01A-01D-A91V-36	chr10	16934001	17479000	545	0.421019
TCGA-AA-3845-01A-01D-A91V-36	chr10	17479001	18500000	1016	0.356969
TCGA-AA-3845-01A-01D-A91V-36	chr10	18500001	20477000	1961	0.341732
TCGA-AA-3845-01A-01D-A91V-36	chr10	20477001	23368000	2862	0.378239
TCGA-AA-3845-01A-01D-A91V-36	chr10	23368001	24225000	854	0.342308
TCGA-AA-3845-01A-01D-A91V-36	chr10	24225001	24568000	342	0.364831
TCGA-AA-3845-01A-01D-A91V-36	chr10	24568001	25650000	1070	0.391487
TCGA-AA-3845-01A-01D-A91V-36	chr10	25650001	26734000	1081	0.345474
TCGA-AA-3845-01A-01D-A91V-36	chr10	26734001	29587000	2842	0.354424
TCGA-AA-3845-01A-01D-A91V-36	chr10	29587001	31812000	2212	0.374535
TCGA-AA-3845-01A-01D-A91V-36	chr10	31812001	33418000	1601	0.391206
TCGA-AA-3845-01A-01D-A91V-36	chr10	33418001	34210000	786	0.336501
TCGA-AA-3845-01A-01D-A91V-36	chr10	34210001	35407000	1196	0.354734
TCGA-AA-3845-01A-01D-A91V-36	chr10	35407001	39257000	3686	-0.057882
TCGA-AA-3845-01A-01D-A91V-36	chr10	39257001	39268000	11	-1.022644
TCGA-AA-3845-01A-01D-A91V-36	chr10	39268001	39341000	72	-0.034759
TCGA-AA-3845-01A-01D-A91V-36	chr10	39341001	39360000	19	-1.029110
TCGA-AA-3845-01A-01D-A91V-36	chr10	39360001	41846000	359	-0.014360
TCGA-AA-3845-01A-01D-A91V-36	chr10	41846001	41885000	39	0.095870
TCGA-AA-3845-01A-01D-A91V-36	chr10	41885001	41912000	27	0.045897
TCGA-AA-3845-01A-01D-A91V-36	chr10	41912001	42086000	22	-0.723321
TCGA-AA-3845-01A-01D-A91V-36	chr10	42086001	46522000	4056	0.004592
TCGA-AA-3845-01A-01D-A91V-36	chr10	46522001	46955000	128	0.295199
TCGA-AA-3845-01A-01D-A91V-36	chr10	46992001	47582000	489	-0.011646
TCGA-AA-3845-01A-01D-A91V-36	chr10	47587001	48162000	89	0.448383
TCGA-AA-3845-01A-01D-A91V-36	chr10	48177001	69521000	21107	0.021194
TCGA-AA-3845-01A-01D-A91V-36	chr10	69521001	69531000	10	-0.980609
TCGA-AA-3845-01A-01D-A91V-36	chr10	69531001	125984000	55834	0.018185
