GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	62920	805477	27	0.3771
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	806913	1937525	290	0.0233
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	1938876	3302046	422	0.1003
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	3302359	5292949	1524	0.005
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	5297111	5313306	18	0.3506
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	5313598	10610834	3078	0.0089
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	10611363	10619664	3	-1.5625
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	10621749	15823420	2979	0.0085
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	15827002	15828471	9	0.6628
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	15828515	16718963	336	0.008
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	16719082	16788139	18	-1.266
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	16855942	16951445	58	-0.3535
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	16955930	25090270	5143	0.0029
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	25092208	25097831	3	-1.0801
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	25098398	25273814	122	-0.0095
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	25273831	25320455	19	0.8198
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	25336819	72284670	28738	0.0013
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	72290430	72297687	9	-1.1155
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	72302735	72345465	48	0.9134
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	72346221	105470754	20966	0.0024
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	105476583	105481448	19	-0.6028
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	105481468	109684893	2636	-0.0011
9d7127a7-09f6-4b7c-996a-d5db93959d29	1	109690352	109697556	13	2.1505
