GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	3301765	46643656	23198	-0.1789
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	46644513	55071608	4540	-0.1439
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	55073564	109015661	33505	-0.1175
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	109016849	119984772	6830	-0.1409
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	146716041	161778266	6268	0.2562
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	161778463	173422208	8556	0.2946
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	173422756	174084939	356	0.2438
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	174088034	174107493	7	-0.1971
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	174107539	175136451	475	0.2277
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	175136642	186033532	6858	0.2889
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	186033905	205368386	11756	0.2613
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	205370757	241495334	24152	0.2794
1d415193-fcd9-4b98-afee-cb3f02f197b6	1	241496059	247650984	3166	0.26
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	480597	6967324	3921	0.0484
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	6968081	60927190	32092	0.0803
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	60927508	61888008	458	0.0062
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	61891195	85283842	13140	0.0812
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	85284471	95911509	1426	0.0514
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	95914768	115308491	10021	0.2736
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	115308764	116700116	702	0.0694
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	116700705	140117554	11647	0.0943
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	140117657	147347947	4154	0.0578
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	147348169	147348904	2	-1.3858
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	147348941	148736431	704	0.0845
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	148738301	153032062	2840	0.1174
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	153032878	153033105	2	-1.5126
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	153038654	192575272	22511	0.1157
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	192585495	197789530	2154	0.2751
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	197790283	199224928	897	0.3359
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	199226633	210318773	6366	0.2825
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	210320959	236082553	15905	0.0945
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	236085352	241516406	3173	0.2547
1d415193-fcd9-4b98-afee-cb3f02f197b6	2	241517549	241537572	14	0.0804
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	2170634	8994634	3963	-0.0982
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	8997499	16652262	5024	-0.1315
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	16652383	46553570	17586	-0.0989
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	46558079	53324025	2742	-0.147
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	53326714	89254110	21501	-0.095
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	89254226	89783189	250	0.0883
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	89792404	124873501	17677	-0.0955
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	124873853	130703637	3156	-0.1338
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	130706168	176691251	24094	-0.0906
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	176691586	179230927	1368	0.1234
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	179231003	181460221	1198	0.07
1d415193-fcd9-4b98-afee-cb3f02f197b6	3	181462576	197812401	8530	0.1177
1d415193-fcd9-4b98-afee-cb3f02f197b6	4	1059384	9732181	4381	-0.1882
1d415193-fcd9-4b98-afee-cb3f02f197b6	4	9742421	67977123	33469	-0.1237
1d415193-fcd9-4b98-afee-cb3f02f197b6	4	68119088	161567107	51884	-0.1063
1d415193-fcd9-4b98-afee-cb3f02f197b6	4	161572406	187842528	13659	-0.1234
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	913983	4561067	2339	-0.1873
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	4565699	36308066	18696	-0.1343
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	36312096	36312486	3	-1.5359
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	36315361	60805953	11345	-0.1234
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	60812443	61135991	132	-0.3404
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	61137914	66870786	3066	-0.121
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	66873072	69444826	1684	-0.3826
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	69448492	131693051	33434	-0.1118
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	131693990	131915509	91	-0.3922
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	131915676	132242944	198	-0.1551
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	132244340	135287136	1886	-0.42
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	135287194	137881380	1804	-0.1226
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	137882024	143250179	2752	-0.1713
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	143250344	144187065	625	-0.126
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	144189585	150038920	3752	-0.3769
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	150041135	150918326	517	-0.1764
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	150918553	153350327	1640	-0.4008
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	153350495	153895734	430	-0.1152
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	153909430	159051557	3372	-0.4013
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	159055174	167811098	5540	-0.1199
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	167817088	175459858	5357	-0.1528
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	175460166	175461893	5	-1.2677
1d415193-fcd9-4b98-afee-cb3f02f197b6	5	175463310	180934240	2347	-0.1882
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	1011760	12446243	8246	0.0934
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	12446631	16683699	2936	-0.1534
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	16683902	24341541	5357	-0.1219
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	24341864	36749998	4808	-0.1756
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	36750804	45486891	5526	0.0728
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	45487107	65723556	9261	0.1084
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	65723587	71206975	3146	0.0878
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	71208850	71208945	2	-1.4404
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	71216496	112724148	23431	0.0964
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	112724538	112835982	84	-0.1393
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	112836484	113103871	171	0.1142
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	113104259	114313886	803	-0.1194
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	114316090	114556140	129	0.0914
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	114559746	115656155	484	-0.093
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	115661806	115754848	66	0.1047
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	115757667	123455566	3997	-0.1167
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	123455717	129118405	3381	0.1165
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	129127565	135251253	4214	-0.1089
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	135253505	152147172	10537	0.1072
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	152147308	154054703	1372	0.0627
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	154055521	162891813	5424	0.1019
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	162894346	163849710	691	-0.1703
1d415193-fcd9-4b98-afee-cb3f02f197b6	6	163850350	170596889	3016	0.0818
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	664936	7128062	2319	0.2244
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	7128862	17784000	6195	0.2768
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	17784319	18176012	256	0.1207
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	18176753	18866614	532	0.2669
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	18866918	32017858	8383	0.099
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	32019713	32020033	2	-1.3052
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	32022354	37561955	3700	0.0978
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	37562111	40297510	1722	-0.1231
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	40297613	41450530	710	0.0884
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	41452164	44905252	1753	0.05
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	44905294	55304644	7365	0.0993
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	55305743	57185111	624	-0.1579
1d415193-fcd9-4b98-afee-cb3f02f197b6	7	57854817	63876515	21	0.0572
