GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
835e8d77-c667-4585-a3f7-acf271e33bd3	1	3301765	247650984	129783	-0.0732
835e8d77-c667-4585-a3f7-acf271e33bd3	2	480597	135175000	70935	-0.0688
835e8d77-c667-4585-a3f7-acf271e33bd3	2	135175150	146882305	6463	0.0099
835e8d77-c667-4585-a3f7-acf271e33bd3	2	146882610	241537572	54828	0.0349
835e8d77-c667-4585-a3f7-acf271e33bd3	3	2170634	78545561	45414	-0.0662
835e8d77-c667-4585-a3f7-acf271e33bd3	3	78545669	78545799	2	-1.923
835e8d77-c667-4585-a3f7-acf271e33bd3	3	78546425	89168754	5333	-0.0768
835e8d77-c667-4585-a3f7-acf271e33bd3	3	89169048	89169099	2	-1.862
835e8d77-c667-4585-a3f7-acf271e33bd3	3	89169116	197812401	56460	-0.0746
835e8d77-c667-4585-a3f7-acf271e33bd3	4	1059384	134802907	74481	-0.0764
835e8d77-c667-4585-a3f7-acf271e33bd3	4	134808275	136559338	872	-0.5749
835e8d77-c667-4585-a3f7-acf271e33bd3	4	136565306	137017561	295	-0.0918
835e8d77-c667-4585-a3f7-acf271e33bd3	4	137050960	139382114	1514	-0.5627
835e8d77-c667-4585-a3f7-acf271e33bd3	4	139382769	151611414	6699	-0.0719
835e8d77-c667-4585-a3f7-acf271e33bd3	4	151613746	152524880	534	-0.5733
835e8d77-c667-4585-a3f7-acf271e33bd3	4	152525115	153114376	379	-0.0608
835e8d77-c667-4585-a3f7-acf271e33bd3	4	153117436	155926594	1752	-0.5736
835e8d77-c667-4585-a3f7-acf271e33bd3	4	155927946	187842528	16978	-0.0705
835e8d77-c667-4585-a3f7-acf271e33bd3	5	914118	175919594	99087	-0.0747
835e8d77-c667-4585-a3f7-acf271e33bd3	5	175919625	178598086	846	-0.5967
835e8d77-c667-4585-a3f7-acf271e33bd3	5	178605844	180934240	1211	-0.0745
835e8d77-c667-4585-a3f7-acf271e33bd3	6	1011760	63617126	35114	-0.0723
835e8d77-c667-4585-a3f7-acf271e33bd3	6	63621176	63743261	55	-0.6341
835e8d77-c667-4585-a3f7-acf271e33bd3	6	63745426	170596889	62029	-0.0781
835e8d77-c667-4585-a3f7-acf271e33bd3	7	664936	4086509	1235	0.548
835e8d77-c667-4585-a3f7-acf271e33bd3	7	4096983	4270406	135	0.7325
835e8d77-c667-4585-a3f7-acf271e33bd3	7	4270765	8757480	1979	0.5574
835e8d77-c667-4585-a3f7-acf271e33bd3	7	8757691	11681449	1347	0.2519
835e8d77-c667-4585-a3f7-acf271e33bd3	7	11681766	15340652	2621	0.6102
835e8d77-c667-4585-a3f7-acf271e33bd3	7	15341600	18367637	1598	0.8456
835e8d77-c667-4585-a3f7-acf271e33bd3	7	18368266	18867407	397	0.5598
835e8d77-c667-4585-a3f7-acf271e33bd3	7	19748494	20862151	792	0.8417
835e8d77-c667-4585-a3f7-acf271e33bd3	7	20862645	21646515	568	0.5829
835e8d77-c667-4585-a3f7-acf271e33bd3	7	21646654	31384153	6523	0.8635
835e8d77-c667-4585-a3f7-acf271e33bd3	7	31384445	31922767	434	0.5876
835e8d77-c667-4585-a3f7-acf271e33bd3	7	31923212	31970315	23	0.9178
835e8d77-c667-4585-a3f7-acf271e33bd3	7	31970427	33999939	1273	0.5861
835e8d77-c667-4585-a3f7-acf271e33bd3	7	34000753	42574620	5782	0.2579
835e8d77-c667-4585-a3f7-acf271e33bd3	7	42575091	43368563	138	0.5678
835e8d77-c667-4585-a3f7-acf271e33bd3	7	43368810	45955730	1358	0.8031
835e8d77-c667-4585-a3f7-acf271e33bd3	7	45960907	48566012	1932	0.6117
835e8d77-c667-4585-a3f7-acf271e33bd3	7	48566385	49740276	817	0.2557
835e8d77-c667-4585-a3f7-acf271e33bd3	7	49743693	54695554	3425	0.6094
835e8d77-c667-4585-a3f7-acf271e33bd3	7	54699828	56025154	932	0.8755
835e8d77-c667-4585-a3f7-acf271e33bd3	7	56026859	65052476	770	0.5789
835e8d77-c667-4585-a3f7-acf271e33bd3	7	65714988	67419129	476	0.8237
835e8d77-c667-4585-a3f7-acf271e33bd3	7	67419508	71592303	2582	0.5785
