GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da8db268-7dce-4f13-aa87-4d895f256619	1	62920	85998	9	0.2698
da8db268-7dce-4f13-aa87-4d895f256619	1	86324	259407	5	1.0855
da8db268-7dce-4f13-aa87-4d895f256619	1	259422	3809837	986	-0.0611
da8db268-7dce-4f13-aa87-4d895f256619	1	3813871	5874430	1724	-0.1296
da8db268-7dce-4f13-aa87-4d895f256619	1	5874501	13519928	3864	-0.0689
da8db268-7dce-4f13-aa87-4d895f256619	1	13519988	14887189	1104	-0.1371
da8db268-7dce-4f13-aa87-4d895f256619	1	14887333	15823420	644	-0.0519
da8db268-7dce-4f13-aa87-4d895f256619	1	15827002	15827430	6	-2.3158
da8db268-7dce-4f13-aa87-4d895f256619	1	15827706	16627800	313	-0.0283
da8db268-7dce-4f13-aa87-4d895f256619	1	16636774	16643961	17	-0.4638
da8db268-7dce-4f13-aa87-4d895f256619	1	16679239	16785682	23	0.1286
da8db268-7dce-4f13-aa87-4d895f256619	1	16787932	16935752	58	0.5449
da8db268-7dce-4f13-aa87-4d895f256619	1	16949746	19940242	2135	-0.0644
da8db268-7dce-4f13-aa87-4d895f256619	1	19941138	19945107	4	-1.45
da8db268-7dce-4f13-aa87-4d895f256619	1	19946425	21825701	1113	-0.0759
da8db268-7dce-4f13-aa87-4d895f256619	1	21833618	21833764	2	-1.5461
da8db268-7dce-4f13-aa87-4d895f256619	1	21837671	24851840	1712	-0.0525
da8db268-7dce-4f13-aa87-4d895f256619	1	24853888	24854754	3	-1.7736
da8db268-7dce-4f13-aa87-4d895f256619	1	24857660	72022793	28874	-0.0644
da8db268-7dce-4f13-aa87-4d895f256619	1	72030108	72099947	51	-0.4291
da8db268-7dce-4f13-aa87-4d895f256619	1	72100117	72297687	124	-0.0814
da8db268-7dce-4f13-aa87-4d895f256619	1	72302735	72346221	49	-1.5087
da8db268-7dce-4f13-aa87-4d895f256619	1	72346757	105476583	20949	-0.0618
da8db268-7dce-4f13-aa87-4d895f256619	1	105476614	105479753	16	-0.8577
da8db268-7dce-4f13-aa87-4d895f256619	1	105481433	109690352	2635	-0.0626
da8db268-7dce-4f13-aa87-4d895f256619	1	109690415	109697556	12	1.2221
da8db268-7dce-4f13-aa87-4d895f256619	1	109702376	110840603	861	-0.0335
da8db268-7dce-4f13-aa87-4d895f256619	1	110840712	110841350	11	0.3797
da8db268-7dce-4f13-aa87-4d895f256619	1	110845562	111769532	711	-0.0691
da8db268-7dce-4f13-aa87-4d895f256619	1	111769589	111769929	3	1.0676
da8db268-7dce-4f13-aa87-4d895f256619	1	111770456	112147626	362	-0.0597
da8db268-7dce-4f13-aa87-4d895f256619	1	112147704	112154591	23	0.7783
da8db268-7dce-4f13-aa87-4d895f256619	1	112154619	119575681	4738	-0.0505
da8db268-7dce-4f13-aa87-4d895f256619	1	119579180	119579315	2	1.4048
da8db268-7dce-4f13-aa87-4d895f256619	1	119579520	152787202	3069	-0.0386
da8db268-7dce-4f13-aa87-4d895f256619	1	152789447	152796224	37	0.6434
da8db268-7dce-4f13-aa87-4d895f256619	1	152801429	196762956	29469	-0.0499
da8db268-7dce-4f13-aa87-4d895f256619	1	196769493	196888068	96	0.2377
da8db268-7dce-4f13-aa87-4d895f256619	1	196888318	222193326	17358	-0.0509
da8db268-7dce-4f13-aa87-4d895f256619	1	222201492	222203662	2	-3.1126
da8db268-7dce-4f13-aa87-4d895f256619	1	222208792	230315666	4917	-0.0409
da8db268-7dce-4f13-aa87-4d895f256619	1	230316577	230316706	2	1.3787
da8db268-7dce-4f13-aa87-4d895f256619	1	230317851	240228440	7631	-0.0644
da8db268-7dce-4f13-aa87-4d895f256619	1	240230715	240230824	5	-2.3082
