GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	1	3301765	185878892	90608	0.001
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	1	185884322	185887118	8	-0.9637
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	1	185895380	202335740	9800	-0.0017
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	1	202336351	202339588	2	1.8978
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	1	202339912	247650984	29393	0.0013
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	2	480597	241537572	132259	-0.0026
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	3	2170634	170846447	93278	0.0028
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	3	170847685	170849735	2	-1.816
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	3	170850345	197812401	13941	0.0016
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	4	1059384	187842528	103544	0.0023
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	914118	3647692	1655	-0.0011
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	3648189	3655690	10	-0.9088
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	3671100	95071317	48915	0.0016
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	95071868	95079934	2	-1.6373
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	95082044	105000509	4535	0.0039
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	105031969	105236079	80	-0.8445
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	105236188	141086005	20922	-0.0013
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	141098085	141100392	7	1.1733
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	141105446	171767234	20181	0.0006
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	171767566	171767886	2	-1.5557
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	5	171768123	180934240	4848	0.0015
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	6	1011760	170596889	97199	0.0026
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	7	664936	158592540	81969	0.002
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	8	667625	129546624	73436	0.0037
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	8	129547816	129550095	2	1.4871
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	8	129551568	144182542	8814	0.0087
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	9	789794	138044505	68505	-0.0003
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	10	366509	133411599	81333	0.0001
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	11	456012	134272740	77602	0.0021
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	12	780472	132605822	74375	-0.0006
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	13	18874255	114226675	57013	0.0004
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	14	20033191	37557550	9698	0.0039
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	14	37558382	37562603	3	-1.3503
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	14	37563308	105533894	40105	0.0007
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	15	23437561	101344124	44809	-0.0001
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	16	603333	79473279	34769	0.0031
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	16	79474265	79474274	2	-1.4771
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	16	79475437	89317317	6462	0.0028
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	17	1074619	82959812	37298	0.0005
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	18	326691	79349796	42988	0.0014
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	19	283868	58370362	24153	0.0042
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	20	472817	63588502	37571	0.0022
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	21	13974127	46262057	20607	0.0003
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	22	16934932	48940621	17092	-0.0006
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	X	3236359	99425169	38105	0.0055
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	X	99425831	99427388	3	-2.5516
de7f82c8-8bb0-4c94-9b65-a83f22839d4b	X	99427883	155677414	25788	0.0091
