GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	62920	54110780	2	2	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	54110966	54151080	3	3	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	54151583	121705338	2	2	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	143541857	185423713	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	185425044	196873141	6	4	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	196874041	196876538	10	6	4
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	196878281	207854114	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr1	207856602	248930189	6	4	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	12784	64438201	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	64440674	64447482	2	1	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	64447855	132423798	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	132424493	132430533	7	4	3
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	132431666	146104517	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	146106836	146109366	0	0	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	146120238	170272054	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	170272852	170317438	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	170317726	205557416	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	205558272	205574559	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr2	205574954	242147305	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	20930	87410856	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	87417155	87529089	4	3	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	87531547	162794951	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	162795304	162910826	9	9	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	162910855	175090542	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	175093352	175363437	1	1	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr3	175363536	198169247	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	68929	10208322	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	10208339	10274358	1	1	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	10274728	18458521	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	18458740	18463819	4	3	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	18464261	183383178	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	183383434	183404974	4	3	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	183405416	186446663	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	186447220	186458604	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr4	186459600	190106768	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	15532	9517331	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	9519387	10950328	2	2	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	10951124	10958252	1	1	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	10958523	16468697	2	2	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	16469306	37608529	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	37608968	37901662	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	37901889	58962168	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	58962671	59588113	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	59589088	108711355	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	108713134	108729798	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	108731141	160543049	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	160545014	160552644	6	3	3
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	160552720	178670753	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr5	178674421	181363319	6	4	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	149661	19894361	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	19894494	19902473	6	3	3
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	19905321	32762044	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	32762235	32819560	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	32820734	76726442	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	76726815	76766675	0	0	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	76766856	122351057	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	122352478	122365441	7	4	3
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	122366265	166092765	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	166093621	166104563	6	3	3
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	166105444	166258351	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr6	166258927	170741917	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	43259	25235338	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	25236634	25493841	4	2	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	25493944	131642767	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	131643131	131687455	7	5	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	131687573	154885093	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	154889139	154895247	7	4	3
04e33010-cddb-4f24-9b92-18bb32d8f975	chr7	154898158	159334314	5	3	2
04e33010-cddb-4f24-9b92-18bb32d8f975	chr8	81254	14655300	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr8	14655367	14971383	2	2	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr8	14972407	133656434	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr8	133659641	133714521	4	3	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr8	133718622	145072769	3	2	1
04e33010-cddb-4f24-9b92-18bb32d8f975	chr9	46587	21705714	2	2	0
04e33010-cddb-4f24-9b92-18bb32d8f975	chr9	21708884	21720944	2	1	1
