GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	62920	16569132	8642	-0.007
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	16570326	16951445	111	0.3984
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	16955930	47049121	17082	0.0027
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	47050750	70836880	16035	-0.0355
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	70839424	72303233	880	0.0255
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	72303253	72345465	45	-1.0831
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	72346221	105079911	20714	0.0004
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	105080318	105080931	2	2.0689
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	105084196	109690352	2869	0.0044
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	109690415	109697556	12	-1.2427
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	109702376	110799868	809	-0.007
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	110799906	110858346	81	0.1678
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	110858427	112147704	1058	0.0039
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	112153343	112154591	22	-1.6988
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	112154619	152789532	7806	0.0145
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	152789570	152796094	32	0.5828
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	152796224	174826800	14793	0.0052
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	174827128	174835918	37	0.3788
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	174835932	189354974	9666	0.0066
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	189357207	189568201	128	-0.8594
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	189577840	193186325	2418	0.0044
dd8f5f4c-e457-4bd8-a6f0-08e39e877a5b	1	193186382	193187218	7	0.8409
