GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D5-5541-01A-01D-A91Y-36	chr1	17001	16602000	15170	-0.070808
TCGA-D5-5541-01A-01D-A91Y-36	chr1	16602001	16647000	44	-0.009398
TCGA-D5-5541-01A-01D-A91Y-36	chr1	16647001	16949000	162	0.022558
TCGA-D5-5541-01A-01D-A91Y-36	chr1	16949001	51486000	34263	-0.049608
TCGA-D5-5541-01A-01D-A91Y-36	chr1	51486001	51501000	15	-0.968983
TCGA-D5-5541-01A-01D-A91Y-36	chr1	51501001	69664000	18071	-0.037660
TCGA-D5-5541-01A-01D-A91Y-36	chr1	69664001	83424000	13583	-0.083793
TCGA-D5-5541-01A-01D-A91Y-36	chr1	83424001	101260000	17721	-0.035846
TCGA-D5-5541-01A-01D-A91Y-36	chr1	101260001	106652000	5189	-0.102344
TCGA-D5-5541-01A-01D-A91Y-36	chr1	106652001	143744000	14284	-0.036974
TCGA-D5-5541-01A-01D-A91Y-36	chr1	143745001	143763000	17	0.412313
TCGA-D5-5541-01A-01D-A91Y-36	chr1	143764001	147030000	843	0.003287
TCGA-D5-5541-01A-01D-A91Y-36	chr1	147030001	147545000	511	0.182008
TCGA-D5-5541-01A-01D-A91Y-36	chr1	147545001	150017000	984	0.122213
TCGA-D5-5541-01A-01D-A91Y-36	chr1	150017001	154291000	4204	0.174470
TCGA-D5-5541-01A-01D-A91Y-36	chr1	154291001	155245000	946	0.151717
TCGA-D5-5541-01A-01D-A91Y-36	chr1	155245001	156366000	1099	0.180014
TCGA-D5-5541-01A-01D-A91Y-36	chr1	156366001	158906000	2530	0.145235
TCGA-D5-5541-01A-01D-A91Y-36	chr1	158906001	161529000	2584	0.166794
TCGA-D5-5541-01A-01D-A91Y-36	chr1	161529001	161649000	82	0.734376
TCGA-D5-5541-01A-01D-A91Y-36	chr1	161649001	164130000	2447	0.166233
TCGA-D5-5541-01A-01D-A91Y-36	chr1	164130001	166398000	2257	0.144274
TCGA-D5-5541-01A-01D-A91Y-36	chr1	166398001	167483000	1084	0.178288
TCGA-D5-5541-01A-01D-A91Y-36	chr1	167483001	186407000	18790	-0.039634
TCGA-D5-5541-01A-01D-A91Y-36	chr1	186407001	196854000	10297	-0.093417
TCGA-D5-5541-01A-01D-A91Y-36	chr1	196854001	248931000	51134	-0.055363
TCGA-D5-5541-01A-01D-A91Y-36	chr2	11001	419000	399	0.431237
TCGA-D5-5541-01A-01D-A91Y-36	chr2	419001	1480000	1027	0.355174
TCGA-D5-5541-01A-01D-A91Y-36	chr2	1480001	1987000	488	0.311956
TCGA-D5-5541-01A-01D-A91Y-36	chr2	1987001	2412000	420	0.338849
TCGA-D5-5541-01A-01D-A91Y-36	chr2	2412001	3114000	699	0.340203
TCGA-D5-5541-01A-01D-A91Y-36	chr2	3114001	4880000	1743	0.388030
TCGA-D5-5541-01A-01D-A91Y-36	chr2	4880001	6069000	1182	0.318864
TCGA-D5-5541-01A-01D-A91Y-36	chr2	6069001	6804000	733	0.356607
TCGA-D5-5541-01A-01D-A91Y-36	chr2	6804001	6907000	103	0.353438
TCGA-D5-5541-01A-01D-A91Y-36	chr2	6907001	7526000	616	0.356143
TCGA-D5-5541-01A-01D-A91Y-36	chr2	7526001	8068000	540	0.384001
TCGA-D5-5541-01A-01D-A91Y-36	chr2	8068001	8587000	519	0.413208
TCGA-D5-5541-01A-01D-A91Y-36	chr2	8587001	10158000	1569	0.446879
TCGA-D5-5541-01A-01D-A91Y-36	chr2	10158001	10624000	465	0.418017
TCGA-D5-5541-01A-01D-A91Y-36	chr2	10624001	10773000	149	0.466595
TCGA-D5-5541-01A-01D-A91Y-36	chr2	10773001	11127000	344	0.417543
TCGA-D5-5541-01A-01D-A91Y-36	chr2	11127001	12384000	1254	0.438998
TCGA-D5-5541-01A-01D-A91Y-36	chr2	12384001	14512000	2114	0.373143
TCGA-D5-5541-01A-01D-A91Y-36	chr2	14512001	15336000	817	0.389283
TCGA-D5-5541-01A-01D-A91Y-36	chr2	15336001	15650000	313	0.424802
TCGA-D5-5541-01A-01D-A91Y-36	chr2	15650001	16452000	795	0.348483
TCGA-D5-5541-01A-01D-A91Y-36	chr2	16452001	17063000	604	0.363955
TCGA-D5-5541-01A-01D-A91Y-36	chr2	17063001	19427000	2350	0.401846
TCGA-D5-5541-01A-01D-A91Y-36	chr2	19427001	20730000	1302	0.449534
TCGA-D5-5541-01A-01D-A91Y-36	chr2	20730001	20913000	183	0.489336
TCGA-D5-5541-01A-01D-A91Y-36	chr2	20913001	21196000	282	0.421528
TCGA-D5-5541-01A-01D-A91Y-36	chr2	21196001	23113000	1914	0.383586
TCGA-D5-5541-01A-01D-A91Y-36	chr2	23113001	23734000	614	0.400816
TCGA-D5-5541-01A-01D-A91Y-36	chr2	23734001	25097000	1360	0.456699
TCGA-D5-5541-01A-01D-A91Y-36	chr2	25097001	25374000	277	0.399592
TCGA-D5-5541-01A-01D-A91Y-36	chr2	25374001	26654000	1276	0.447358
TCGA-D5-5541-01A-01D-A91Y-36	chr2	26654001	26807000	153	0.390165
TCGA-D5-5541-01A-01D-A91Y-36	chr2	26807001	27867000	1054	0.446571
TCGA-D5-5541-01A-01D-A91Y-36	chr2	27867001	28177000	308	0.498355
TCGA-D5-5541-01A-01D-A91Y-36	chr2	28177001	29076000	898	0.436656
TCGA-D5-5541-01A-01D-A91Y-36	chr2	29076001	31322000	2235	0.385097
TCGA-D5-5541-01A-01D-A91Y-36	chr2	31322001	33342000	2007	0.446394
TCGA-D5-5541-01A-01D-A91Y-36	chr2	33342001	34092000	750	0.378336
TCGA-D5-5541-01A-01D-A91Y-36	chr2	34092001	34897000	756	0.341624
TCGA-D5-5541-01A-01D-A91Y-36	chr2	34897001	35852000	933	0.379355
TCGA-D5-5541-01A-01D-A91Y-36	chr2	35852001	36457000	595	0.440181
TCGA-D5-5541-01A-01D-A91Y-36	chr2	36457001	37814000	1354	0.456143
TCGA-D5-5541-01A-01D-A91Y-36	chr2	37814001	38475000	661	0.427856
TCGA-D5-5541-01A-01D-A91Y-36	chr2	38475001	39897000	1421	0.440850
TCGA-D5-5541-01A-01D-A91Y-36	chr2	39897001	40465000	567	0.381115
TCGA-D5-5541-01A-01D-A91Y-36	chr2	40465001	41300000	835	0.385061
TCGA-D5-5541-01A-01D-A91Y-36	chr2	41300001	42181000	870	0.428953
TCGA-D5-5541-01A-01D-A91Y-36	chr2	42181001	42722000	539	0.451435
TCGA-D5-5541-01A-01D-A91Y-36	chr2	42722001	43729000	996	0.436816
TCGA-D5-5541-01A-01D-A91Y-36	chr2	43729001	44542000	813	0.455167
TCGA-D5-5541-01A-01D-A91Y-36	chr2	44542001	44587000	45	-1.059258
TCGA-D5-5541-01A-01D-A91Y-36	chr2	44590001	44668000	78	0.461962
TCGA-D5-5541-01A-01D-A91Y-36	chr2	44668001	45353000	672	0.391428
TCGA-D5-5541-01A-01D-A91Y-36	chr2	45353001	45618000	264	0.475494
TCGA-D5-5541-01A-01D-A91Y-36	chr2	45618001	46694000	1075	0.428063
TCGA-D5-5541-01A-01D-A91Y-36	chr2	46694001	46869000	175	0.473802
TCGA-D5-5541-01A-01D-A91Y-36	chr2	46869001	48786000	1910	0.425191
TCGA-D5-5541-01A-01D-A91Y-36	chr2	48786001	52636000	3806	0.346334
TCGA-D5-5541-01A-01D-A91Y-36	chr2	52636001	53621000	981	0.386742
TCGA-D5-5541-01A-01D-A91Y-36	chr2	53621001	55908000	2283	0.437196
TCGA-D5-5541-01A-01D-A91Y-36	chr2	55908001	59860000	3929	0.369256
TCGA-D5-5541-01A-01D-A91Y-36	chr2	59860001	60804000	937	0.401672
TCGA-D5-5541-01A-01D-A91Y-36	chr2	60804001	61808000	1002	0.441564
TCGA-D5-5541-01A-01D-A91Y-36	chr2	61808001	63432000	1618	0.420998
TCGA-D5-5541-01A-01D-A91Y-36	chr2	63432001	66054000	2619	0.435091
TCGA-D5-5541-01A-01D-A91Y-36	chr2	66054001	67976000	1915	0.373758
TCGA-D5-5541-01A-01D-A91Y-36	chr2	67976001	68874000	895	0.402806
TCGA-D5-5541-01A-01D-A91Y-36	chr2	68874001	69306000	432	0.429559
TCGA-D5-5541-01A-01D-A91Y-36	chr2	69306001	70597000	1288	0.455049
TCGA-D5-5541-01A-01D-A91Y-36	chr2	70597001	71545000	940	0.409597
TCGA-D5-5541-01A-01D-A91Y-36	chr2	71545001	72105000	554	0.372457
