GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr1	61735	248930189	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr2	12784	242147305	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr3	18667	60103588	2	2	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr3	60103652	60317774	1	1	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr3	60321161	66461863	2	2	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr3	66466676	198169247	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr4	12281	190106768	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr5	15532	181363319	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr6	149661	60863711	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr6	60867830	103701960	1	1	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr6	103705425	170741917	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr7	43259	159334314	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr8	81254	145072769	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr9	46587	138200944	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr10	26823	133769379	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr11	198572	135074876	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr12	51460	133201603	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr13	18452809	114342922	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr14	18225647	36714712	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr14	36716743	36789499	1	1	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr14	36792206	106877229	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr15	19811075	101928837	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr16	10777	6332727	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr16	6335170	6593365	1	1	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr16	6594063	90221127	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr17	150733	83090856	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr18	48133	80257174	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr19	90910	58586487	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr20	80664	14022877	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr20	14026542	14291481	1	1	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr20	14296040	14934405	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr20	14936402	15372448	1	1	0
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr20	15373264	64324800	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr21	10336543	46677045	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chr22	15294545	50796027	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chrX	251810	2776199	2	1	1
6aa3ecc5-4e6e-4e54-ab25-8952a6a6ee04	chrX	2785350	156004181	1	1	0
