GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	62920	16459673	8620	-0.1461
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	16467652	16935302	132	0.0487
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	16935393	47625715	17454	-0.1423
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	47628385	48816385	858	-0.0691
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	48817153	54873413	3203	-0.1342
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	54876242	109690352	36150	-0.0917
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	109690415	109697556	12	1.451
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	109702376	121601998	7135	-0.1008
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	121705338	143748012	99	-0.7886
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	143748074	143754798	18	-0.1595
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	143759680	143927536	9	-0.8532
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	143927887	147619474	612	-0.0844
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	147620166	152578849	1696	-0.1456
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	152578988	152618548	50	0.1902
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	152618749	152789463	163	-0.0928
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	152789479	152796094	34	-0.4374
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	152796224	153558806	563	-0.092
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	153559644	156897496	1539	-0.1891
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	156898307	161843493	3308	-0.1288
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	161843725	173361238	8652	-0.0852
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	173362368	177211640	2329	-0.1341
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	177212688	196758720	13071	-0.0964
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	196761905	196829435	48	-0.8179
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	196829513	209897717	8797	-0.109
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	209908268	209910639	3	-1.8772
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	209913207	220939709	7678	-0.0918
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	220940281	220945158	4	-1.4238
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	220945472	235117260	9602	-0.1068
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	235124437	235124487	2	-1.9383
18abcd4a-cfa6-403e-9d9b-96c2279476d8	1	235136069	248930189	9731	-0.1159
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	12784	706287	499	-0.0908
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	706400	1803107	667	-0.1925
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	1805450	16880464	11570	-0.1033
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	16880524	21492735	3415	-0.0643
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	21494109	27976597	3496	-0.109
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	27978770	27982105	2	-1.7535
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	27982714	34295406	4330	-0.1015
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	34298911	34300900	3	0.94
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	34303950	34474248	95	-0.0494
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	34476327	34502800	43	-0.4705
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	34511446	35750907	873	-0.1097
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	35752724	35762850	6	-1.774
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	35762881	52527727	12128	-0.0983
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	52527743	52563002	36	-0.4262
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	52563355	57167767	3345	-0.0934
18abcd4a-cfa6-403e-9d9b-96c2279476d8	2	57174909	57218336	69	0.8899
