GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	62920	266187	17	0.1568
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	462795	462894	2	1.8152
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	599171	15823420	8313	0.0114
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	15827002	15827430	6	-1.4647
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	15827706	72302815	34389	0.0171
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	72303233	72345465	46	-1.2465
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	72346221	103616762	20000	0.0138
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	103620877	103760781	7	-0.9014
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	103760879	108187137	2872	0.0174
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	108191613	108194874	3	-2.8947
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	108196482	109684893	692	0.0248
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	109690352	109703508	16	-0.4913
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	109707613	143619968	7167	0.0168
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	143621884	143754077	70	0.2744
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	143754192	152583051	2322	0.02
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	152583230	152614118	35	-1.5739
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	152618018	152789532	170	-0.0221
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	152789570	152796224	33	0.4994
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	152801429	248550567	65082	0.0171
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	248572774	248631988	32	-0.5385
363b32fa-07f2-4d00-b978-0b31e4c30b10	1	248633821	248930189	143	0.0282
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	12784	30143	10	0.0186
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	33901	34346	3	-1.1034
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	36862	4168830	2976	-0.003
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	4168862	4171949	17	-0.5246
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	4171952	7571017	2962	0.0095
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	7571096	7574782	3	-1.8267
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	7575532	34466002	18094	0.0158
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	34474248	34511990	46	0.4876
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	34512096	38727353	3175	0.0234
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	38728724	38745684	9	0.8462
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	38747742	97359885	33672	0.0159
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	97524284	97545726	9	1.3527
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	97550415	146106861	29373	0.0137
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	146106875	146109230	20	-0.564
363b32fa-07f2-4d00-b978-0b31e4c30b10	2	146109341	242147305	59002	0.0154
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	20930	1740119	1538	0.0301
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	1740840	1745897	6	-1.0827
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	1747474	8780118	6180	0.029
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	8783681	8816515	27	0.5871
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	8825123	37935926	19843	0.0143
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	37940617	37945437	18	-0.795
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	37945615	84053071	29744	0.0187
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	84056282	84057015	2	-3.4428
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	84061816	84650533	301	0.0134
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	84650607	84653010	14	-0.5604
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	84653084	99225754	5981	0.0206
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	99225775	99232120	34	-0.4966
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	99232539	100607461	744	0.0158
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	100621224	100723665	58	0.8751
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	100727772	125717394	15424	0.017
363b32fa-07f2-4d00-b978-0b31e4c30b10	3	125724765	125734029	8	1.0046
