GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	3301765	16268499	7230	0.0289
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	16271734	36177561	10339	-0.4764
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	36181917	184214005	71998	0.0218
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	184217935	247650984	40204	0.006
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	480597	241537572	132195	-0.0003
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	2170634	7442767	2717	0.0009
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	7442784	7444567	9	-0.7689
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	7454545	45253501	22989	0.0154
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	45254775	45341049	69	-0.4908
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	45341343	45343114	3	-2.2295
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	45343141	53628591	3756	-0.506
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	53628725	53628943	2	-2.4673
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	53629163	54591744	707	-0.5144
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	54591770	61141148	3494	0.027
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	61141532	61142344	3	-3.0181
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	61145227	162525390	55556	0.0096
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	162527506	168125047	2353	-0.0339
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	168157416	197812401	15560	0.0117
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	1059384	132409734	73471	-0.0003
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	132411787	135233243	1222	-0.5542
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	135237152	136335098	531	-0.0126
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	136344669	137470302	680	-0.5346
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	137472159	137494701	10	0.0685
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	137505792	137560660	19	-0.4619
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	137565570	138678927	788	0.0097
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	138680333	138683460	2	-1.5355
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	138683697	146116070	4237	0.0126
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	146117316	146342971	152	-0.4902
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	146345388	157259355	6243	-0.0014
