GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
38af736b-0669-4625-90f3-ce195e40b7d9	1	62920	462894	19	0.0634
38af736b-0669-4625-90f3-ce195e40b7d9	1	599171	25248216	13974	-0.2938
38af736b-0669-4625-90f3-ce195e40b7d9	1	25256138	25320455	29	0.16
38af736b-0669-4625-90f3-ce195e40b7d9	1	25336819	35965802	5571	-0.2892
38af736b-0669-4625-90f3-ce195e40b7d9	1	35973609	62080187	16213	0.0259
38af736b-0669-4625-90f3-ce195e40b7d9	1	62081091	64537431	1683	-0.3051
38af736b-0669-4625-90f3-ce195e40b7d9	1	64537786	69866796	3792	0.0096
38af736b-0669-4625-90f3-ce195e40b7d9	1	69869974	72302735	1468	-0.3163
38af736b-0669-4625-90f3-ce195e40b7d9	1	72302815	72345450	46	-1.4854
38af736b-0669-4625-90f3-ce195e40b7d9	1	72345465	77515539	3381	-0.313
38af736b-0669-4625-90f3-ce195e40b7d9	1	77517458	78856693	709	0.0258
38af736b-0669-4625-90f3-ce195e40b7d9	1	78859247	83932397	3399	-0.3167
38af736b-0669-4625-90f3-ce195e40b7d9	1	83936408	86121065	1527	0.0018
38af736b-0669-4625-90f3-ce195e40b7d9	1	86123475	87916034	1202	-0.3041
38af736b-0669-4625-90f3-ce195e40b7d9	1	87921524	89428114	955	-0.004
38af736b-0669-4625-90f3-ce195e40b7d9	1	89428912	89849934	289	-0.3285
38af736b-0669-4625-90f3-ce195e40b7d9	1	89850720	89977671	68	0.0179
38af736b-0669-4625-90f3-ce195e40b7d9	1	89982359	90873859	602	-0.284
38af736b-0669-4625-90f3-ce195e40b7d9	1	90883127	91100791	109	0.0333
38af736b-0669-4625-90f3-ce195e40b7d9	1	91100900	92481694	872	-0.3024
38af736b-0669-4625-90f3-ce195e40b7d9	1	92487921	92799812	130	-0.0143
38af736b-0669-4625-90f3-ce195e40b7d9	1	92802098	93207186	198	-0.2533
38af736b-0669-4625-90f3-ce195e40b7d9	1	93208092	96017984	1933	0.026
38af736b-0669-4625-90f3-ce195e40b7d9	1	96018402	97169656	679	-0.3331
38af736b-0669-4625-90f3-ce195e40b7d9	1	97170538	97489577	200	0.0014
38af736b-0669-4625-90f3-ce195e40b7d9	1	97489677	98490716	532	-0.3314
38af736b-0669-4625-90f3-ce195e40b7d9	1	98491097	98577490	60	0.0475
38af736b-0669-4625-90f3-ce195e40b7d9	1	98577629	99394729	552	-0.3044
38af736b-0669-4625-90f3-ce195e40b7d9	1	99398924	99400059	4	-1.2159
38af736b-0669-4625-90f3-ce195e40b7d9	1	99409383	101610443	1441	-0.2905
38af736b-0669-4625-90f3-ce195e40b7d9	1	101611163	101889403	198	-0.0174
38af736b-0669-4625-90f3-ce195e40b7d9	1	101891122	105470132	1902	-0.3211
38af736b-0669-4625-90f3-ce195e40b7d9	1	105470754	105479753	18	0.2668
38af736b-0669-4625-90f3-ce195e40b7d9	1	105481433	109690352	2635	-0.3056
38af736b-0669-4625-90f3-ce195e40b7d9	1	109690415	109697556	12	1.2602
38af736b-0669-4625-90f3-ce195e40b7d9	1	109702376	112147704	1945	-0.2987
38af736b-0669-4625-90f3-ce195e40b7d9	1	112153343	112154576	21	0.3617
38af736b-0669-4625-90f3-ce195e40b7d9	1	112154591	116112596	2541	-0.2977
38af736b-0669-4625-90f3-ce195e40b7d9	1	116114694	116485279	278	0.053
38af736b-0669-4625-90f3-ce195e40b7d9	1	116486077	143459641	2344	-0.3026
38af736b-0669-4625-90f3-ce195e40b7d9	1	143494500	146250588	310	0.0109
38af736b-0669-4625-90f3-ce195e40b7d9	1	146716041	147303726	215	-0.315
38af736b-0669-4625-90f3-ce195e40b7d9	1	147305310	152784298	2114	0.0091
38af736b-0669-4625-90f3-ce195e40b7d9	1	152784330	152796224	40	0.5476
38af736b-0669-4625-90f3-ce195e40b7d9	1	152801429	189679027	24715	0.0121
38af736b-0669-4625-90f3-ce195e40b7d9	1	189679353	189679397	2	-2.2294
38af736b-0669-4625-90f3-ce195e40b7d9	1	189682917	200514463	7155	-0.0141
38af736b-0669-4625-90f3-ce195e40b7d9	1	200518689	209897717	6426	0.0226
38af736b-0669-4625-90f3-ce195e40b7d9	1	209908268	209908720	2	-2.1582
38af736b-0669-4625-90f3-ce195e40b7d9	1	209910639	212585139	1753	0.0135
38af736b-0669-4625-90f3-ce195e40b7d9	1	212585262	212585748	2	-1.9317
38af736b-0669-4625-90f3-ce195e40b7d9	1	212585871	247362664	24365	0.0044
38af736b-0669-4625-90f3-ce195e40b7d9	1	247364781	247373824	4	-1.9327
38af736b-0669-4625-90f3-ce195e40b7d9	1	247374411	248930189	893	-0.0248
38af736b-0669-4625-90f3-ce195e40b7d9	2	12784	7986660	6295	-0.0226
38af736b-0669-4625-90f3-ce195e40b7d9	2	7986831	33072052	16688	0.0106
38af736b-0669-4625-90f3-ce195e40b7d9	2	33072516	34466002	1096	-0.0214
38af736b-0669-4625-90f3-ce195e40b7d9	2	34474248	34511990	46	0.5955
38af736b-0669-4625-90f3-ce195e40b7d9	2	34512096	41010999	4799	0.0115
38af736b-0669-4625-90f3-ce195e40b7d9	2	41011080	41016287	22	-0.4942
38af736b-0669-4625-90f3-ce195e40b7d9	2	41018409	52527743	8185	0.004
38af736b-0669-4625-90f3-ce195e40b7d9	2	52531615	52554404	33	0.7584
38af736b-0669-4625-90f3-ce195e40b7d9	2	52560811	87489240	22072	-0.0002
38af736b-0669-4625-90f3-ce195e40b7d9	2	87489506	87528459	11	-1.1437
38af736b-0669-4625-90f3-ce195e40b7d9	2	87542032	97359885	1753	-0.0065
38af736b-0669-4625-90f3-ce195e40b7d9	2	97524284	97545726	9	-1.084
38af736b-0669-4625-90f3-ce195e40b7d9	2	97550415	106265177	5569	0.0069
38af736b-0669-4625-90f3-ce195e40b7d9	2	106266773	106268523	6	1.043
38af736b-0669-4625-90f3-ce195e40b7d9	2	106268557	128880904	13384	0.0018
38af736b-0669-4625-90f3-ce195e40b7d9	2	128880928	128881662	12	-0.9822
38af736b-0669-4625-90f3-ce195e40b7d9	2	128882723	130036283	878	-0.0164
38af736b-0669-4625-90f3-ce195e40b7d9	2	130036310	130068107	10	-0.7502
38af736b-0669-4625-90f3-ce195e40b7d9	2	130068769	135707248	2976	-0.0112
38af736b-0669-4625-90f3-ce195e40b7d9	2	135707395	135707572	2	-2.5661
38af736b-0669-4625-90f3-ce195e40b7d9	2	135708286	146106861	6556	-0.0158
38af736b-0669-4625-90f3-ce195e40b7d9	2	146106875	146120238	23	0.6246
38af736b-0669-4625-90f3-ce195e40b7d9	2	146120827	179548644	20484	0.0017
38af736b-0669-4625-90f3-ce195e40b7d9	2	179553484	179557410	30	-1.2251
38af736b-0669-4625-90f3-ce195e40b7d9	2	179560916	208746913	17262	0.0017
38af736b-0669-4625-90f3-ce195e40b7d9	2	208754049	208757960	5	-1.9081
38af736b-0669-4625-90f3-ce195e40b7d9	2	208767992	242147305	21254	-0.0011
38af736b-0669-4625-90f3-ce195e40b7d9	3	20930	182919	154	-0.0052
38af736b-0669-4625-90f3-ce195e40b7d9	3	188339	191117	4	-1.6438
38af736b-0669-4625-90f3-ce195e40b7d9	3	193194	254109	58	0.1385
38af736b-0669-4625-90f3-ce195e40b7d9	3	256433	7338462	6218	-0.0175
38af736b-0669-4625-90f3-ce195e40b7d9	3	7338561	11881918	3458	0.0209
38af736b-0669-4625-90f3-ce195e40b7d9	3	11883204	11895928	5	-0.8539
38af736b-0669-4625-90f3-ce195e40b7d9	3	11898721	16197556	2993	0.0207
38af736b-0669-4625-90f3-ce195e40b7d9	3	16199049	16199672	6	-0.9935
38af736b-0669-4625-90f3-ce195e40b7d9	3	16199818	23937812	4963	-0.0148
38af736b-0669-4625-90f3-ce195e40b7d9	3	23939938	23940837	2	-3.5803
38af736b-0669-4625-90f3-ce195e40b7d9	3	23940839	24749098	600	0.0193
38af736b-0669-4625-90f3-ce195e40b7d9	3	24749344	30073623	3962	-0.0229
38af736b-0669-4625-90f3-ce195e40b7d9	3	30074630	52989195	13283	0.019
38af736b-0669-4625-90f3-ce195e40b7d9	3	52994359	53005100	37	-0.8405
38af736b-0669-4625-90f3-ce195e40b7d9	3	53005201	60355970	5298	0.0083
38af736b-0669-4625-90f3-ce195e40b7d9	3	60356041	60517375	183	-0.2681
38af736b-0669-4625-90f3-ce195e40b7d9	3	60517430	75523398	11489	0.0031
38af736b-0669-4625-90f3-ce195e40b7d9	3	75527410	75547095	6	-1.6071
38af736b-0669-4625-90f3-ce195e40b7d9	3	75559488	171197438	54881	-0.008
38af736b-0669-4625-90f3-ce195e40b7d9	3	171197877	173934381	1838	-0.3092
38af736b-0669-4625-90f3-ce195e40b7d9	3	173935237	190627729	10785	-0.0029
38af736b-0669-4625-90f3-ce195e40b7d9	3	190628429	190628736	2	-2.1766
38af736b-0669-4625-90f3-ce195e40b7d9	3	190631691	193161217	1742	-0.0104
38af736b-0669-4625-90f3-ce195e40b7d9	3	193162684	193165114	13	1.1927
38af736b-0669-4625-90f3-ce195e40b7d9	3	193168646	198169247	2694	-0.0004
38af736b-0669-4625-90f3-ce195e40b7d9	4	68929	9455251	5154	0.018
38af736b-0669-4625-90f3-ce195e40b7d9	4	9459504	9477699	6	-1.195
38af736b-0669-4625-90f3-ce195e40b7d9	4	9484440	9858273	159	0.0223
38af736b-0669-4625-90f3-ce195e40b7d9	4	9858277	9862603	3	-1.5018
38af736b-0669-4625-90f3-ce195e40b7d9	4	9863418	10212536	379	0.0414
38af736b-0669-4625-90f3-ce195e40b7d9	4	10221792	10233383	32	0.4377
38af736b-0669-4625-90f3-ce195e40b7d9	4	10233542	10390730	175	0.0001
38af736b-0669-4625-90f3-ce195e40b7d9	4	10391530	10399044	15	-0.6606
38af736b-0669-4625-90f3-ce195e40b7d9	4	10401094	27537263	12297	0.005
38af736b-0669-4625-90f3-ce195e40b7d9	4	27538177	34777432	4485	-0.0336
38af736b-0669-4625-90f3-ce195e40b7d9	4	34784878	34817488	34	-0.9645
38af736b-0669-4625-90f3-ce195e40b7d9	4	34817589	45003738	6636	-0.0048
38af736b-0669-4625-90f3-ce195e40b7d9	4	45003835	45004318	4	-1.2716
38af736b-0669-4625-90f3-ce195e40b7d9	4	45008952	57721832	6354	0.0031
38af736b-0669-4625-90f3-ce195e40b7d9	4	57723213	66769431	5447	-0.0386
38af736b-0669-4625-90f3-ce195e40b7d9	4	66769751	67754397	605	0.0035
38af736b-0669-4625-90f3-ce195e40b7d9	4	67756817	67766745	6	-0.8031
38af736b-0669-4625-90f3-ce195e40b7d9	4	67769303	68389352	384	0.0011
38af736b-0669-4625-90f3-ce195e40b7d9	4	68391041	68422424	9	-0.7605
38af736b-0669-4625-90f3-ce195e40b7d9	4	68429081	83591236	9249	0.0067
38af736b-0669-4625-90f3-ce195e40b7d9	4	83597405	83597923	4	-1.6147
38af736b-0669-4625-90f3-ce195e40b7d9	4	83603404	90188016	4162	0.0005
