GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
754ab9aa-f727-4378-bec5-0397ac83401a	1	62920	15827041	8339	0.0309
754ab9aa-f727-4378-bec5-0397ac83401a	1	15827259	15827430	4	-2.0832
754ab9aa-f727-4378-bec5-0397ac83401a	1	15827706	22170210	3860	0.0369
754ab9aa-f727-4378-bec5-0397ac83401a	1	22175223	22177779	3	-1.2408
754ab9aa-f727-4378-bec5-0397ac83401a	1	22180930	25129044	1727	0.0589
754ab9aa-f727-4378-bec5-0397ac83401a	1	25129401	25129556	5	-0.6496
754ab9aa-f727-4378-bec5-0397ac83401a	1	25132208	25256850	81	0.0052
754ab9aa-f727-4378-bec5-0397ac83401a	1	25266637	25320198	22	-1.7835
754ab9aa-f727-4378-bec5-0397ac83401a	1	25320253	30265687	2393	0.0219
754ab9aa-f727-4378-bec5-0397ac83401a	1	30266452	30266509	2	-1.8207
754ab9aa-f727-4378-bec5-0397ac83401a	1	30266949	34637053	2560	0.0421
754ab9aa-f727-4378-bec5-0397ac83401a	1	34637069	34638890	19	-0.4218
754ab9aa-f727-4378-bec5-0397ac83401a	1	34648667	40478788	3142	0.0248
754ab9aa-f727-4378-bec5-0397ac83401a	1	40479327	40509588	16	-0.7631
754ab9aa-f727-4378-bec5-0397ac83401a	1	40514956	54725126	7948	0.0478
754ab9aa-f727-4378-bec5-0397ac83401a	1	54725971	55258626	405	0.1347
754ab9aa-f727-4378-bec5-0397ac83401a	1	55263695	57187484	1587	0.0547
754ab9aa-f727-4378-bec5-0397ac83401a	1	57188224	57188987	3	-1.594
754ab9aa-f727-4378-bec5-0397ac83401a	1	57192363	58336522	982	0.0263
754ab9aa-f727-4378-bec5-0397ac83401a	1	58336815	60237095	1362	0.1031
754ab9aa-f727-4378-bec5-0397ac83401a	1	60237631	65897234	4146	0.0596
754ab9aa-f727-4378-bec5-0397ac83401a	1	65897288	68800420	2111	0.0956
754ab9aa-f727-4378-bec5-0397ac83401a	1	68801506	72303233	2059	0.0489
754ab9aa-f727-4378-bec5-0397ac83401a	1	72303253	72345465	45	-1.362
754ab9aa-f727-4378-bec5-0397ac83401a	1	72346221	76661061	2763	0.0409
754ab9aa-f727-4378-bec5-0397ac83401a	1	76661137	76664637	5	-0.8267
754ab9aa-f727-4378-bec5-0397ac83401a	1	76665935	79847745	1960	0.0559
754ab9aa-f727-4378-bec5-0397ac83401a	1	79851802	79858368	2	-1.1378
754ab9aa-f727-4378-bec5-0397ac83401a	1	79859165	83131384	2271	0.0429
754ab9aa-f727-4378-bec5-0397ac83401a	1	83131527	86561241	2307	0.1052
754ab9aa-f727-4378-bec5-0397ac83401a	1	86562986	91727707	3402	0.0637
754ab9aa-f727-4378-bec5-0397ac83401a	1	91728105	91730095	2	-2.1767
754ab9aa-f727-4378-bec5-0397ac83401a	1	91730496	109690352	10898	0.0586
754ab9aa-f727-4378-bec5-0397ac83401a	1	109690415	109697556	12	-1.7397
754ab9aa-f727-4378-bec5-0397ac83401a	1	109702376	143541857	7139	0.0696
754ab9aa-f727-4378-bec5-0397ac83401a	1	143545399	143751380	103	-0.5726
754ab9aa-f727-4378-bec5-0397ac83401a	1	143751625	152582700	2335	0.0745
754ab9aa-f727-4378-bec5-0397ac83401a	1	152583051	152614100	35	-0.65
754ab9aa-f727-4378-bec5-0397ac83401a	1	152614118	159958008	4527	0.0616
754ab9aa-f727-4378-bec5-0397ac83401a	1	159958269	159958921	2	-1.8009
754ab9aa-f727-4378-bec5-0397ac83401a	1	159961349	160176383	130	0.1073
754ab9aa-f727-4378-bec5-0397ac83401a	1	160176704	160176855	2	-1.3081
754ab9aa-f727-4378-bec5-0397ac83401a	1	160177013	160963978	547	0.0479
754ab9aa-f727-4378-bec5-0397ac83401a	1	160967230	160970295	5	-1.0983
754ab9aa-f727-4378-bec5-0397ac83401a	1	160972552	169247699	6275	0.0663
754ab9aa-f727-4378-bec5-0397ac83401a	1	169264736	169272528	7	0.9124
754ab9aa-f727-4378-bec5-0397ac83401a	1	169273163	174827267	3517	0.0654
754ab9aa-f727-4378-bec5-0397ac83401a	1	174827418	174828310	9	-0.8511
754ab9aa-f727-4378-bec5-0397ac83401a	1	174828367	174832702	7	-0.4127
754ab9aa-f727-4378-bec5-0397ac83401a	1	174832716	184982130	6923	0.0671
754ab9aa-f727-4378-bec5-0397ac83401a	1	184982222	192126123	4571	0.0346
754ab9aa-f727-4378-bec5-0397ac83401a	1	192126668	196745743	3148	0.0663
754ab9aa-f727-4378-bec5-0397ac83401a	1	196758720	196846661	61	0.4002
754ab9aa-f727-4378-bec5-0397ac83401a	1	196847600	222193326	17397	0.0579
754ab9aa-f727-4378-bec5-0397ac83401a	1	222201492	222203662	2	-3.6885
754ab9aa-f727-4378-bec5-0397ac83401a	1	222208792	248574146	18241	0.0562
754ab9aa-f727-4378-bec5-0397ac83401a	1	248585893	248633912	32	-0.5589
754ab9aa-f727-4378-bec5-0397ac83401a	1	248645563	248930189	140	0.081
754ab9aa-f727-4378-bec5-0397ac83401a	2	12784	7770650	6109	0.0269
754ab9aa-f727-4378-bec5-0397ac83401a	2	7770912	20896215	9634	0.0636
754ab9aa-f727-4378-bec5-0397ac83401a	2	20897074	35750907	9252	0.0348
754ab9aa-f727-4378-bec5-0397ac83401a	2	35752724	35762850	6	-1.6516
754ab9aa-f727-4378-bec5-0397ac83401a	2	35762881	36306679	460	0.0544
754ab9aa-f727-4378-bec5-0397ac83401a	2	36307341	36308200	2	-1.4271
754ab9aa-f727-4378-bec5-0397ac83401a	2	36314205	41519683	3857	0.049
754ab9aa-f727-4378-bec5-0397ac83401a	2	41522493	42345484	717	0.1307
754ab9aa-f727-4378-bec5-0397ac83401a	2	42345535	79357930	24514	0.0431
754ab9aa-f727-4378-bec5-0397ac83401a	2	79361063	79362794	4	-1.3365
754ab9aa-f727-4378-bec5-0397ac83401a	2	79364151	81329871	1385	0.0252
