GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr1	62920	248930189	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr2	12784	146104517	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr2	146106836	146109366	0	0	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr2	146120238	242147305	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	20930	21958350	2	2	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	21958367	21976561	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	21977903	36580822	2	2	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	36581058	36662244	4	4	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	36662267	45692219	2	2	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	45693326	45723659	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	45724256	62127541	2	2	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	62128022	98066703	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	98067130	98068497	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr3	98068842	198169247	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr4	68929	34777382	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr4	34777403	34817589	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr4	34819718	190106768	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr5	15532	105097721	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr5	105097893	105174472	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr5	105175058	137269827	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr5	137270396	137274607	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr5	137275055	181363319	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr6	149661	103286941	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr6	103286950	103314186	0	0	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr6	103317795	170741917	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr7	43259	81400	3	2	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr7	83656	159334314	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr8	81254	145072769	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	46587	83288468	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	83289863	83293307	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	83293553	87558882	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	87559111	87563089	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	87563421	113342125	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	113342246	113356672	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr9	113356759	138200944	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr10	45792	76533756	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr10	76534094	76560987	1	1	0
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr10	76561282	133654968	2	1	1
7aca4aec-6acc-45fe-803c-a856bbf523e4	chr11	198510	135074876	2	1	1
