GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D5-6535-01A-11D-A91Z-36	chr1	17001	7510000	6527	-0.394065
TCGA-D5-6535-01A-11D-A91Z-36	chr1	7510001	7513000	3	-29.988133
TCGA-D5-6535-01A-11D-A91Z-36	chr1	7513001	16536000	8605	-0.383036
TCGA-D5-6535-01A-11D-A91Z-36	chr1	16536001	16872000	165	-0.582509
TCGA-D5-6535-01A-11D-A91Z-36	chr1	16872001	16949000	76	-0.970666
TCGA-D5-6535-01A-11D-A91Z-36	chr1	16949001	48800000	31589	-0.373540
TCGA-D5-6535-01A-11D-A91Z-36	chr1	48800001	49085000	282	-0.904227
TCGA-D5-6535-01A-11D-A91Z-36	chr1	49085001	89010000	39593	-0.364142
TCGA-D5-6535-01A-11D-A91Z-36	chr1	89010001	89018000	8	-0.365495
TCGA-D5-6535-01A-11D-A91Z-36	chr1	89018001	120574000	30520	-0.361894
TCGA-D5-6535-01A-11D-A91Z-36	chr1	120671001	143539000	944	0.282034
TCGA-D5-6535-01A-11D-A91Z-36	chr1	143539001	143674000	128	0.443916
TCGA-D5-6535-01A-11D-A91Z-36	chr1	143674001	148015000	1863	0.349505
TCGA-D5-6535-01A-11D-A91Z-36	chr1	148018001	148048000	9	-0.125077
TCGA-D5-6535-01A-11D-A91Z-36	chr1	148048001	148187000	48	0.261080
TCGA-D5-6535-01A-11D-A91Z-36	chr1	148187001	148250000	8	0.080352
TCGA-D5-6535-01A-11D-A91Z-36	chr1	148254001	149746000	303	0.357613
TCGA-D5-6535-01A-11D-A91Z-36	chr1	149746001	150523000	692	0.325876
TCGA-D5-6535-01A-11D-A91Z-36	chr1	150523001	151624000	1094	0.332800
TCGA-D5-6535-01A-11D-A91Z-36	chr1	151624001	153850000	2163	0.354473
TCGA-D5-6535-01A-11D-A91Z-36	chr1	153850001	155116000	1266	0.326916
TCGA-D5-6535-01A-11D-A91Z-36	chr1	155116001	157187000	2039	0.335169
TCGA-D5-6535-01A-11D-A91Z-36	chr1	157187001	157376000	189	0.364333
TCGA-D5-6535-01A-11D-A91Z-36	chr1	157376001	158708000	1331	0.333117
TCGA-D5-6535-01A-11D-A91Z-36	chr1	158708001	158989000	269	0.320055
TCGA-D5-6535-01A-11D-A91Z-36	chr1	158989001	159437000	448	0.328418
TCGA-D5-6535-01A-11D-A91Z-36	chr1	159437001	161053000	1610	0.352817
TCGA-D5-6535-01A-11D-A91Z-36	chr1	161053001	161767000	626	0.329530
TCGA-D5-6535-01A-11D-A91Z-36	chr1	161767001	162006000	239	0.379345
TCGA-D5-6535-01A-11D-A91Z-36	chr1	162006001	164553000	2533	0.328991
TCGA-D5-6535-01A-11D-A91Z-36	chr1	164553001	165374000	821	0.303784
TCGA-D5-6535-01A-11D-A91Z-36	chr1	165374001	166631000	1247	0.321007
TCGA-D5-6535-01A-11D-A91Z-36	chr1	166631001	167414000	783	0.362077
TCGA-D5-6535-01A-11D-A91Z-36	chr1	167414001	167829000	415	0.316135
TCGA-D5-6535-01A-11D-A91Z-36	chr1	167829001	168493000	658	0.347739
TCGA-D5-6535-01A-11D-A91Z-36	chr1	168493001	169611000	1093	0.388092
TCGA-D5-6535-01A-11D-A91Z-36	chr1	169611001	170585000	971	0.361827
TCGA-D5-6535-01A-11D-A91Z-36	chr1	170585001	171434000	846	0.325447
TCGA-D5-6535-01A-11D-A91Z-36	chr1	171434001	172057000	622	0.342275
TCGA-D5-6535-01A-11D-A91Z-36	chr1	172057001	173335000	1269	0.367906
