GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	62920	1760882	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	1761891	2342007	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	2348984	121705338	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	143541857	196737547	4	3	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	196737736	196761905	5	5	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	196762480	216809511	4	3	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	216809609	230378305	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	230379805	230571122	4	3	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	230571177	241157067	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	241157207	241370076	5	4	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	241370092	241663518	4	3	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	241666257	245949231	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	245950651	246310571	5	4	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr1	246313521	248930189	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	12784	15045158	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	15049047	16296827	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	16296982	82919311	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	82919486	84479904	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	84482091	115777346	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	115779014	117890212	4	3	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	117891853	150305817	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	150310682	152822023	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	152825076	173057485	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	173058409	173063057	5	3	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	173063911	173167910	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	173170361	193310427	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	193310784	193663249	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	193663303	222786260	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	222789267	240776486	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr2	240788528	242147305	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	20930	12254970	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	12257814	57008021	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	57008286	59634703	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	59634941	59989433	7	5	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	59992471	60355970	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	60356041	60531830	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	60531963	60568788	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	60569368	60579398	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	60579412	60580170	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	60580759	68697013	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	68697108	68698262	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	68699607	77210519	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	77216671	77325436	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	77325848	174963694	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	174964233	175291136	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	175291500	185485399	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	185488409	185643409	6	4	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr3	185646968	198169247	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	68929	29851493	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	29853340	30186054	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	30187001	138289688	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	138290350	138314368	6	4	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	138315500	152296780	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	152297440	152761818	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	152761857	153824644	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	153824771	153838051	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	153839682	160952848	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	160958866	160963448	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	160963756	165609608	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	165609798	167132726	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	167132805	172030001	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	172033892	174081192	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	174081225	175239653	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	175239752	178023736	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	178026129	179717080	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr4	179717737	190106768	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	15532	43348085	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	43349758	54753025	5	3	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	54753088	58546222	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	58547110	103935647	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	103938898	104513307	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	104513752	150822643	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	150825938	150839042	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	150843825	174921002	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	174931085	179106972	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr5	179107450	181363319	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	149661	4060125	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	4061455	4255406	3	3	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	4255511	14588088	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	14590522	14595164	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	14595206	56513989	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	56514182	57982582	3	3	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	57982677	116754970	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	116757612	119004108	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	119011791	162579211	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	162580267	162913759	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	162921988	168033124	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	168036652	169040684	3	3	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr6	169040845	170741917	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	43259	16609749	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	16609866	16892273	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	16892765	50474784	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	50475181	50478563	0	0	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	50479066	79895200	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	79897184	79924120	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	79924592	87676174	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	87680390	88095675	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	88102046	90354338	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	90356461	90738349	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	90746411	152052637	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	152052656	153357188	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr7	153357617	159334314	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	81254	33948121	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	33949392	34637091	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	34637335	88821394	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	88822584	88970079	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	88970367	127611443	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	127611666	127919899	6	4	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr8	127920117	145072769	4	2	2
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	46587	8751985	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	8753534	8816665	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	8822267	21303169	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	21303367	23138535	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	23139060	23154725	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	23157049	38652964	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	38654032	38657310	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	38657641	87546806	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	87547281	87634872	2	1	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	87635138	88354648	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	88358405	88694942	2	2	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	88696111	95995981	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	95996501	96611431	1	1	0
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	96617299	101411425	3	2	1
14457cb4-3025-42a1-a9ce-daa82b16a7b7	chr9	101415497	101638167	2	2	0
