GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1579fff6-5341-40e6-bc1d-23347585ae72	1	62920	1696979	212	-0.0158
1579fff6-5341-40e6-bc1d-23347585ae72	1	1710664	1741164	14	-1.1747
1579fff6-5341-40e6-bc1d-23347585ae72	1	1756148	3283773	504	-0.1305
1579fff6-5341-40e6-bc1d-23347585ae72	1	3285881	7262100	2746	0.0038
1579fff6-5341-40e6-bc1d-23347585ae72	1	7264408	7265165	3	-1.619
1579fff6-5341-40e6-bc1d-23347585ae72	1	7265360	9379357	1264	0.0035
1579fff6-5341-40e6-bc1d-23347585ae72	1	9380981	9529354	67	-0.1104
1579fff6-5341-40e6-bc1d-23347585ae72	1	9536422	9536806	2	-3.3263
1579fff6-5341-40e6-bc1d-23347585ae72	1	9542315	10186596	271	0.003
1579fff6-5341-40e6-bc1d-23347585ae72	1	10189904	10189919	3	-1.4553
1579fff6-5341-40e6-bc1d-23347585ae72	1	10195198	10482064	171	0.0074
1579fff6-5341-40e6-bc1d-23347585ae72	1	10483779	10484931	4	-1.2632
1579fff6-5341-40e6-bc1d-23347585ae72	1	10484989	16570326	3381	0.0224
1579fff6-5341-40e6-bc1d-23347585ae72	1	16583114	16721984	39	0.4233
1579fff6-5341-40e6-bc1d-23347585ae72	1	16766762	16788139	13	-0.2915
1579fff6-5341-40e6-bc1d-23347585ae72	1	16855942	16935737	55	0.6067
1579fff6-5341-40e6-bc1d-23347585ae72	1	16935752	21790712	3239	0.0217
1579fff6-5341-40e6-bc1d-23347585ae72	1	21794874	21795169	2	-1.9259
1579fff6-5341-40e6-bc1d-23347585ae72	1	21796887	25301974	2034	0.0105
1579fff6-5341-40e6-bc1d-23347585ae72	1	25318693	25336819	7	1.4727
1579fff6-5341-40e6-bc1d-23347585ae72	1	25336853	37389012	6436	0.011
1579fff6-5341-40e6-bc1d-23347585ae72	1	37390233	37390270	2	-1.8607
1579fff6-5341-40e6-bc1d-23347585ae72	1	37390359	72290459	22281	0.0136
1579fff6-5341-40e6-bc1d-23347585ae72	1	72290491	72345465	55	0.367
1579fff6-5341-40e6-bc1d-23347585ae72	1	72346221	75585159	1931	0.0279
1579fff6-5341-40e6-bc1d-23347585ae72	1	75589078	75589169	2	-1.9914
1579fff6-5341-40e6-bc1d-23347585ae72	1	75593824	94668626	12480	0.0237
1579fff6-5341-40e6-bc1d-23347585ae72	1	94668661	94668773	3	-1.7045
1579fff6-5341-40e6-bc1d-23347585ae72	1	94669551	100576210	3728	0.0185
1579fff6-5341-40e6-bc1d-23347585ae72	1	100577192	100577292	2	-1.8201
1579fff6-5341-40e6-bc1d-23347585ae72	1	100577784	105478597	2813	0.0248
1579fff6-5341-40e6-bc1d-23347585ae72	1	105478759	105479753	10	1.1319
1579fff6-5341-40e6-bc1d-23347585ae72	1	105481433	109684893	2635	0.0252
