GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
96229008-8c03-499c-896f-da967b353753	1	3301765	55817659	26479	-0.0572
96229008-8c03-499c-896f-da967b353753	1	55819039	55819315	3	-6.4559
96229008-8c03-499c-896f-da967b353753	1	55819385	55955173	105	0.161
96229008-8c03-499c-896f-da967b353753	1	55955349	55955523	3	-6.0002
96229008-8c03-499c-896f-da967b353753	1	55955726	61533509	3846	0.011
96229008-8c03-499c-896f-da967b353753	1	61534609	61534975	4	-5.4055
96229008-8c03-499c-896f-da967b353753	1	61537242	61617980	51	-0.0408
96229008-8c03-499c-896f-da967b353753	1	61618288	61618789	2	-5.9743
96229008-8c03-499c-896f-da967b353753	1	61619058	63005821	857	-0.0071
96229008-8c03-499c-896f-da967b353753	1	63006432	63007702	3	-6.4988
96229008-8c03-499c-896f-da967b353753	1	63008029	167186645	41670	-0.0167
96229008-8c03-499c-896f-da967b353753	1	167187263	167187579	2	-7.7361
96229008-8c03-499c-896f-da967b353753	1	167187816	215774164	28386	-0.0165
96229008-8c03-499c-896f-da967b353753	1	215776238	215777340	3	-6.2063
96229008-8c03-499c-896f-da967b353753	1	215780264	247650984	18827	-0.0568
96229008-8c03-499c-896f-da967b353753	2	480597	132853456	64474	-0.012
96229008-8c03-499c-896f-da967b353753	2	132853485	132877856	33	-1.9279
96229008-8c03-499c-896f-da967b353753	2	132877972	241537572	58374	-0.0037
96229008-8c03-499c-896f-da967b353753	3	2170634	197812401	100040	0.0066
96229008-8c03-499c-896f-da967b353753	4	1060146	47954899	26357	-0.1283
96229008-8c03-499c-896f-da967b353753	4	47956270	187842528	70026	0.0078
96229008-8c03-499c-896f-da967b353753	5	913983	2191323	304	-0.0886
96229008-8c03-499c-896f-da967b353753	5	2192970	2194655	3	-5.7277
96229008-8c03-499c-896f-da967b353753	5	2194712	2377278	174	-0.1021
96229008-8c03-499c-896f-da967b353753	5	2378270	2381097	6	-4.7671
96229008-8c03-499c-896f-da967b353753	5	2382078	10111599	5773	-0.0959
96229008-8c03-499c-896f-da967b353753	5	10111977	10113421	3	-6.951
96229008-8c03-499c-896f-da967b353753	5	10113923	11483674	803	-0.1479
96229008-8c03-499c-896f-da967b353753	5	11484000	11484346	4	-6.6026
96229008-8c03-499c-896f-da967b353753	5	11487473	150618349	69514	-0.0622
96229008-8c03-499c-896f-da967b353753	5	150618994	150620583	4	-5.6376
96229008-8c03-499c-896f-da967b353753	5	150622167	169272440	11420	-0.1026
96229008-8c03-499c-896f-da967b353753	5	169273917	169277143	4	-5.2514
96229008-8c03-499c-896f-da967b353753	5	169277539	169742192	302	-0.07
96229008-8c03-499c-896f-da967b353753	5	169742214	169816838	74	-1.2073
96229008-8c03-499c-896f-da967b353753	5	169817168	170109963	212	-0.1634
96229008-8c03-499c-896f-da967b353753	5	170110126	170111432	2	-5.5157
96229008-8c03-499c-896f-da967b353753	5	170111784	170565516	294	-0.0411
96229008-8c03-499c-896f-da967b353753	5	170565897	170572402	10	-3.1154
96229008-8c03-499c-896f-da967b353753	5	170572587	180934240	5201	-0.0967
96229008-8c03-499c-896f-da967b353753	6	1011760	1188118	151	0.3082
96229008-8c03-499c-896f-da967b353753	6	1188624	1189443	3	-6.3377
96229008-8c03-499c-896f-da967b353753	6	1192187	40307893	21921	0.0126
96229008-8c03-499c-896f-da967b353753	6	40312940	40313546	3	-6.1392
96229008-8c03-499c-896f-da967b353753	6	40314768	130595520	45798	-0.0128
96229008-8c03-499c-896f-da967b353753	6	130601671	130613626	8	-4.1717
96229008-8c03-499c-896f-da967b353753	6	130614811	157340053	16019	-0.0213
