GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D5-5539-01A-01D-A91Y-36	chr1	17001	270000	9	-0.080742
TCGA-D5-5539-01A-01D-A91Y-36	chr1	629001	778000	8	-7.895882
TCGA-D5-5539-01A-01D-A91Y-36	chr1	778001	10424000	9417	-0.129165
TCGA-D5-5539-01A-01D-A91Y-36	chr1	10424001	15047000	4219	-0.118144
TCGA-D5-5539-01A-01D-A91Y-36	chr1	15047001	16211000	1159	-0.110467
TCGA-D5-5539-01A-01D-A91Y-36	chr1	16211001	16624000	379	-0.127038
TCGA-D5-5539-01A-01D-A91Y-36	chr1	16624001	16632000	8	-0.044679
TCGA-D5-5539-01A-01D-A91Y-36	chr1	16632001	19563000	2787	-0.124128
TCGA-D5-5539-01A-01D-A91Y-36	chr1	19563001	24363000	4775	-0.110558
TCGA-D5-5539-01A-01D-A91Y-36	chr1	24363001	41166000	16627	-0.113015
TCGA-D5-5539-01A-01D-A91Y-36	chr1	41166001	41343000	177	-0.061762
TCGA-D5-5539-01A-01D-A91Y-36	chr1	41343001	56719000	15289	-0.099119
TCGA-D5-5539-01A-01D-A91Y-36	chr1	56719001	59506000	2767	-0.091786
TCGA-D5-5539-01A-01D-A91Y-36	chr1	59506001	63225000	3709	-0.083702
TCGA-D5-5539-01A-01D-A91Y-36	chr1	63225001	63746000	516	-0.105667
TCGA-D5-5539-01A-01D-A91Y-36	chr1	63746001	72602000	8748	-0.090898
TCGA-D5-5539-01A-01D-A91Y-36	chr1	72602001	82988000	10314	-0.109103
TCGA-D5-5539-01A-01D-A91Y-36	chr1	82988001	96647000	13522	-0.085368
TCGA-D5-5539-01A-01D-A91Y-36	chr1	96647001	99143000	2488	-0.108299
TCGA-D5-5539-01A-01D-A91Y-36	chr1	99143001	99808000	661	-0.090613
TCGA-D5-5539-01A-01D-A91Y-36	chr1	99808001	101717000	1904	-0.900950
TCGA-D5-5539-01A-01D-A91Y-36	chr1	101717001	103520000	1796	-0.905418
TCGA-D5-5539-01A-01D-A91Y-36	chr1	103520001	106540000	2827	-0.116801
TCGA-D5-5539-01A-01D-A91Y-36	chr1	106540001	109474000	2739	-0.086661
TCGA-D5-5539-01A-01D-A91Y-36	chr1	109474001	111002000	1498	-0.099966
TCGA-D5-5539-01A-01D-A91Y-36	chr1	111002001	122923000	9369	-0.091700
TCGA-D5-5539-01A-01D-A91Y-36	chr1	122925001	123391000	45	-0.543016
TCGA-D5-5539-01A-01D-A91Y-36	chr1	123393001	123525000	18	0.367295
TCGA-D5-5539-01A-01D-A91Y-36	chr1	123525001	123557000	11	-1.143604
TCGA-D5-5539-01A-01D-A91Y-36	chr1	123558001	124553000	131	-0.061679
TCGA-D5-5539-01A-01D-A91Y-36	chr1	124555001	124591000	8	-3.239894
TCGA-D5-5539-01A-01D-A91Y-36	chr1	124591001	124764000	45	-0.570424
TCGA-D5-5539-01A-01D-A91Y-36	chr1	124766001	125178000	248	0.701561
TCGA-D5-5539-01A-01D-A91Y-36	chr1	125178001	144141000	335	0.213034
TCGA-D5-5539-01A-01D-A91Y-36	chr1	144396001	145844000	407	0.739855
TCGA-D5-5539-01A-01D-A91Y-36	chr1	145844001	147084000	456	0.703162
TCGA-D5-5539-01A-01D-A91Y-36	chr1	147084001	152510000	3912	0.736718
TCGA-D5-5539-01A-01D-A91Y-36	chr1	152510001	153702000	1144	0.736267
TCGA-D5-5539-01A-01D-A91Y-36	chr1	153702001	153718000	16	1.403459
TCGA-D5-5539-01A-01D-A91Y-36	chr1	153718001	157645000	3895	0.723777
TCGA-D5-5539-01A-01D-A91Y-36	chr1	157645001	159268000	1610	0.732343
TCGA-D5-5539-01A-01D-A91Y-36	chr1	159268001	167126000	7740	0.743154
TCGA-D5-5539-01A-01D-A91Y-36	chr1	167126001	168565000	1433	0.750497
