GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c1627bec-7f00-4dd2-b430-123390367177	1	62920	86341	11	0.7654
c1627bec-7f00-4dd2-b430-123390367177	1	98588	10307151	5141	-0.0388
c1627bec-7f00-4dd2-b430-123390367177	1	10307286	10321730	21	-0.725
c1627bec-7f00-4dd2-b430-123390367177	1	10321821	16037445	3245	-0.03
c1627bec-7f00-4dd2-b430-123390367177	1	16041638	16052921	6	0.7858
c1627bec-7f00-4dd2-b430-123390367177	1	16063071	16494124	200	0.0006
c1627bec-7f00-4dd2-b430-123390367177	1	16504088	16679281	38	-0.369
c1627bec-7f00-4dd2-b430-123390367177	1	16679483	22170210	3525	-0.021
c1627bec-7f00-4dd2-b430-123390367177	1	22175223	22177779	3	-1.0741
c1627bec-7f00-4dd2-b430-123390367177	1	22180930	25301974	1827	-0.0126
c1627bec-7f00-4dd2-b430-123390367177	1	25318693	25336819	7	0.7599
c1627bec-7f00-4dd2-b430-123390367177	1	25336853	72280850	28703	-0.0184
c1627bec-7f00-4dd2-b430-123390367177	1	72280864	72357136	73	0.2261
c1627bec-7f00-4dd2-b430-123390367177	1	72357153	72549991	113	-0.0324
c1627bec-7f00-4dd2-b430-123390367177	1	72550689	72552840	2	1.3355
c1627bec-7f00-4dd2-b430-123390367177	1	72556765	105763866	21040	-0.0271
c1627bec-7f00-4dd2-b430-123390367177	1	105766516	105773232	7	-0.8064
c1627bec-7f00-4dd2-b430-123390367177	1	105778334	108951525	2073	-0.0233
c1627bec-7f00-4dd2-b430-123390367177	1	108954232	108966416	19	-0.7103
c1627bec-7f00-4dd2-b430-123390367177	1	108966674	110805407	1153	-0.0082
c1627bec-7f00-4dd2-b430-123390367177	1	110810668	110817923	9	-0.6121
c1627bec-7f00-4dd2-b430-123390367177	1	110820818	110833598	14	0.0475
c1627bec-7f00-4dd2-b430-123390367177	1	110834746	110845604	39	-0.487
c1627bec-7f00-4dd2-b430-123390367177	1	110849445	112153465	1077	-0.0289
c1627bec-7f00-4dd2-b430-123390367177	1	112153571	112154591	20	0.4035
c1627bec-7f00-4dd2-b430-123390367177	1	112154619	152583051	7599	-0.0145
c1627bec-7f00-4dd2-b430-123390367177	1	152583230	152614118	35	1.101
c1627bec-7f00-4dd2-b430-123390367177	1	152618018	152619477	9	0.0202
c1627bec-7f00-4dd2-b430-123390367177	1	152619503	152619944	5	-0.6782
c1627bec-7f00-4dd2-b430-123390367177	1	152620051	152784330	151	-0.0048
c1627bec-7f00-4dd2-b430-123390367177	1	152785214	152796224	39	-0.3876
c1627bec-7f00-4dd2-b430-123390367177	1	152801429	155219369	1343	-0.0065
c1627bec-7f00-4dd2-b430-123390367177	1	155219754	155231273	10	0.938
c1627bec-7f00-4dd2-b430-123390367177	1	155241876	174827267	13449	-0.0068
c1627bec-7f00-4dd2-b430-123390367177	1	174827418	174832996	22	-0.5045
c1627bec-7f00-4dd2-b430-123390367177	1	174833014	196745692	14624	-0.0061
c1627bec-7f00-4dd2-b430-123390367177	1	196745743	196832720	59	-0.4745
c1627bec-7f00-4dd2-b430-123390367177	1	196843377	248572774	35609	-0.0132
c1627bec-7f00-4dd2-b430-123390367177	1	248574146	248633912	33	-0.6351
c1627bec-7f00-4dd2-b430-123390367177	1	248645563	248930189	141	-0.0543
c1627bec-7f00-4dd2-b430-123390367177	2	12784	4158097	2987	-0.0328
c1627bec-7f00-4dd2-b430-123390367177	2	4166274	4176429	42	-0.612
c1627bec-7f00-4dd2-b430-123390367177	2	4182472	35356629	21614	-0.0178
c1627bec-7f00-4dd2-b430-123390367177	2	35356931	35390609	50	-0.8639
c1627bec-7f00-4dd2-b430-123390367177	2	35396850	52531652	12405	-0.0139
c1627bec-7f00-4dd2-b430-123390367177	2	52531677	52554404	30	0.4254
c1627bec-7f00-4dd2-b430-123390367177	2	52560811	87207015	21992	-0.0163
c1627bec-7f00-4dd2-b430-123390367177	2	87207066	87295819	30	-0.573
c1627bec-7f00-4dd2-b430-123390367177	2	87299357	100707884	3644	-0.0366
c1627bec-7f00-4dd2-b430-123390367177	2	100707920	101024937	252	-0.2839
c1627bec-7f00-4dd2-b430-123390367177	2	101026381	114628878	7875	-0.0133
c1627bec-7f00-4dd2-b430-123390367177	2	114629270	114645637	19	-0.7831
c1627bec-7f00-4dd2-b430-123390367177	2	114645655	130036283	9848	-0.0197
c1627bec-7f00-4dd2-b430-123390367177	2	130036310	130116915	13	-0.7297
c1627bec-7f00-4dd2-b430-123390367177	2	130117303	131458124	424	-0.0637
c1627bec-7f00-4dd2-b430-123390367177	2	131464435	131468795	3	-1.8945
c1627bec-7f00-4dd2-b430-123390367177	2	131472229	146106861	9089	-0.0235
c1627bec-7f00-4dd2-b430-123390367177	2	146106875	146109366	22	0.5892
c1627bec-7f00-4dd2-b430-123390367177	2	146120238	185117250	24047	-0.0145
c1627bec-7f00-4dd2-b430-123390367177	2	185118456	185953888	402	0.0808
c1627bec-7f00-4dd2-b430-123390367177	2	185954016	188259504	1256	-0.0146
c1627bec-7f00-4dd2-b430-123390367177	2	188262203	188264331	2	-2.1371
c1627bec-7f00-4dd2-b430-123390367177	2	188264452	188420530	54	-0.0421
c1627bec-7f00-4dd2-b430-123390367177	2	188422109	188423828	2	-1.3365
c1627bec-7f00-4dd2-b430-123390367177	2	188426618	202428289	8006	-0.0069
c1627bec-7f00-4dd2-b430-123390367177	2	202428368	202447478	42	-0.7183
c1627bec-7f00-4dd2-b430-123390367177	2	202448759	242147305	25195	-0.0173
c1627bec-7f00-4dd2-b430-123390367177	3	20930	822942	656	0.0244
c1627bec-7f00-4dd2-b430-123390367177	3	824254	825176	2	-1.6405
c1627bec-7f00-4dd2-b430-123390367177	3	825606	1875292	1013	0.011
c1627bec-7f00-4dd2-b430-123390367177	3	1876465	1881281	6	-1.2689
c1627bec-7f00-4dd2-b430-123390367177	3	1883380	27072782	18682	-0.0133
c1627bec-7f00-4dd2-b430-123390367177	3	27076956	27084106	20	-0.5456
c1627bec-7f00-4dd2-b430-123390367177	3	27084161	28598162	918	-0.0368
c1627bec-7f00-4dd2-b430-123390367177	3	28600794	28601434	2	-1.284
c1627bec-7f00-4dd2-b430-123390367177	3	28605965	36091859	5038	-0.0077
c1627bec-7f00-4dd2-b430-123390367177	3	36092975	36094217	3	-1.5277
c1627bec-7f00-4dd2-b430-123390367177	3	36094469	46008216	6330	-0.0114
c1627bec-7f00-4dd2-b430-123390367177	3	46008344	46010221	2	-2.5405
c1627bec-7f00-4dd2-b430-123390367177	3	46010251	46380554	229	-0.0476
c1627bec-7f00-4dd2-b430-123390367177	3	46380801	46380896	4	-0.84
c1627bec-7f00-4dd2-b430-123390367177	3	46381266	46751887	248	-0.0001
c1627bec-7f00-4dd2-b430-123390367177	3	46760327	46808099	40	-2.2888
c1627bec-7f00-4dd2-b430-123390367177	3	46817989	130067443	49195	-0.0162
c1627bec-7f00-4dd2-b430-123390367177	3	130067531	130079938	25	0.5453
c1627bec-7f00-4dd2-b430-123390367177	3	130080170	154775592	15390	-0.0153
c1627bec-7f00-4dd2-b430-123390367177	3	154777163	154778164	5	-1.6563
c1627bec-7f00-4dd2-b430-123390367177	3	154778302	162795304	4858	-0.0166
c1627bec-7f00-4dd2-b430-123390367177	3	162795361	162879345	47	0.6647
c1627bec-7f00-4dd2-b430-123390367177	3	162879443	162996729	92	0.0572
c1627bec-7f00-4dd2-b430-123390367177	3	162999939	163001774	2	-2.3603
c1627bec-7f00-4dd2-b430-123390367177	3	163008371	163421963	240	-0.044
c1627bec-7f00-4dd2-b430-123390367177	3	163438181	165331163	1007	-0.2464
c1627bec-7f00-4dd2-b430-123390367177	3	165333407	175399860	6374	-0.0059
c1627bec-7f00-4dd2-b430-123390367177	3	175400322	175729683	220	0.147
c1627bec-7f00-4dd2-b430-123390367177	3	175731038	193160173	11240	-0.0131
c1627bec-7f00-4dd2-b430-123390367177	3	193160256	193165114	18	1.1912
c1627bec-7f00-4dd2-b430-123390367177	3	193168646	195559056	1483	-0.0127
c1627bec-7f00-4dd2-b430-123390367177	3	195656271	195747892	44	-0.6707
c1627bec-7f00-4dd2-b430-123390367177	3	195751823	195973611	81	0.0026
c1627bec-7f00-4dd2-b430-123390367177	3	195974244	195982791	4	-1.1685
