GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	62920	17973958	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	17979141	18229297	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	18230710	18263454	4	3	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	18264160	18302248	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	18303612	31152499	2	2	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	31152542	152583051	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	152583230	152614118	0	0	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	152618018	208370291	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	208370660	208600412	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	208602932	242223763	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	242224547	242244168	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr1	242244355	248930189	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	12784	14187348	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	14189102	14239203	8	8	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	14239371	46223495	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	46223753	46267063	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	46271115	50275899	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	50279146	50304301	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	50304556	57936011	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	57937088	57942815	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	57942869	89254427	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	89265460	91907213	8	8	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	91907217	141632802	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	141632860	144645443	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	144645502	159724045	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	159726730	160144318	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	160145814	181283822	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	181286249	181339392	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	181339768	241975568	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr2	241975583	242147305	0	0	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr3	20930	146538692	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr3	146539520	146649834	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr3	146650017	198169247	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	68929	49063964	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	49078996	51819533	6	6	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	51819827	91222192	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	91222907	91604044	0	0	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	91604883	150735437	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	150743286	151150736	7	7	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr4	151157629	190106768	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	15532	90968655	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	90976108	90988559	2	1	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	90991674	101335143	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	101335451	101637191	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	101638329	128198994	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	128200025	128300881	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	128301942	128357833	5	3	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	128370353	129022330	2	2	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	129024498	163099206	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	163104166	167256052	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	167264254	167398089	4	4	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	167399027	167674156	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	167677147	167777170	4	3	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	167777464	168021074	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	168021745	169468757	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	169472983	169476444	2	1	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	169485757	170252699	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr5	170254091	181363319	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr6	149661	119186442	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr6	119188620	119199182	2	1	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr6	119202366	170741917	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr7	43259	29881290	7	5	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr7	29881351	50598830	6	4	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr7	50601426	52585668	7	5	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr7	52586173	64695781	6	4	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr7	64696620	114129132	2	2	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr7	114129260	159334314	6	4	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr8	81254	15845381	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr8	15845468	31885597	2	2	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr8	31885917	35945225	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr8	35948728	36145577	4	4	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr8	36146138	38464828	2	2	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr8	38472425	145072769	4	2	2
776b6b01-24ef-4b2d-af91-f979277eff39	chr9	46587	32889950	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr9	32890701	32905801	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr9	32905901	73917596	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr9	73919568	74019201	4	3	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr9	74023592	138200944	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	45792	65548272	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	65548833	65554688	0	0	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	65563037	95105427	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	95105451	95109349	18	18	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	95109949	130871298	3	2	1
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	130871355	130878921	1	1	0
776b6b01-24ef-4b2d-af91-f979277eff39	chr10	130879003	133654968	3	2	1
