GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
23da8f96-9624-4180-8ec8-9262e3bb32dc	1	3301765	247650984	129675	0.002
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	480597	123484614	65590	0.0014
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	123484634	123602963	2	2.1358
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	123602994	206886528	45451	0.0025
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	206886553	206887012	2	-1.6883
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	206888936	214829926	4703	-0.0019
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	214830975	214839122	2	1.6383
23da8f96-9624-4180-8ec8-9262e3bb32dc	2	214841527	241537572	16362	0.0055
23da8f96-9624-4180-8ec8-9262e3bb32dc	3	2170634	197812401	107112	0.0018
23da8f96-9624-4180-8ec8-9262e3bb32dc	4	1059384	187842528	103417	0.0014
23da8f96-9624-4180-8ec8-9262e3bb32dc	5	914118	180934240	101048	0.0029
23da8f96-9624-4180-8ec8-9262e3bb32dc	6	1011760	170596889	97077	0.0012
23da8f96-9624-4180-8ec8-9262e3bb32dc	7	664936	79636172	40263	0.0034
23da8f96-9624-4180-8ec8-9262e3bb32dc	7	79636332	79638239	2	-1.725
23da8f96-9624-4180-8ec8-9262e3bb32dc	7	79639706	158592540	41636	0.0013
23da8f96-9624-4180-8ec8-9262e3bb32dc	8	667625	144182542	82164	0.0029
23da8f96-9624-4180-8ec8-9262e3bb32dc	9	789794	138044505	68442	0.0001
23da8f96-9624-4180-8ec8-9262e3bb32dc	10	366509	768276	132	0.0034
23da8f96-9624-4180-8ec8-9262e3bb32dc	10	768342	771086	3	1.2763
23da8f96-9624-4180-8ec8-9262e3bb32dc	10	772838	133411599	81104	0
23da8f96-9624-4180-8ec8-9262e3bb32dc	11	456012	134272740	77500	0.0019
23da8f96-9624-4180-8ec8-9262e3bb32dc	12	780472	132605822	74302	0.002
23da8f96-9624-4180-8ec8-9262e3bb32dc	13	18874255	114226675	56941	0.0032
23da8f96-9624-4180-8ec8-9262e3bb32dc	14	20033191	97686717	45671	-0.0013
23da8f96-9624-4180-8ec8-9262e3bb32dc	14	97686776	97690252	2	1.7491
23da8f96-9624-4180-8ec8-9262e3bb32dc	14	97690508	105533894	4075	0.0051
23da8f96-9624-4180-8ec8-9262e3bb32dc	15	23437561	101344124	44764	0.0022
23da8f96-9624-4180-8ec8-9262e3bb32dc	16	603333	89317317	41186	0.0008
23da8f96-9624-4180-8ec8-9262e3bb32dc	17	1074619	82959812	37266	0.0029
23da8f96-9624-4180-8ec8-9262e3bb32dc	18	326691	79349796	42932	0.0014
23da8f96-9624-4180-8ec8-9262e3bb32dc	19	283868	4183310	947	-0.008
23da8f96-9624-4180-8ec8-9262e3bb32dc	19	4184195	4186146	2	-1.601
23da8f96-9624-4180-8ec8-9262e3bb32dc	19	4194093	58370362	23200	0.0053
23da8f96-9624-4180-8ec8-9262e3bb32dc	20	472817	63588502	37532	0.0035
23da8f96-9624-4180-8ec8-9262e3bb32dc	21	13974127	46262057	20581	0.0023
23da8f96-9624-4180-8ec8-9262e3bb32dc	22	16934932	48940621	17082	0.0038
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	3236359	3267592	24	0.1375
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	3267836	3268611	3	-2.135
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	3270542	8815239	875	0.0147
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	8818678	8821613	3	-1.4852
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	8822592	9299622	357	0.0346
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	9300825	9300952	2	-4.1728
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	9301001	30457527	11111	0.0084
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	30457547	30457945	2	-4.4802
23da8f96-9624-4180-8ec8-9262e3bb32dc	X	30458063	155677414	51328	0.0121
