GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2bda452d-d50e-4426-b355-52c79cf710ed	1	62920	8283221	4132	0.0963
2bda452d-d50e-4426-b355-52c79cf710ed	1	8283435	8707721	193	-0.0607
2bda452d-d50e-4426-b355-52c79cf710ed	1	8707855	16609512	4328	0.1044
2bda452d-d50e-4426-b355-52c79cf710ed	1	16617118	16643961	23	0.5692
2bda452d-d50e-4426-b355-52c79cf710ed	1	16679239	25256800	5338	0.1069
2bda452d-d50e-4426-b355-52c79cf710ed	1	25256850	25336819	26	-0.4162
2bda452d-d50e-4426-b355-52c79cf710ed	1	25336853	65105691	24028	0.1062
2bda452d-d50e-4426-b355-52c79cf710ed	1	65109218	72297687	4689	-0.3824
2bda452d-d50e-4426-b355-52c79cf710ed	1	72302735	72345465	48	0.1817
2bda452d-d50e-4426-b355-52c79cf710ed	1	72346221	109684893	23570	-0.3716
2bda452d-d50e-4426-b355-52c79cf710ed	1	109690352	109692006	10	-1.8717
2bda452d-d50e-4426-b355-52c79cf710ed	1	109696900	112147704	1945	-0.4086
2bda452d-d50e-4426-b355-52c79cf710ed	1	112153343	112154552	19	-1.9391
2bda452d-d50e-4426-b355-52c79cf710ed	1	112154566	120146498	5056	-0.3815
2bda452d-d50e-4426-b355-52c79cf710ed	1	120370887	152583051	2540	0.083
2bda452d-d50e-4426-b355-52c79cf710ed	1	152583230	152614118	35	1.0981
2bda452d-d50e-4426-b355-52c79cf710ed	1	152618018	187677288	23613	0.0908
2bda452d-d50e-4426-b355-52c79cf710ed	1	187678016	196758720	6028	0.0538
2bda452d-d50e-4426-b355-52c79cf710ed	1	196761905	196832312	55	-0.4361
2bda452d-d50e-4426-b355-52c79cf710ed	1	196832525	209897717	8784	0.0888
2bda452d-d50e-4426-b355-52c79cf710ed	1	209908268	209910639	3	-1.7771
2bda452d-d50e-4426-b355-52c79cf710ed	1	209913207	226914653	11437	0.0821
2bda452d-d50e-4426-b355-52c79cf710ed	1	226915712	226916206	3	-1.1676
2bda452d-d50e-4426-b355-52c79cf710ed	1	226917106	240230715	9708	0.0833
2bda452d-d50e-4426-b355-52c79cf710ed	1	240230732	240230824	4	-1.9662
2bda452d-d50e-4426-b355-52c79cf710ed	1	240230839	248930189	5856	0.0693
2bda452d-d50e-4426-b355-52c79cf710ed	2	12784	3949270	2816	0.0323
2bda452d-d50e-4426-b355-52c79cf710ed	2	3949834	4071727	85	-0.4821
2bda452d-d50e-4426-b355-52c79cf710ed	2	4073953	4866110	702	0.076
2bda452d-d50e-4426-b355-52c79cf710ed	2	4866333	6301099	1257	-0.0001
2bda452d-d50e-4426-b355-52c79cf710ed	2	6301189	7145213	760	0.0802
2bda452d-d50e-4426-b355-52c79cf710ed	2	7148235	7171005	26	-0.6478
2bda452d-d50e-4426-b355-52c79cf710ed	2	7174497	35750907	19343	0.0768
2bda452d-d50e-4426-b355-52c79cf710ed	2	35752724	35762850	6	-1.6459
2bda452d-d50e-4426-b355-52c79cf710ed	2	35762881	38147425	1905	0.0773
2bda452d-d50e-4426-b355-52c79cf710ed	2	38147954	38148887	4	-0.8909
2bda452d-d50e-4426-b355-52c79cf710ed	2	38149427	46262656	5919	0.094
2bda452d-d50e-4426-b355-52c79cf710ed	2	46262993	46265133	3	-1.05
2bda452d-d50e-4426-b355-52c79cf710ed	2	46265543	48914699	1718	0.0944
2bda452d-d50e-4426-b355-52c79cf710ed	2	48915711	52527330	2578	0.0394
2bda452d-d50e-4426-b355-52c79cf710ed	2	52527342	52554384	38	0.5393
2bda452d-d50e-4426-b355-52c79cf710ed	2	52554404	81020892	18629	0.0734
2bda452d-d50e-4426-b355-52c79cf710ed	2	81024263	82047492	611	-0.0188
2bda452d-d50e-4426-b355-52c79cf710ed	2	82049073	97359885	4600	0.0669
2bda452d-d50e-4426-b355-52c79cf710ed	2	97524284	97545726	9	-1.1096
2bda452d-d50e-4426-b355-52c79cf710ed	2	97550415	122618618	14983	0.0803
2bda452d-d50e-4426-b355-52c79cf710ed	2	122623320	129026586	4094	0.0503
2bda452d-d50e-4426-b355-52c79cf710ed	2	129027150	129027847	3	-1.4035
2bda452d-d50e-4426-b355-52c79cf710ed	2	129031535	146106875	10295	0.0444
2bda452d-d50e-4426-b355-52c79cf710ed	2	146106889	146109366	21	0.911
2bda452d-d50e-4426-b355-52c79cf710ed	2	146120238	159102108	7775	0.0703
2bda452d-d50e-4426-b355-52c79cf710ed	2	159103831	159104461	2	1.6724
2bda452d-d50e-4426-b355-52c79cf710ed	2	159106775	183220725	15044	0.0758
2bda452d-d50e-4426-b355-52c79cf710ed	2	183221060	183224996	9	-0.8897
2bda452d-d50e-4426-b355-52c79cf710ed	2	183229270	183704342	279	0.0699
2bda452d-d50e-4426-b355-52c79cf710ed	2	183706582	183707062	5	1.1386
2bda452d-d50e-4426-b355-52c79cf710ed	2	183709047	183738168	42	0.0168
2bda452d-d50e-4426-b355-52c79cf710ed	2	183738597	183738648	2	1.6089
2bda452d-d50e-4426-b355-52c79cf710ed	2	183738817	242147305	35848	0.0685
2bda452d-d50e-4426-b355-52c79cf710ed	3	20930	35639	17	-0.0579
2bda452d-d50e-4426-b355-52c79cf710ed	3	43533	86250	38	0.6705
2bda452d-d50e-4426-b355-52c79cf710ed	3	86506	4237773	3756	0.0451
2bda452d-d50e-4426-b355-52c79cf710ed	3	4244197	4330702	58	-0.0751
2bda452d-d50e-4426-b355-52c79cf710ed	3	4334204	4336519	5	-0.8253
2bda452d-d50e-4426-b355-52c79cf710ed	3	4336733	4778228	430	-0.1318
2bda452d-d50e-4426-b355-52c79cf710ed	3	4778768	5037474	186	0.0339
2bda452d-d50e-4426-b355-52c79cf710ed	3	5042791	5109052	60	-0.9583
2bda452d-d50e-4426-b355-52c79cf710ed	3	5116914	6604856	1260	0.0654
2bda452d-d50e-4426-b355-52c79cf710ed	3	6609441	6611645	23	-0.6753
2bda452d-d50e-4426-b355-52c79cf710ed	3	6613391	20271633	9406	0.0621
2bda452d-d50e-4426-b355-52c79cf710ed	3	20273630	20274591	2	-3.1895
2bda452d-d50e-4426-b355-52c79cf710ed	3	20286589	23937812	2609	0.0181
2bda452d-d50e-4426-b355-52c79cf710ed	3	23939938	23940837	2	-3.4716
2bda452d-d50e-4426-b355-52c79cf710ed	3	23940839	65202778	27425	0.0758
2bda452d-d50e-4426-b355-52c79cf710ed	3	65203560	65224777	52	-0.8246
2bda452d-d50e-4426-b355-52c79cf710ed	3	65230674	70196529	3653	0.0788
2bda452d-d50e-4426-b355-52c79cf710ed	3	70196719	72568139	1744	0.0525
2bda452d-d50e-4426-b355-52c79cf710ed	3	72570495	72792005	142	-0.1242
2bda452d-d50e-4426-b355-52c79cf710ed	3	72794409	97913872	12015	0.0443
2bda452d-d50e-4426-b355-52c79cf710ed	3	97914324	102502879	2629	0.0945
2bda452d-d50e-4426-b355-52c79cf710ed	3	102505923	105879830	2118	0.0418
2bda452d-d50e-4426-b355-52c79cf710ed	3	105880275	117946798	7652	0.0781
2bda452d-d50e-4426-b355-52c79cf710ed	3	117950562	119381369	856	0.0365
2bda452d-d50e-4426-b355-52c79cf710ed	3	119383403	130067896	6258	0.103
2bda452d-d50e-4426-b355-52c79cf710ed	3	130067910	130079892	22	0.7104
2bda452d-d50e-4426-b355-52c79cf710ed	3	130079938	162790404	20250	0.0847
2bda452d-d50e-4426-b355-52c79cf710ed	3	162790480	162898127	65	-0.2387
2bda452d-d50e-4426-b355-52c79cf710ed	3	162906054	166786258	2239	0.0588
2bda452d-d50e-4426-b355-52c79cf710ed	3	166794211	190292780	14900	0.0998
2bda452d-d50e-4426-b355-52c79cf710ed	3	190293086	193160113	2021	0.0732
2bda452d-d50e-4426-b355-52c79cf710ed	3	193160173	193161217	6	1.104
2bda452d-d50e-4426-b355-52c79cf710ed	3	193162684	195729069	1527	0.1263
2bda452d-d50e-4426-b355-52c79cf710ed	3	195729085	195747311	12	0.8526
2bda452d-d50e-4426-b355-52c79cf710ed	3	195747892	198106066	1123	0.1034
2bda452d-d50e-4426-b355-52c79cf710ed	3	198106165	198169247	44	-0.2246
