GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	62920	777165	23	0.4162
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	783283	5320542	2258	-0.4591
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	5323260	5323383	3	-2.1349
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	5324268	5525843	130	-0.4741
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	5532739	5534677	4	-2.6301
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	5536078	10297534	2730	-0.4462
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	10298108	10321714	27	0.0554
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	10321730	12777697	1300	-0.4457
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	12778601	13388993	48	0.0161
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	13389302	19858442	4298	-0.4534
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	19860480	19861965	5	-2.0434
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	19864179	25256850	3158	-0.4351
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	25266637	25336819	25	0.3834
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	25336853	53084515	14997	-0.4342
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	53085621	72297687	13683	-0.4799
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	72302735	72345465	48	0.7253
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	72346221	79753014	4636	-0.5086
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	79754904	79761225	5	-2.2931
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	79761784	83158140	2354	-0.5593
9b5c794d-d1c4-4ca5-979d-1a4bde7b6868	1	83158270	87482310	2843	-0.4434
