GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CK-4951-01A-01D-1405-02	chr1	17001	270000	9	-1.908584
TCGA-CK-4951-01A-01D-1405-02	chr1	629001	771000	7	0.686857
TCGA-CK-4951-01A-01D-1405-02	chr1	777001	921000	130	-0.704274
TCGA-CK-4951-01A-01D-1405-02	chr1	921001	2312000	1323	-0.276826
TCGA-CK-4951-01A-01D-1405-02	chr1	2312001	2657000	344	-0.187698
TCGA-CK-4951-01A-01D-1405-02	chr1	2683001	2778000	8	-2.452068
TCGA-CK-4951-01A-01D-1405-02	chr1	2778001	4859000	2060	-0.105610
TCGA-CK-4951-01A-01D-1405-02	chr1	4859001	4867000	8	-2.220000
TCGA-CK-4951-01A-01D-1405-02	chr1	4867001	5045000	178	-0.044713
TCGA-CK-4951-01A-01D-1405-02	chr1	5045001	5053000	8	-1.332490
TCGA-CK-4951-01A-01D-1405-02	chr1	5053001	6452000	1395	-0.039565
TCGA-CK-4951-01A-01D-1405-02	chr1	6452001	7411000	958	-0.072419
TCGA-CK-4951-01A-01D-1405-02	chr1	7411001	7417000	6	-2.714138
TCGA-CK-4951-01A-01D-1405-02	chr1	7417001	7597000	180	-0.046934
TCGA-CK-4951-01A-01D-1405-02	chr1	7597001	7606000	9	-3.728121
TCGA-CK-4951-01A-01D-1405-02	chr1	7606001	12781000	5168	-0.086986
TCGA-CK-4951-01A-01D-1405-02	chr1	12781001	12866000	82	-0.505326
TCGA-CK-4951-01A-01D-1405-02	chr1	12870001	12901000	11	-2.906681
TCGA-CK-4951-01A-01D-1405-02	chr1	12907001	13007000	4	-28.857870
TCGA-CK-4951-01A-01D-1405-02	chr1	13056001	13122000	21	-0.064686
TCGA-CK-4951-01A-01D-1405-02	chr1	13170001	13332000	44	-1.265482
TCGA-CK-4951-01A-01D-1405-02	chr1	13333001	13347000	10	-2.417207
TCGA-CK-4951-01A-01D-1405-02	chr1	13349001	13539000	185	-0.922138
TCGA-CK-4951-01A-01D-1405-02	chr1	13539001	14382000	841	-0.008287
TCGA-CK-4951-01A-01D-1405-02	chr1	14382001	14389000	7	-3.101961
TCGA-CK-4951-01A-01D-1405-02	chr1	14389001	15994000	1600	-0.065198
TCGA-CK-4951-01A-01D-1405-02	chr1	15994001	16541000	543	-0.724827
TCGA-CK-4951-01A-01D-1405-02	chr1	16541001	16542000	1	-29.537701
TCGA-CK-4951-01A-01D-1405-02	chr1	16543001	16577000	12	-2.481930
TCGA-CK-4951-01A-01D-1405-02	chr1	16577001	16583000	6	-30.405416
TCGA-CK-4951-01A-01D-1405-02	chr1	16583001	16591000	8	-3.312116
TCGA-CK-4951-01A-01D-1405-02	chr1	16591001	16603000	5	-30.055972
TCGA-CK-4951-01A-01D-1405-02	chr1	16604001	16653000	49	-1.194601
TCGA-CK-4951-01A-01D-1405-02	chr1	16653001	16654000	1	-29.801078
TCGA-CK-4951-01A-01D-1405-02	chr1	16674001	16697000	13	-0.916950
TCGA-CK-4951-01A-01D-1405-02	chr1	16699001	16705000	2	-4.448561
TCGA-CK-4951-01A-01D-1405-02	chr1	16705001	16730000	21	-1.838705
TCGA-CK-4951-01A-01D-1405-02	chr1	16730001	16757000	5	-2.376593
TCGA-CK-4951-01A-01D-1405-02	chr1	16760001	16950000	115	-1.846648
TCGA-CK-4951-01A-01D-1405-02	chr1	16950001	25058000	8073	-0.053507
TCGA-CK-4951-01A-01D-1405-02	chr1	25058001	25061000	3	-29.446387
TCGA-CK-4951-01A-01D-1405-02	chr1	25061001	30577000	5404	-0.075466
TCGA-CK-4951-01A-01D-1405-02	chr1	30577001	30583000	6	-1.430534
TCGA-CK-4951-01A-01D-1405-02	chr1	30583001	33670000	3080	-0.041974
TCGA-CK-4951-01A-01D-1405-02	chr1	33670001	33679000	9	-3.247855
TCGA-CK-4951-01A-01D-1405-02	chr1	33679001	41176000	7446	-0.033183
TCGA-CK-4951-01A-01D-1405-02	chr1	41176001	45178000	3984	0.003335
TCGA-CK-4951-01A-01D-1405-02	chr1	45178001	45187000	9	-4.467041
TCGA-CK-4951-01A-01D-1405-02	chr1	45187001	45283000	95	0.130520
TCGA-CK-4951-01A-01D-1405-02	chr1	45283001	46015000	729	-0.043030
TCGA-CK-4951-01A-01D-1405-02	chr1	46015001	46018000	3	-3.238511
TCGA-CK-4951-01A-01D-1405-02	chr1	46018001	47053000	1020	-0.039139
TCGA-CK-4951-01A-01D-1405-02	chr1	47053001	47057000	4	-4.679245
TCGA-CK-4951-01A-01D-1405-02	chr1	47057001	47166000	99	-0.231065
TCGA-CK-4951-01A-01D-1405-02	chr1	47166001	47173000	7	-3.058820
TCGA-CK-4951-01A-01D-1405-02	chr1	47173001	48276000	1096	-0.003833
TCGA-CK-4951-01A-01D-1405-02	chr1	48276001	48284000	8	-1.586301
TCGA-CK-4951-01A-01D-1405-02	chr1	48284001	52171000	3872	0.025631
TCGA-CK-4951-01A-01D-1405-02	chr1	52171001	52177000	6	-2.561131
TCGA-CK-4951-01A-01D-1405-02	chr1	52177001	55501000	3315	-0.022405
TCGA-CK-4951-01A-01D-1405-02	chr1	55501001	58487000	2959	0.017574
TCGA-CK-4951-01A-01D-1405-02	chr1	58487001	58495000	8	-1.212858
