GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
2de00448-e88d-487a-9f36-16d49cc6e197	chr1	61735	248930189	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr2	12784	242147305	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr3	18667	59583703	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr3	59589323	59727665	3	2	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr3	59731422	59864287	2	2	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr3	59865398	60294217	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr3	60294526	198169247	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr4	12281	190106768	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr5	15532	181363319	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr6	149661	147922992	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr6	147926142	147971026	3	2	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr6	147971243	170741917	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr7	43259	159334314	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr8	81254	145072769	3	2	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr9	46587	138200944	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr10	26823	133769379	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr11	198572	37406517	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr11	37406530	38230080	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr11	38234991	135074876	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr12	51460	11889525	3	2	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr12	11889763	133201603	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr13	18452809	114342922	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr14	18225647	106877229	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr15	19811075	42236325	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr15	42236478	87955954	2	2	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr15	87956202	101928837	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	10777	5236499	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	5236843	5645373	3	2	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	5645733	5739201	2	2	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	5743162	5757157	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	5757580	6181251	0	0	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	6181717	6558620	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	6559047	6660897	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	6660940	6881013	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	6884269	7058125	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	7059008	7103263	1	1	0
2de00448-e88d-487a-9f36-16d49cc6e197	chr16	7103295	90221127	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr17	150733	83090856	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr18	48133	80257174	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr19	90910	58586487	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr20	80664	64324800	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr21	10336543	46677045	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chr22	15294545	50796027	2	1	1
2de00448-e88d-487a-9f36-16d49cc6e197	chrX	251810	156004181	3	2	1
