GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	62920	168691128	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	168691170	168696856	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	168697339	193108705	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	193109284	193910678	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	193910792	242218226	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	242218429	242244619	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr1	242245765	248930189	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr2	12784	191117934	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr2	191119069	191137973	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr2	191140169	242147305	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	20930	14806896	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	14807212	14817621	4	2	2
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	14818064	60160602	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	60162795	60278744	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	60285996	60429527	0	0	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	60431306	60580759	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	60581369	162790480	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	162794869	162910855	5	5	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	162910891	191052209	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	191052634	191267458	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr3	191269278	198169247	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr4	68929	74135802	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr4	74137797	74270007	0	0	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr4	74275070	114252544	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr4	114254167	114261019	0	0	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr4	114263073	190106768	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr5	15532	181363319	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr6	149661	103290209	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr6	103290313	103314186	6	6	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr6	103317795	162252017	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr6	162252529	162459212	1	1	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr6	162459462	170741917	2	1	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr7	43259	10237715	3	2	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr7	10239179	10508807	0	0	0
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr7	10510406	65202860	3	2	1
d77e07e6-2f7b-45a9-ad90-ab94ca274e2a	chr7	65209094	65435908	1	1	0
