GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
28f5053f-3358-44e6-847e-e9af1f3af054	1	3301765	247650984	129586	0.0014
28f5053f-3358-44e6-847e-e9af1f3af054	2	480597	55600600	32782	0.0015
28f5053f-3358-44e6-847e-e9af1f3af054	2	55608925	55901204	158	0.5261
28f5053f-3358-44e6-847e-e9af1f3af054	2	55903505	241537572	99111	0.0027
28f5053f-3358-44e6-847e-e9af1f3af054	3	2170634	197812401	107042	0.0018
28f5053f-3358-44e6-847e-e9af1f3af054	4	1059384	187842528	103376	0.0026
28f5053f-3358-44e6-847e-e9af1f3af054	5	913983	180934240	100975	0.002
28f5053f-3358-44e6-847e-e9af1f3af054	6	1011760	170596889	97035	0.0022
28f5053f-3358-44e6-847e-e9af1f3af054	7	664936	158592540	81854	-0.0016
28f5053f-3358-44e6-847e-e9af1f3af054	8	667625	17162746	8468	0.0031
28f5053f-3358-44e6-847e-e9af1f3af054	8	17166164	17178752	17	-1.131
28f5053f-3358-44e6-847e-e9af1f3af054	8	17183919	87321910	39601	0.0034
28f5053f-3358-44e6-847e-e9af1f3af054	8	87329122	87369502	23	0.5627
28f5053f-3358-44e6-847e-e9af1f3af054	8	87374955	98340745	6577	0.0001
28f5053f-3358-44e6-847e-e9af1f3af054	8	98341116	98341127	2	-1.6738
28f5053f-3358-44e6-847e-e9af1f3af054	8	98341491	119555779	11899	0.0005
28f5053f-3358-44e6-847e-e9af1f3af054	8	119555794	119556686	3	-2.2441
28f5053f-3358-44e6-847e-e9af1f3af054	8	119558606	144182542	15533	-0.0026
28f5053f-3358-44e6-847e-e9af1f3af054	9	789794	138044505	68403	0.0054
28f5053f-3358-44e6-847e-e9af1f3af054	10	366509	133411599	81177	0.0028
28f5053f-3358-44e6-847e-e9af1f3af054	11	456012	47372087	29714	0.0008
28f5053f-3358-44e6-847e-e9af1f3af054	11	47372754	47372766	2	-1.4626
28f5053f-3358-44e6-847e-e9af1f3af054	11	47374671	95533318	21937	0.0034
28f5053f-3358-44e6-847e-e9af1f3af054	11	95534736	95536228	4	-1.1891
28f5053f-3358-44e6-847e-e9af1f3af054	11	95538364	134272740	25806	0.0022
28f5053f-3358-44e6-847e-e9af1f3af054	12	780472	113817236	64297	0.0047
28f5053f-3358-44e6-847e-e9af1f3af054	12	113819403	113819629	2	-1.6889
28f5053f-3358-44e6-847e-e9af1f3af054	12	114121479	118069924	2907	0.0081
28f5053f-3358-44e6-847e-e9af1f3af054	12	118070991	118071542	5	-0.8594
28f5053f-3358-44e6-847e-e9af1f3af054	12	118073852	132605822	7057	0.0006
28f5053f-3358-44e6-847e-e9af1f3af054	13	18874255	114226675	56908	0.0001
28f5053f-3358-44e6-847e-e9af1f3af054	14	20033191	105533894	49712	0.001
28f5053f-3358-44e6-847e-e9af1f3af054	15	23437561	72844282	28261	0.0031
28f5053f-3358-44e6-847e-e9af1f3af054	15	72844375	72845202	2	-1.5038
28f5053f-3358-44e6-847e-e9af1f3af054	15	72846275	101344124	16469	0.001
28f5053f-3358-44e6-847e-e9af1f3af054	16	603333	8005892	3320	0.001
28f5053f-3358-44e6-847e-e9af1f3af054	16	8006390	8006576	2	-1.9097
28f5053f-3358-44e6-847e-e9af1f3af054	16	8009712	89317317	37838	0.0033
28f5053f-3358-44e6-847e-e9af1f3af054	17	1074619	78852900	35621	0.0049
28f5053f-3358-44e6-847e-e9af1f3af054	17	78854698	78909037	31	-0.3881
28f5053f-3358-44e6-847e-e9af1f3af054	17	78909655	82786452	1472	-0.0206
28f5053f-3358-44e6-847e-e9af1f3af054	17	82786497	82792814	2	-1.4091
28f5053f-3358-44e6-847e-e9af1f3af054	17	82793886	82959812	102	-0.0373
28f5053f-3358-44e6-847e-e9af1f3af054	18	326691	11176381	6463	0.0054
28f5053f-3358-44e6-847e-e9af1f3af054	18	11176927	11177109	2	-1.8595
28f5053f-3358-44e6-847e-e9af1f3af054	18	11180662	56930820	24003	0.0043
28f5053f-3358-44e6-847e-e9af1f3af054	18	56931641	56931889	3	-1.2784
28f5053f-3358-44e6-847e-e9af1f3af054	18	56933265	79349796	12442	0.0077
28f5053f-3358-44e6-847e-e9af1f3af054	19	283868	58370362	24128	-0.0001
28f5053f-3358-44e6-847e-e9af1f3af054	20	472817	63588502	37521	0.0033
28f5053f-3358-44e6-847e-e9af1f3af054	21	13974127	46262057	20571	0.007
28f5053f-3358-44e6-847e-e9af1f3af054	22	16934932	41466284	12023	0.0014
28f5053f-3358-44e6-847e-e9af1f3af054	22	41473059	41475945	4	-1.199
28f5053f-3358-44e6-847e-e9af1f3af054	22	41484766	48940621	5044	-0.0033
28f5053f-3358-44e6-847e-e9af1f3af054	X	3236359	88728925	34305	0.0121
28f5053f-3358-44e6-847e-e9af1f3af054	X	88734160	88734824	2	-4.6735
28f5053f-3358-44e6-847e-e9af1f3af054	X	88735695	155677414	29372	0.0115
