GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
899da3f7-5c44-41e1-8276-f12bfda9c184	1	3301765	3961357	339	-0.7901
899da3f7-5c44-41e1-8276-f12bfda9c184	1	3962184	5757414	1427	-0.8691
899da3f7-5c44-41e1-8276-f12bfda9c184	1	5759986	28697542	11754	-0.7729
899da3f7-5c44-41e1-8276-f12bfda9c184	1	28700810	41304640	6785	-0.0027
899da3f7-5c44-41e1-8276-f12bfda9c184	1	41308682	41309583	2	-1.8489
899da3f7-5c44-41e1-8276-f12bfda9c184	1	41317411	247650984	109489	0.0231
899da3f7-5c44-41e1-8276-f12bfda9c184	2	480597	2614466	707	-0.0221
899da3f7-5c44-41e1-8276-f12bfda9c184	2	2614568	8256687	4021	-0.0043
899da3f7-5c44-41e1-8276-f12bfda9c184	2	8256716	65984383	33996	0.0188
899da3f7-5c44-41e1-8276-f12bfda9c184	2	65984655	67079149	745	-0.0632
899da3f7-5c44-41e1-8276-f12bfda9c184	2	67083385	122011821	25213	0.0155
899da3f7-5c44-41e1-8276-f12bfda9c184	2	122020077	146625766	12633	-0.0018
899da3f7-5c44-41e1-8276-f12bfda9c184	2	146625953	205010884	32637	0.0288
899da3f7-5c44-41e1-8276-f12bfda9c184	2	205012481	205405882	316	-0.0718
899da3f7-5c44-41e1-8276-f12bfda9c184	2	205408818	228407610	14356	0.0258
899da3f7-5c44-41e1-8276-f12bfda9c184	2	228410001	235572976	4148	0.004
899da3f7-5c44-41e1-8276-f12bfda9c184	2	235575450	241537572	3508	-0.0441
899da3f7-5c44-41e1-8276-f12bfda9c184	3	2170634	3341337	622	-0.0043
899da3f7-5c44-41e1-8276-f12bfda9c184	3	3341411	3341522	2	-1.5047
899da3f7-5c44-41e1-8276-f12bfda9c184	3	3343525	16189951	7989	0.0154
899da3f7-5c44-41e1-8276-f12bfda9c184	3	16191735	16192316	2	-1.9367
899da3f7-5c44-41e1-8276-f12bfda9c184	3	16192331	53962982	21169	0.0138
899da3f7-5c44-41e1-8276-f12bfda9c184	3	53963250	55909725	1601	-0.0517
899da3f7-5c44-41e1-8276-f12bfda9c184	3	55910642	61948792	2851	0.0197
899da3f7-5c44-41e1-8276-f12bfda9c184	3	61949116	61949363	2	-1.6526
899da3f7-5c44-41e1-8276-f12bfda9c184	3	61952231	126060571	35206	0.0221
899da3f7-5c44-41e1-8276-f12bfda9c184	3	126062852	129072411	1769	-0.0221
899da3f7-5c44-41e1-8276-f12bfda9c184	3	129073256	181509597	27511	0.0276
899da3f7-5c44-41e1-8276-f12bfda9c184	3	181509999	181514489	2	-1.7576
899da3f7-5c44-41e1-8276-f12bfda9c184	3	181515214	197812401	8511	0.0301
899da3f7-5c44-41e1-8276-f12bfda9c184	4	1059384	6365392	2836	-0.0174
899da3f7-5c44-41e1-8276-f12bfda9c184	4	6365442	68160160	35095	0.0227
899da3f7-5c44-41e1-8276-f12bfda9c184	4	68160860	95279442	15064	0.0422
899da3f7-5c44-41e1-8276-f12bfda9c184	4	95280858	98314372	1738	-0.0126
899da3f7-5c44-41e1-8276-f12bfda9c184	4	98314790	124716807	14959	0.0433
899da3f7-5c44-41e1-8276-f12bfda9c184	4	124716977	139843193	7810	0.0171
899da3f7-5c44-41e1-8276-f12bfda9c184	4	139845107	139848677	2	-1.7145
899da3f7-5c44-41e1-8276-f12bfda9c184	4	139848896	150106500	5734	0.0354
899da3f7-5c44-41e1-8276-f12bfda9c184	4	150108736	174821435	13850	-0.0032
899da3f7-5c44-41e1-8276-f12bfda9c184	4	174822003	184239616	4641	-0.0348
899da3f7-5c44-41e1-8276-f12bfda9c184	4	184239644	187842528	1834	0.0125
899da3f7-5c44-41e1-8276-f12bfda9c184	5	913983	5961018	3549	-0.0271
899da3f7-5c44-41e1-8276-f12bfda9c184	5	5963090	10667857	3619	0.021
899da3f7-5c44-41e1-8276-f12bfda9c184	5	10670777	13214132	1242	-0.018
899da3f7-5c44-41e1-8276-f12bfda9c184	5	13214508	17306392	2415	0.052
899da3f7-5c44-41e1-8276-f12bfda9c184	5	17308083	26344881	4498	-0.0085
899da3f7-5c44-41e1-8276-f12bfda9c184	5	26345318	26354952	10	-0.9744
899da3f7-5c44-41e1-8276-f12bfda9c184	5	26357825	31925084	3367	-0.0079
899da3f7-5c44-41e1-8276-f12bfda9c184	5	31925317	53814663	9216	0.0231
899da3f7-5c44-41e1-8276-f12bfda9c184	5	53818543	57011600	2160	-0.0052
899da3f7-5c44-41e1-8276-f12bfda9c184	5	57014223	57137391	34	0.4359
899da3f7-5c44-41e1-8276-f12bfda9c184	5	57138807	79743372	12351	0.0144
899da3f7-5c44-41e1-8276-f12bfda9c184	5	79744407	79745412	3	-1.4907
899da3f7-5c44-41e1-8276-f12bfda9c184	5	79747352	127121923	25845	0.0186
899da3f7-5c44-41e1-8276-f12bfda9c184	5	127122434	127122625	2	-1.8286
899da3f7-5c44-41e1-8276-f12bfda9c184	5	127127947	152296472	15174	0.0212
899da3f7-5c44-41e1-8276-f12bfda9c184	5	152296999	152297329	4	-1.0187
899da3f7-5c44-41e1-8276-f12bfda9c184	5	152297989	177405557	16073	0.01
899da3f7-5c44-41e1-8276-f12bfda9c184	5	177406588	179408514	900	-0.0535
899da3f7-5c44-41e1-8276-f12bfda9c184	5	179419091	180934240	720	0.0045
899da3f7-5c44-41e1-8276-f12bfda9c184	6	1011760	6602530	4110	-0.0096
899da3f7-5c44-41e1-8276-f12bfda9c184	6	6605630	6605949	2	1.9035
899da3f7-5c44-41e1-8276-f12bfda9c184	6	6605994	12620919	4276	0.0101
899da3f7-5c44-41e1-8276-f12bfda9c184	6	12623700	15766270	2090	-0.0338
899da3f7-5c44-41e1-8276-f12bfda9c184	6	15769307	22903102	5090	0.0096
899da3f7-5c44-41e1-8276-f12bfda9c184	6	22905088	22905603	4	0.8253
899da3f7-5c44-41e1-8276-f12bfda9c184	6	22909104	27020568	2326	0.003
899da3f7-5c44-41e1-8276-f12bfda9c184	6	27025838	27026566	2	-1.7041
899da3f7-5c44-41e1-8276-f12bfda9c184	6	27026827	40760865	6405	-0.0108
899da3f7-5c44-41e1-8276-f12bfda9c184	6	40763869	40767038	8	-0.4106
899da3f7-5c44-41e1-8276-f12bfda9c184	6	40768852	78636741	19372	0.0255
899da3f7-5c44-41e1-8276-f12bfda9c184	6	78640995	78643000	2	-1.5917
899da3f7-5c44-41e1-8276-f12bfda9c184	6	78643288	119719274	22796	0.0196
899da3f7-5c44-41e1-8276-f12bfda9c184	6	119735389	119735441	2	-1.5471
899da3f7-5c44-41e1-8276-f12bfda9c184	6	119738576	135014291	9437	0.0243
899da3f7-5c44-41e1-8276-f12bfda9c184	6	135021116	135022100	2	1.4178
899da3f7-5c44-41e1-8276-f12bfda9c184	6	135028432	151710464	10384	0.0322
899da3f7-5c44-41e1-8276-f12bfda9c184	6	151710782	170596889	10898	0.0004
899da3f7-5c44-41e1-8276-f12bfda9c184	7	664936	6383715	2151	-0.0204
899da3f7-5c44-41e1-8276-f12bfda9c184	7	6388266	20646788	7829	0.0449
899da3f7-5c44-41e1-8276-f12bfda9c184	7	20647558	67817736	24876	0.0148
899da3f7-5c44-41e1-8276-f12bfda9c184	7	67823579	70014559	1349	-0.0521
899da3f7-5c44-41e1-8276-f12bfda9c184	7	70018520	158592540	45790	0.0174
899da3f7-5c44-41e1-8276-f12bfda9c184	8	667625	6586361	2890	0.4612
899da3f7-5c44-41e1-8276-f12bfda9c184	8	6586456	20252369	8170	0.4964
899da3f7-5c44-41e1-8276-f12bfda9c184	8	20257008	21512572	1144	0.4384
899da3f7-5c44-41e1-8276-f12bfda9c184	8	21513273	36818647	9383	0.491
899da3f7-5c44-41e1-8276-f12bfda9c184	8	36818689	39647223	1349	0.5389
899da3f7-5c44-41e1-8276-f12bfda9c184	8	39647715	68385683	14581	0.4915
899da3f7-5c44-41e1-8276-f12bfda9c184	8	68387182	69597554	787	0.4327
899da3f7-5c44-41e1-8276-f12bfda9c184	8	69597832	133728739	38267	0.4964
899da3f7-5c44-41e1-8276-f12bfda9c184	8	133731984	134086013	284	0.4675
899da3f7-5c44-41e1-8276-f12bfda9c184	8	134086716	134087053	3	-0.59
899da3f7-5c44-41e1-8276-f12bfda9c184	8	134091249	144182542	5435	0.4773
899da3f7-5c44-41e1-8276-f12bfda9c184	9	789794	84842327	35099	0.0236
899da3f7-5c44-41e1-8276-f12bfda9c184	9	84843033	86131860	869	-0.0064
899da3f7-5c44-41e1-8276-f12bfda9c184	9	86137826	86138428	2	-1.2668
899da3f7-5c44-41e1-8276-f12bfda9c184	9	86138882	86875239	498	-0.0087
899da3f7-5c44-41e1-8276-f12bfda9c184	9	86875948	88486947	1161	-0.0623
899da3f7-5c44-41e1-8276-f12bfda9c184	9	88488672	100326474	7455	-0.0039
899da3f7-5c44-41e1-8276-f12bfda9c184	9	100329348	125372457	16919	0.0251
899da3f7-5c44-41e1-8276-f12bfda9c184	9	125372936	126176512	546	-0.0465
899da3f7-5c44-41e1-8276-f12bfda9c184	9	126182006	126188771	2	-1.153
899da3f7-5c44-41e1-8276-f12bfda9c184	9	126192290	126511883	229	-0.0507
899da3f7-5c44-41e1-8276-f12bfda9c184	9	126516365	128237193	935	0.0287
899da3f7-5c44-41e1-8276-f12bfda9c184	9	128238595	128246833	3	1.2034
899da3f7-5c44-41e1-8276-f12bfda9c184	9	128247188	133721819	3179	-0.0009
899da3f7-5c44-41e1-8276-f12bfda9c184	9	133721832	135812594	1019	-0.0744
899da3f7-5c44-41e1-8276-f12bfda9c184	9	135813638	138044505	613	0.0021
899da3f7-5c44-41e1-8276-f12bfda9c184	10	366509	4671513	2777	-0.0033
899da3f7-5c44-41e1-8276-f12bfda9c184	10	4671861	5362419	488	0.0537
899da3f7-5c44-41e1-8276-f12bfda9c184	10	5365908	5369071	2	-1.2603
899da3f7-5c44-41e1-8276-f12bfda9c184	10	5371412	6309998	649	0.0629
899da3f7-5c44-41e1-8276-f12bfda9c184	10	6311088	57580970	29841	0.0027
899da3f7-5c44-41e1-8276-f12bfda9c184	10	57581800	70520593	8089	0.0379
899da3f7-5c44-41e1-8276-f12bfda9c184	10	70525613	81767352	6659	0.0008
899da3f7-5c44-41e1-8276-f12bfda9c184	10	81767746	87843403	3988	-0.7511
899da3f7-5c44-41e1-8276-f12bfda9c184	10	87843667	87923076	123	-1.4917
899da3f7-5c44-41e1-8276-f12bfda9c184	10	87926752	110399898	13485	-0.7531
899da3f7-5c44-41e1-8276-f12bfda9c184	10	110405891	111481316	798	0.0236
899da3f7-5c44-41e1-8276-f12bfda9c184	10	111481967	111482290	2	-1.352
899da3f7-5c44-41e1-8276-f12bfda9c184	10	111483408	115476668	2738	0.0448
899da3f7-5c44-41e1-8276-f12bfda9c184	10	115476681	121902450	4791	0.004
899da3f7-5c44-41e1-8276-f12bfda9c184	10	121908655	122818080	637	0.0677
899da3f7-5c44-41e1-8276-f12bfda9c184	10	122818241	122818365	2	-1.6226
899da3f7-5c44-41e1-8276-f12bfda9c184	10	122819819	128605221	4157	-0.0004
899da3f7-5c44-41e1-8276-f12bfda9c184	10	128606232	131307782	1554	-0.0557
899da3f7-5c44-41e1-8276-f12bfda9c184	10	131309512	133411599	524	0.0078
899da3f7-5c44-41e1-8276-f12bfda9c184	11	456012	71220278	37484	0.0151
899da3f7-5c44-41e1-8276-f12bfda9c184	11	71222582	100335065	17498	0.049
899da3f7-5c44-41e1-8276-f12bfda9c184	11	100336726	103010650	1867	0.0958
899da3f7-5c44-41e1-8276-f12bfda9c184	11	103013833	131103970	18760	0.0472
899da3f7-5c44-41e1-8276-f12bfda9c184	11	131106392	134272740	2022	0.016
899da3f7-5c44-41e1-8276-f12bfda9c184	12	780472	10096699	5125	-0.0153
899da3f7-5c44-41e1-8276-f12bfda9c184	12	10096759	71202684	33342	0.0233
899da3f7-5c44-41e1-8276-f12bfda9c184	12	71226812	71240198	14	0.6369
899da3f7-5c44-41e1-8276-f12bfda9c184	12	71243682	106601491	21906	0.023
899da3f7-5c44-41e1-8276-f12bfda9c184	12	106601967	132605822	14009	-0.007
899da3f7-5c44-41e1-8276-f12bfda9c184	13	18874255	40672621	14002	-0.007
899da3f7-5c44-41e1-8276-f12bfda9c184	13	40672692	70256234	15093	0.0121
899da3f7-5c44-41e1-8276-f12bfda9c184	13	70257240	76134756	4005	0.0441
899da3f7-5c44-41e1-8276-f12bfda9c184	13	76135625	111516426	22817	0.0163
899da3f7-5c44-41e1-8276-f12bfda9c184	13	111516530	113520794	933	-0.0209
899da3f7-5c44-41e1-8276-f12bfda9c184	13	113520955	113534051	2	1.4341
899da3f7-5c44-41e1-8276-f12bfda9c184	13	113537810	114226675	190	-0.0384
899da3f7-5c44-41e1-8276-f12bfda9c184	14	20033191	39500594	10747	0.026
899da3f7-5c44-41e1-8276-f12bfda9c184	14	39505669	62802599	12994	-0.7548
899da3f7-5c44-41e1-8276-f12bfda9c184	14	62804682	62804844	2	-2.9577
899da3f7-5c44-41e1-8276-f12bfda9c184	14	62805490	63096863	189	-0.7904
899da3f7-5c44-41e1-8276-f12bfda9c184	14	63102623	65825848	1653	-0.683
899da3f7-5c44-41e1-8276-f12bfda9c184	14	65825866	83394547	10905	-0.753
899da3f7-5c44-41e1-8276-f12bfda9c184	14	83401832	96828598	8584	0.0115
899da3f7-5c44-41e1-8276-f12bfda9c184	14	96829577	99149796	1769	-0.0443
899da3f7-5c44-41e1-8276-f12bfda9c184	14	99150204	105533894	2928	0.0036
899da3f7-5c44-41e1-8276-f12bfda9c184	15	23437561	101344124	44823	0.0131
899da3f7-5c44-41e1-8276-f12bfda9c184	16	603333	10266641	5193	-0.0049
899da3f7-5c44-41e1-8276-f12bfda9c184	16	10267074	11610795	867	0.065
899da3f7-5c44-41e1-8276-f12bfda9c184	16	11613435	12955174	995	-0.0069
899da3f7-5c44-41e1-8276-f12bfda9c184	16	12959145	12959171	2	-1.4535
899da3f7-5c44-41e1-8276-f12bfda9c184	16	12960180	22929177	2704	0.003
899da3f7-5c44-41e1-8276-f12bfda9c184	16	22929356	22933079	3	-0.9415
899da3f7-5c44-41e1-8276-f12bfda9c184	16	22934670	25260349	1411	0.0128
899da3f7-5c44-41e1-8276-f12bfda9c184	16	25264841	27160208	1489	-0.0376
899da3f7-5c44-41e1-8276-f12bfda9c184	16	27161427	59742437	10105	0.0178
899da3f7-5c44-41e1-8276-f12bfda9c184	16	59742981	65178292	3444	-0.0189
899da3f7-5c44-41e1-8276-f12bfda9c184	16	65178832	68532884	1875	0.0305
899da3f7-5c44-41e1-8276-f12bfda9c184	16	68533649	68534976	2	-1.703
899da3f7-5c44-41e1-8276-f12bfda9c184	16	68535742	77907243	5283	0.0171
899da3f7-5c44-41e1-8276-f12bfda9c184	16	77910136	77910756	2	-1.6301
899da3f7-5c44-41e1-8276-f12bfda9c184	16	77910869	78575675	657	0.0047
899da3f7-5c44-41e1-8276-f12bfda9c184	16	78580317	78580941	6	-1.0363
899da3f7-5c44-41e1-8276-f12bfda9c184	16	78584034	80858961	2045	-0.0115
899da3f7-5c44-41e1-8276-f12bfda9c184	16	80860821	81991371	734	0.0621
899da3f7-5c44-41e1-8276-f12bfda9c184	16	81993716	89317317	4422	-0.0129
899da3f7-5c44-41e1-8276-f12bfda9c184	17	1074619	67884837	29712	0.0107
899da3f7-5c44-41e1-8276-f12bfda9c184	17	67886604	67886782	2	-1.7175
899da3f7-5c44-41e1-8276-f12bfda9c184	17	67886965	82959812	7591	-0.0029
899da3f7-5c44-41e1-8276-f12bfda9c184	18	326691	5510194	2703	-0.7278
899da3f7-5c44-41e1-8276-f12bfda9c184	18	5513918	11872826	4168	-0.7841
