GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	62920	668210	21	0.0693
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	771719	2138242	343	-0.2612
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	2140299	2151375	8	-1.1483
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	2151890	3302046	366	-0.3506
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	3302359	5967673	2054	-0.2416
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	5969877	5981308	8	-0.6225
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	5983771	7356843	748	-0.1646
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	7357407	7359240	3	-1.6019
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	7359531	12822696	2959	-0.177
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	12823233	13441012	36	0.1324
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	13444878	15827002	1789	-0.196
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	15827041	15828515	9	0.7057
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	15839166	25256850	5669	-0.1789
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	25266637	25320198	22	-2.0265
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	25320253	26140173	369	-0.2086
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	26143453	29400160	1340	-0.1538
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	29400363	30253846	670	-0.2495
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	30253880	30264526	8	-0.873
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	30265508	44591691	8207	-0.1961
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	44594543	47963475	1828	-0.1408
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	47966057	72290459	16292	-0.2003
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	72290491	72345465	55	0.1622
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	72346221	83123032	6987	-0.2298
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	83124400	90090349	4598	-0.192
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	90090592	90093659	3	-1.5168
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	90094125	95689620	3598	-0.1911
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	95690160	100803893	3109	-0.219
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	100806255	100809556	8	-0.9268
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	100810689	103621165	1724	-0.2296
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	103697067	103717410	3	1.44
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	103717617	109679105	3571	-0.2104
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	109684695	109697556	15	1.0563
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	109702376	110833459	834	-0.1978
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	110833598	110845604	40	0.1006
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	110849445	119750077	5973	-0.1948
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	119750139	119752645	5	-1.1983
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	119754672	120414592	183	-0.2036
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	120885464	120954128	3	0.8747
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	120954165	121580012	87	-0.1579
d8b1a067-f891-486f-befe-415a9ec4d6e8	1	121580531	152583051	2452	0.0586
