GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	3301765	14986299	6583	-0.0485
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	14986766	17687925	1181	0.0122
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	17693189	18910077	968	-0.0757
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	18910781	20286965	898	0.034
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	20287468	47108978	13826	-0.0433
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	47111064	48071315	671	0.0439
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	48074983	49249600	729	-0.0482
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	49254231	49288847	11	-0.7648
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	49289312	56965238	4380	-0.0316
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	56966455	57917554	814	-0.0872
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	57919591	68749476	7699	-0.0121
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	68751382	83608209	8396	-0.0544
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	83608565	86813338	2137	0.016
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	86815120	94116349	4429	-0.0345
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	94117657	95559902	1024	0.0543
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	95559990	99279859	2177	-0.0694
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	99280387	100673542	905	0.0184
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	100687102	105322304	2338	-0.0767
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	105322328	115649438	6283	-0.0325
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	115650138	150328994	2878	0.0023
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	150332772	151565890	446	-0.0311
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	151565936	154669653	1640	0.3943
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	154675311	157838648	1653	0.6818
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	157839752	159275184	942	0.6034
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	159276545	188283094	19157	0.6636
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	188283128	192422119	2236	0.6192
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	192422226	193975070	1150	0.7131
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	193977293	206970077	7741	0.6492
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	206970169	207251873	181	0.7298
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	207259842	215026263	5491	0.3619
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	215026632	215027467	3	-1.0809
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	215030047	220589568	3781	0.3715
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	220592537	229010937	4755	0.3437
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	229011327	229011615	2	-1.0934
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	229012451	234410499	3974	0.3415
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	234412931	235178081	456	0.4394
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	235184493	238603276	2526	0.3656
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	238603507	239726010	786	0.4361
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	239727799	239860051	114	-0.0568
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	239865000	242138355	1683	0.3848
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	242138891	243894192	1073	0.3117
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	1	243895822	247650984	1714	0.3688
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	2	480597	8280031	4740	-0.0514
9f1f1ab9-ec22-4977-ba47-c070fe8eef64	2	8282927	14380738	4104	-0.0164
