GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	1	3301765	105123864	59045	0.0132
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	1	105124499	105129055	2	-1.4599
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	1	105129195	247650984	70747	0.0124
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	2	480597	241537572	132233	0.0136
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	3	2170634	197812401	107209	0.0106
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	4	1059384	187842528	103518	0.0107
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	5	913983	166720439	92692	0.0114
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	5	166720895	166726351	5	-1.2548
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	5	166726769	178350887	7089	0.0168
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	5	178358134	178360260	2	-1.3154
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	5	178362201	180934240	1364	0.012
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	6	1011760	170596889	97196	0.0111
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	7	664936	158592540	81956	0.0143
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	8	667625	144182542	82250	0.1123
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	9	789794	138044505	68504	0.0093
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	10	366509	133411599	81306	0.0104
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	11	456012	134272740	77596	0.0092
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	12	780472	132605822	74370	0.014
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	13	18874255	103123661	49922	0.0106
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	13	103128796	103569524	387	-0.1399
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	13	103571463	114226675	6704	0.0063
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	14	20033191	105533894	49797	0.0123
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	15	23437561	30997195	2820	-0.0653
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	15	30997246	30998178	2	-1.2719
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	15	30998244	54437000	13753	-0.0534
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	15	54437305	101344124	28221	0.031
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	16	603333	89317317	41224	0.009
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	17	1074619	82959812	37299	0.0138
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	18	326691	79349796	42972	0.0067
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	19	283868	58370362	24166	0.0139
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	20	472817	63588502	37567	0.0093
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	21	13974127	46262057	20607	0.01
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	22	16934932	48940621	17095	0.015
f80d2cdf-c0d8-4e5e-8a68-75d4c68f647d	X	3236359	155677414	63968	0.0164
