GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	62920	98602	13	-0.8596
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	259407	15823420	8322	0.0057
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	15827002	15827430	6	-1.6173
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	15827706	25256850	5665	0.0029
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	25266637	25320455	24	0.4925
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	25336819	34190783	4612	-0.0007
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	34191211	34191702	2	-2.143
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	34196051	34626073	333	0.0062
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	34637053	34638890	20	-0.5218
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	34648667	72302815	23748	0.003
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	72303233	72345450	45	-0.9206
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	72345465	152783934	33347	0.0043
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	152784062	152806050	46	0.4735
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	152806082	248546369	65084	0.0071
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	248550567	248646068	38	-0.4933
db3fcbb1-f296-453c-a436-8cf35ebd74ae	1	248661836	248930189	137	0.1451
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	12784	4155990	2984	0.0191
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	4158097	4174949	34	-0.4936
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	4175059	34460213	21051	0.0046
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	34466002	34512096	48	-1.4902
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	34512489	52527330	12997	0.0128
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	52527342	52554384	38	0.5426
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	52554404	53167497	503	0.0094
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	53168000	53169910	6	-0.6274
db3fcbb1-f296-453c-a436-8cf35ebd74ae	2	53169937	53421312	214	-0.0181
