GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f8118381-af6a-4ab9-a25b-d734160e62be	1	62920	12779433	6492	0.0183
f8118381-af6a-4ab9-a25b-d734160e62be	1	12792599	12823233	24	-0.6441
f8118381-af6a-4ab9-a25b-d734160e62be	1	12832455	15823420	1825	0.0187
f8118381-af6a-4ab9-a25b-d734160e62be	1	15827002	15827706	7	-2.5281
f8118381-af6a-4ab9-a25b-d734160e62be	1	15827744	15828515	3	-0.8735
f8118381-af6a-4ab9-a25b-d734160e62be	1	15839166	16617312	308	0.031
f8118381-af6a-4ab9-a25b-d734160e62be	1	16617327	16985328	120	0.1915
f8118381-af6a-4ab9-a25b-d734160e62be	1	16988207	25092208	5127	0.0101
f8118381-af6a-4ab9-a25b-d734160e62be	1	25096910	25097831	2	1.1541
f8118381-af6a-4ab9-a25b-d734160e62be	1	25098398	25256850	118	0.0244
f8118381-af6a-4ab9-a25b-d734160e62be	1	25266637	25320455	24	0.8525
f8118381-af6a-4ab9-a25b-d734160e62be	1	25336819	58254237	19009	0.0108
f8118381-af6a-4ab9-a25b-d734160e62be	1	58257886	58267654	13	0.5852
f8118381-af6a-4ab9-a25b-d734160e62be	1	58276798	72302815	9728	0.0036
f8118381-af6a-4ab9-a25b-d734160e62be	1	72303233	72345465	46	-1.9395
f8118381-af6a-4ab9-a25b-d734160e62be	1	72346221	75585159	1932	0.0106
f8118381-af6a-4ab9-a25b-d734160e62be	1	75589078	75589169	2	-3.3832
f8118381-af6a-4ab9-a25b-d734160e62be	1	75593824	109684893	21683	0.0052
f8118381-af6a-4ab9-a25b-d734160e62be	1	109690352	109697556	13	-1.4504
f8118381-af6a-4ab9-a25b-d734160e62be	1	109702376	112153343	1952	0.0161
f8118381-af6a-4ab9-a25b-d734160e62be	1	112153465	112154591	21	-0.6368
f8118381-af6a-4ab9-a25b-d734160e62be	1	112154619	143459641	5167	0.0114
f8118381-af6a-4ab9-a25b-d734160e62be	1	143494500	143629549	52	-0.7389
f8118381-af6a-4ab9-a25b-d734160e62be	1	143648158	143928045	73	-2.6366
f8118381-af6a-4ab9-a25b-d734160e62be	1	143942271	144932423	17	-0.5453
f8118381-af6a-4ab9-a25b-d734160e62be	1	145642976	147188642	282	0.0637
f8118381-af6a-4ab9-a25b-d734160e62be	1	147191235	147195146	2	1.6356
f8118381-af6a-4ab9-a25b-d734160e62be	1	147196456	152582700	2015	0.0282
f8118381-af6a-4ab9-a25b-d734160e62be	1	152583051	152614118	36	0.6136
f8118381-af6a-4ab9-a25b-d734160e62be	1	152618018	152787202	167	0.048
f8118381-af6a-4ab9-a25b-d734160e62be	1	152789447	152796224	37	-0.3022
f8118381-af6a-4ab9-a25b-d734160e62be	1	152801429	161649268	5274	0.0048
f8118381-af6a-4ab9-a25b-d734160e62be	1	161678447	161678831	2	1.5988
f8118381-af6a-4ab9-a25b-d734160e62be	1	161680585	169247699	6011	0.0047
f8118381-af6a-4ab9-a25b-d734160e62be	1	169264736	169272528	7	0.8248
f8118381-af6a-4ab9-a25b-d734160e62be	1	169273163	196745743	18185	0.0067
f8118381-af6a-4ab9-a25b-d734160e62be	1	196758720	196846661	61	-2.3479
f8118381-af6a-4ab9-a25b-d734160e62be	1	196847600	248437495	35627	0.0073
f8118381-af6a-4ab9-a25b-d734160e62be	1	248442451	248473963	12	0.7179
f8118381-af6a-4ab9-a25b-d734160e62be	1	248475325	248574146	17	0.1238
f8118381-af6a-4ab9-a25b-d734160e62be	1	248585893	248645563	33	-0.8521
f8118381-af6a-4ab9-a25b-d734160e62be	1	248645808	248930189	140	0.0401
f8118381-af6a-4ab9-a25b-d734160e62be	2	12784	4158097	2988	0.027
f8118381-af6a-4ab9-a25b-d734160e62be	2	4166274	4175577	36	-0.6676
f8118381-af6a-4ab9-a25b-d734160e62be	2	4175922	33736805	20481	0.006
f8118381-af6a-4ab9-a25b-d734160e62be	2	33743908	33785491	37	-1.1307
f8118381-af6a-4ab9-a25b-d734160e62be	2	33788893	34474248	559	-0.0117
f8118381-af6a-4ab9-a25b-d734160e62be	2	34476327	34511990	45	0.6192
f8118381-af6a-4ab9-a25b-d734160e62be	2	34512096	35750907	872	-0.0031
f8118381-af6a-4ab9-a25b-d734160e62be	2	35752724	35762881	7	1.0763
f8118381-af6a-4ab9-a25b-d734160e62be	2	35772407	38727353	2302	0.0194
f8118381-af6a-4ab9-a25b-d734160e62be	2	38728724	38745139	8	0.7192
f8118381-af6a-4ab9-a25b-d734160e62be	2	38745684	48534974	6966	0.007
f8118381-af6a-4ab9-a25b-d734160e62be	2	48539830	48540119	3	-1.0698
f8118381-af6a-4ab9-a25b-d734160e62be	2	48542238	52527743	2855	0.0121
f8118381-af6a-4ab9-a25b-d734160e62be	2	52531615	52554404	33	0.6379
f8118381-af6a-4ab9-a25b-d734160e62be	2	52560811	88940241	22676	0.0069
f8118381-af6a-4ab9-a25b-d734160e62be	2	88944108	91946468	281	0.1677
f8118381-af6a-4ab9-a25b-d734160e62be	2	91948765	97188422	872	0.0156
f8118381-af6a-4ab9-a25b-d734160e62be	2	97192190	97210536	12	0.5816
f8118381-af6a-4ab9-a25b-d734160e62be	2	97211069	97357159	14	0.1395
f8118381-af6a-4ab9-a25b-d734160e62be	2	97359380	97545726	11	-0.676
f8118381-af6a-4ab9-a25b-d734160e62be	2	97550415	106258266	5569	0.0103
f8118381-af6a-4ab9-a25b-d734160e62be	2	106263639	106270799	13	-0.661
f8118381-af6a-4ab9-a25b-d734160e62be	2	106270952	113604837	3786	0.0044
f8118381-af6a-4ab9-a25b-d734160e62be	2	113604839	113623244	2	-1.8502
f8118381-af6a-4ab9-a25b-d734160e62be	2	113625975	128880504	9606	0.0109
f8118381-af6a-4ab9-a25b-d734160e62be	2	128880904	128882723	14	-0.7523
f8118381-af6a-4ab9-a25b-d734160e62be	2	128882741	130036283	877	0.0137
f8118381-af6a-4ab9-a25b-d734160e62be	2	130036310	130116915	13	-0.7153
f8118381-af6a-4ab9-a25b-d734160e62be	2	130117303	179196928	29836	0.0038
f8118381-af6a-4ab9-a25b-d734160e62be	2	179202465	179214417	3	-2.9119
f8118381-af6a-4ab9-a25b-d734160e62be	2	179218864	212316597	19751	0.0031
f8118381-af6a-4ab9-a25b-d734160e62be	2	212321824	212327101	25	-0.8428
f8118381-af6a-4ab9-a25b-d734160e62be	2	212327402	242147305	19027	0.0053
f8118381-af6a-4ab9-a25b-d734160e62be	3	20930	734637	607	0.0068
f8118381-af6a-4ab9-a25b-d734160e62be	3	734948	736560	4	-1.2947
f8118381-af6a-4ab9-a25b-d734160e62be	3	738461	6604856	5209	0.0169
f8118381-af6a-4ab9-a25b-d734160e62be	3	6609441	6611645	23	-0.8205
f8118381-af6a-4ab9-a25b-d734160e62be	3	6613391	16197556	7060	0.0077
f8118381-af6a-4ab9-a25b-d734160e62be	3	16199049	16199672	6	-0.8434
f8118381-af6a-4ab9-a25b-d734160e62be	3	16199818	25354586	6138	0.0102
f8118381-af6a-4ab9-a25b-d734160e62be	3	25355269	25355374	2	-2.0569
f8118381-af6a-4ab9-a25b-d734160e62be	3	25355474	46760374	14157	0.0033
f8118381-af6a-4ab9-a25b-d734160e62be	3	46760471	46806126	36	-0.8791
f8118381-af6a-4ab9-a25b-d734160e62be	3	46807689	68697013	14573	0.009
f8118381-af6a-4ab9-a25b-d734160e62be	3	68697108	68698262	14	-2.1263
f8118381-af6a-4ab9-a25b-d734160e62be	3	68699607	75372019	4872	0.0078
f8118381-af6a-4ab9-a25b-d734160e62be	3	75377956	75590356	73	-0.8949
f8118381-af6a-4ab9-a25b-d734160e62be	3	75596233	89622197	7857	0.0056
f8118381-af6a-4ab9-a25b-d734160e62be	3	89622509	89624990	6	-1.2433
f8118381-af6a-4ab9-a25b-d734160e62be	3	89629449	96279302	1521	-0.009
f8118381-af6a-4ab9-a25b-d734160e62be	3	96279481	96280294	2	1.528
f8118381-af6a-4ab9-a25b-d734160e62be	3	96280510	99218940	1584	0.0079
f8118381-af6a-4ab9-a25b-d734160e62be	3	99225614	99230577	38	-0.6717
f8118381-af6a-4ab9-a25b-d734160e62be	3	99232120	100607461	746	0.0068
f8118381-af6a-4ab9-a25b-d734160e62be	3	100621224	100723634	57	0.5714
f8118381-af6a-4ab9-a25b-d734160e62be	3	100723665	128680378	17281	0.0063
f8118381-af6a-4ab9-a25b-d734160e62be	3	128686328	128693488	7	0.8198
f8118381-af6a-4ab9-a25b-d734160e62be	3	128695318	162794951	20937	0.0073
f8118381-af6a-4ab9-a25b-d734160e62be	3	162795304	162908207	68	0.5899
f8118381-af6a-4ab9-a25b-d734160e62be	3	162908784	169012392	3441	0.0194
f8118381-af6a-4ab9-a25b-d734160e62be	3	169015614	169020840	2	-2.6062
f8118381-af6a-4ab9-a25b-d734160e62be	3	169022039	193156958	15732	0.0077
f8118381-af6a-4ab9-a25b-d734160e62be	3	193160113	193165114	20	-1.7397
f8118381-af6a-4ab9-a25b-d734160e62be	3	193168646	195663809	1486	0.012
f8118381-af6a-4ab9-a25b-d734160e62be	3	195673928	195715711	19	-0.4931
f8118381-af6a-4ab9-a25b-d734160e62be	3	195719726	198169247	1189	0.0279
f8118381-af6a-4ab9-a25b-d734160e62be	4	68929	9455251	5160	0.0114
f8118381-af6a-4ab9-a25b-d734160e62be	4	9459504	9463248	3	2.456
f8118381-af6a-4ab9-a25b-d734160e62be	4	9469529	10227193	550	0.0102
f8118381-af6a-4ab9-a25b-d734160e62be	4	10227256	10227668	7	-0.6468
f8118381-af6a-4ab9-a25b-d734160e62be	4	10227684	10229433	12	-1.1798
f8118381-af6a-4ab9-a25b-d734160e62be	4	10229469	10232590	4	-0.6057
f8118381-af6a-4ab9-a25b-d734160e62be	4	10232642	34777432	16989	0.0073
f8118381-af6a-4ab9-a25b-d734160e62be	4	34784878	34823103	38	-0.4849
f8118381-af6a-4ab9-a25b-d734160e62be	4	34828250	35383696	364	-0.0025
f8118381-af6a-4ab9-a25b-d734160e62be	4	35387064	35387150	2	-1.9159
f8118381-af6a-4ab9-a25b-d734160e62be	4	35389053	63828222	16202	0.0064
f8118381-af6a-4ab9-a25b-d734160e62be	4	63831751	63842540	28	0.5816
f8118381-af6a-4ab9-a25b-d734160e62be	4	63850713	68478894	2871	0.0032
f8118381-af6a-4ab9-a25b-d734160e62be	4	68494770	68663241	73	0.8064
f8118381-af6a-4ab9-a25b-d734160e62be	4	68671434	69523998	474	0.079
f8118381-af6a-4ab9-a25b-d734160e62be	4	69524143	69525061	2	-3.8958
f8118381-af6a-4ab9-a25b-d734160e62be	4	69526170	107130343	22780	0.001
