GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a3b6a204-4d77-4803-95bd-52698fd234cb	1	62920	1263238	133	-0.1025
a3b6a204-4d77-4803-95bd-52698fd234cb	1	1263725	2130530	231	0.0265
a3b6a204-4d77-4803-95bd-52698fd234cb	1	2138242	4977752	1633	-0.1103
a3b6a204-4d77-4803-95bd-52698fd234cb	1	4977991	4979320	3	-1.9064
a3b6a204-4d77-4803-95bd-52698fd234cb	1	4982142	10610834	3359	-0.1053
a3b6a204-4d77-4803-95bd-52698fd234cb	1	10611363	10619664	3	-1.4883
a3b6a204-4d77-4803-95bd-52698fd234cb	1	10621749	12775725	1127	-0.1065
a3b6a204-4d77-4803-95bd-52698fd234cb	1	12777697	13466924	68	0.127
a3b6a204-4d77-4803-95bd-52698fd234cb	1	13468357	15823420	1785	-0.0902
a3b6a204-4d77-4803-95bd-52698fd234cb	1	15827002	15827430	6	-1.8989
a3b6a204-4d77-4803-95bd-52698fd234cb	1	15827706	16785682	355	-0.0917
a3b6a204-4d77-4803-95bd-52698fd234cb	1	16787932	16934716	51	-0.4296
a3b6a204-4d77-4803-95bd-52698fd234cb	1	16934753	44962797	16103	-0.1016
a3b6a204-4d77-4803-95bd-52698fd234cb	1	44963785	45894382	413	-0.0696
a3b6a204-4d77-4803-95bd-52698fd234cb	1	45898208	46117057	114	0.0528
a3b6a204-4d77-4803-95bd-52698fd234cb	1	46122215	46799601	363	-0.0886
a3b6a204-4d77-4803-95bd-52698fd234cb	1	46800750	50935766	2330	-0.0324
a3b6a204-4d77-4803-95bd-52698fd234cb	1	50943984	72303233	14715	-0.0752
a3b6a204-4d77-4803-95bd-52698fd234cb	1	72303253	72346221	46	-1.1841
a3b6a204-4d77-4803-95bd-52698fd234cb	1	72346757	72571157	135	-0.133
a3b6a204-4d77-4803-95bd-52698fd234cb	1	72574186	72576834	6	-0.6652
a3b6a204-4d77-4803-95bd-52698fd234cb	1	72579369	72618091	18	0.0311
a3b6a204-4d77-4803-95bd-52698fd234cb	1	72619284	72620518	4	-0.8441
a3b6a204-4d77-4803-95bd-52698fd234cb	1	72622475	76554715	2515	-0.0778
a3b6a204-4d77-4803-95bd-52698fd234cb	1	76554805	76555011	2	-1.1777
a3b6a204-4d77-4803-95bd-52698fd234cb	1	76555118	76661137	83	-0.1035
a3b6a204-4d77-4803-95bd-52698fd234cb	1	76662744	76664637	4	-0.9139
a3b6a204-4d77-4803-95bd-52698fd234cb	1	76665935	81093230	2755	-0.0944
a3b6a204-4d77-4803-95bd-52698fd234cb	1	81097564	81101657	3	-1.1031
a3b6a204-4d77-4803-95bd-52698fd234cb	1	81102168	81167718	52	-0.262
a3b6a204-4d77-4803-95bd-52698fd234cb	1	81167748	81171098	4	-0.8213
a3b6a204-4d77-4803-95bd-52698fd234cb	1	81171201	84705244	2421	-0.0755
a3b6a204-4d77-4803-95bd-52698fd234cb	1	84705250	84706950	2	-1.3312
a3b6a204-4d77-4803-95bd-52698fd234cb	1	84709311	91727707	4707	-0.0875
a3b6a204-4d77-4803-95bd-52698fd234cb	1	91728105	91730095	2	-2.9423
a3b6a204-4d77-4803-95bd-52698fd234cb	1	91730496	105470754	8247	-0.0849
a3b6a204-4d77-4803-95bd-52698fd234cb	1	105476583	105479753	17	0.6046
a3b6a204-4d77-4803-95bd-52698fd234cb	1	105481433	108197991	1946	-0.0701
a3b6a204-4d77-4803-95bd-52698fd234cb	1	108200892	108203129	9	-0.6097
a3b6a204-4d77-4803-95bd-52698fd234cb	1	108203740	109690352	684	-0.0618
a3b6a204-4d77-4803-95bd-52698fd234cb	1	109690415	109691609	6	-0.9046
a3b6a204-4d77-4803-95bd-52698fd234cb	1	109691788	112147704	1955	-0.0783
a3b6a204-4d77-4803-95bd-52698fd234cb	1	112153343	112154591	22	-1.8843
a3b6a204-4d77-4803-95bd-52698fd234cb	1	112154619	143546851	5172	-0.0738
a3b6a204-4d77-4803-95bd-52698fd234cb	1	143547055	143748421	93	-2.2426
a3b6a204-4d77-4803-95bd-52698fd234cb	1	143748590	143754192	15	-0.5389
a3b6a204-4d77-4803-95bd-52698fd234cb	1	143754798	143942271	13	-1.2429
a3b6a204-4d77-4803-95bd-52698fd234cb	1	144432083	147045902	204	0.0518
a3b6a204-4d77-4803-95bd-52698fd234cb	1	147050214	152583051	2112	-0.0824
a3b6a204-4d77-4803-95bd-52698fd234cb	1	152583230	152614118	35	-1.8187
a3b6a204-4d77-4803-95bd-52698fd234cb	1	152618018	152790414	182	-0.0774
a3b6a204-4d77-4803-95bd-52698fd234cb	1	152790427	152795783	17	0.2657
a3b6a204-4d77-4803-95bd-52698fd234cb	1	152795805	154028149	757	-0.0637
a3b6a204-4d77-4803-95bd-52698fd234cb	1	154028302	156513264	1166	-0.1317
a3b6a204-4d77-4803-95bd-52698fd234cb	1	156521187	160176383	2540	-0.0805
a3b6a204-4d77-4803-95bd-52698fd234cb	1	160176704	160177153	4	-1.043
a3b6a204-4d77-4803-95bd-52698fd234cb	1	160178881	161493708	782	-0.1206
a3b6a204-4d77-4803-95bd-52698fd234cb	1	161493797	174827128	9571	-0.0661
