GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	62920	16525019	8635	-0.0028
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	16542868	16679281	33	-0.4754
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	16679483	21991690	3415	-0.0033
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	21992508	22011632	6	-1.2994
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	22015896	72303233	30622	0.0029
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	72303253	72345465	45	1.1639
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	72346221	75585159	1930	0.0091
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	75589078	75589169	2	-2.9806
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	75593824	105470754	18985	0.0057
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	105476583	105479753	17	-1.8081
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	105481433	109684893	2629	0.0156
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	109690352	109697556	13	-1.5206
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	109702376	186962054	32700	0.007
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	186964423	186964632	3	-2.9562
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	186964960	187746723	557	-0.0082
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	187748429	187752238	2	-2.1921
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	187755479	196769493	5962	0.0116
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	196769506	196820637	40	-0.7069
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	196820704	196932623	77	0.5749
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	196936029	219751552	15607	0.0025
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	219751675	219752550	2	-2.3331
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	219752793	248546369	19899	0.0083
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	248550567	248646068	38	-0.6084
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	248661836	248828981	92	0.0593
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	248833094	248849447	5	-1.9546
a6b84aa8-c266-4ae8-8526-88ad4338de67	1	248849595	248930189	41	-0.0136
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	12784	13559362	10302	0.0053
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	13566954	13581586	10	-0.9506
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	13582267	41011533	18597	0.009
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	41011670	41018747	16	-0.668
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	41024093	41657072	489	0.0554
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	41658633	41804198	144	-1.0765
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	41812061	52527743	7536	0.0103
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	52531615	52554404	33	0.5137
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	52560811	87074984	21969	0.0052
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	87079825	87696853	124	0.3815
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	87725148	109743935	9412	0.0043
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	109746769	110044146	3	-1.1915
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	110097158	111541447	527	-0.0262
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	111553264	111615592	12	0.6851
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	111616265	128880353	10712	0.0047
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	128880504	128882741	16	-0.6377
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	128882755	129026586	110	0.018
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	129027150	129027826	2	-1.1817
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	129027847	129484044	391	0.0077
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	129484927	129488770	5	-1.2177
a6b84aa8-c266-4ae8-8526-88ad4338de67	2	129489260	217777466	53554	0.0067
