GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	3301765	21342380	10190	0.0081
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	21342974	21343308	2	-2.71
7d0699a4-45eb-4903-96d9-cd288a9cee0b	1	21343566	247650984	119376	0.016
7d0699a4-45eb-4903-96d9-cd288a9cee0b	2	480597	241537572	132038	0.0142
7d0699a4-45eb-4903-96d9-cd288a9cee0b	3	2170634	197812401	107062	0.0156
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	1059384	7975445	3937	0.0128
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	7975767	7975884	2	-2.3216
7d0699a4-45eb-4903-96d9-cd288a9cee0b	4	7983977	187842528	99455	0.0146
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	913983	108176444	56774	0.0144
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	108177065	108177082	2	-3.5735
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	108180000	115887338	4882	0.0118
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	116116195	116154368	29	-0.8113
7d0699a4-45eb-4903-96d9-cd288a9cee0b	5	116157916	180934240	39324	0.0152
7d0699a4-45eb-4903-96d9-cd288a9cee0b	6	1011760	170596889	97055	0.015
7d0699a4-45eb-4903-96d9-cd288a9cee0b	7	664936	29624952	16130	0.0174
7d0699a4-45eb-4903-96d9-cd288a9cee0b	7	29628162	29752062	2	-1.8199
7d0699a4-45eb-4903-96d9-cd288a9cee0b	7	29752132	73505455	21585	0.0148
7d0699a4-45eb-4903-96d9-cd288a9cee0b	7	73506195	73506539	2	-2.0878
7d0699a4-45eb-4903-96d9-cd288a9cee0b	7	73509381	158592540	44122	0.0124
7d0699a4-45eb-4903-96d9-cd288a9cee0b	8	667625	144182542	82124	0.0153
7d0699a4-45eb-4903-96d9-cd288a9cee0b	9	789794	138044505	68412	0.0136
7d0699a4-45eb-4903-96d9-cd288a9cee0b	10	366509	20228049	14508	0.0146
7d0699a4-45eb-4903-96d9-cd288a9cee0b	10	20233123	20237863	7	-1.1612
7d0699a4-45eb-4903-96d9-cd288a9cee0b	10	20247020	133411599	66658	0.0154
7d0699a4-45eb-4903-96d9-cd288a9cee0b	11	456120	134272740	77473	0.0148
7d0699a4-45eb-4903-96d9-cd288a9cee0b	12	780472	119790988	68269	0.0165
7d0699a4-45eb-4903-96d9-cd288a9cee0b	12	119791867	119792138	3	-1.5019
7d0699a4-45eb-4903-96d9-cd288a9cee0b	12	119792160	132605822	5975	0.0167
7d0699a4-45eb-4903-96d9-cd288a9cee0b	13	18874255	114226675	56915	0.0131
7d0699a4-45eb-4903-96d9-cd288a9cee0b	14	20033191	32355322	6234	0.014
7d0699a4-45eb-4903-96d9-cd288a9cee0b	14	32357276	32357524	3	-1.7724
7d0699a4-45eb-4903-96d9-cd288a9cee0b	14	32357544	105533894	43489	0.0186
7d0699a4-45eb-4903-96d9-cd288a9cee0b	15	23437561	101344124	44728	0.0143
7d0699a4-45eb-4903-96d9-cd288a9cee0b	16	603333	89317317	41165	0.0134
7d0699a4-45eb-4903-96d9-cd288a9cee0b	17	1074619	61346878	26225	0.0183
7d0699a4-45eb-4903-96d9-cd288a9cee0b	17	61347899	61351452	2	-2.5045
7d0699a4-45eb-4903-96d9-cd288a9cee0b	17	61353863	82959812	11008	0.0163
7d0699a4-45eb-4903-96d9-cd288a9cee0b	18	326691	79349796	42910	0.0127
7d0699a4-45eb-4903-96d9-cd288a9cee0b	19	283868	45244986	18721	0.0137
7d0699a4-45eb-4903-96d9-cd288a9cee0b	19	45245096	45245997	2	-1.7102
7d0699a4-45eb-4903-96d9-cd288a9cee0b	19	45253118	58370362	5392	0.0164
7d0699a4-45eb-4903-96d9-cd288a9cee0b	20	472817	63588502	37516	0.0117
7d0699a4-45eb-4903-96d9-cd288a9cee0b	21	13974127	46262057	20583	0.0211
7d0699a4-45eb-4903-96d9-cd288a9cee0b	22	16934932	48913715	17049	0.0137
7d0699a4-45eb-4903-96d9-cd288a9cee0b	22	48914590	48914599	2	-1.945
7d0699a4-45eb-4903-96d9-cd288a9cee0b	22	48914655	48940621	21	0.1012
7d0699a4-45eb-4903-96d9-cd288a9cee0b	X	3236359	155677414	63878	0.0137
