GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4143be85-ca59-40c6-a441-a0c796c36f55	1	62920	259926	16	-0.9417
4143be85-ca59-40c6-a441-a0c796c36f55	1	266187	1972273	311	-0.1322
4143be85-ca59-40c6-a441-a0c796c36f55	1	1977223	16773735	8363	-0.3637
4143be85-ca59-40c6-a441-a0c796c36f55	1	16774382	16934716	56	-0.8956
4143be85-ca59-40c6-a441-a0c796c36f55	1	16934753	49666993	18736	-0.3539
4143be85-ca59-40c6-a441-a0c796c36f55	1	49667335	49989027	116	-0.6875
4143be85-ca59-40c6-a441-a0c796c36f55	1	49991165	55595396	3247	-0.3466
4143be85-ca59-40c6-a441-a0c796c36f55	1	55595458	59086809	2837	-0.4101
4143be85-ca59-40c6-a441-a0c796c36f55	1	59087032	60511630	932	-0.3347
4143be85-ca59-40c6-a441-a0c796c36f55	1	60517529	60519714	5	-1.4273
4143be85-ca59-40c6-a441-a0c796c36f55	1	60521393	61974089	1109	-0.3644
4143be85-ca59-40c6-a441-a0c796c36f55	1	61976059	61980253	13	0.3091
4143be85-ca59-40c6-a441-a0c796c36f55	1	61980375	72297687	7025	-0.382
4143be85-ca59-40c6-a441-a0c796c36f55	1	72302735	72345465	48	0.6952
4143be85-ca59-40c6-a441-a0c796c36f55	1	72346221	72576492	140	-0.4593
4143be85-ca59-40c6-a441-a0c796c36f55	1	72576677	72576834	2	-2.4405
4143be85-ca59-40c6-a441-a0c796c36f55	1	72579369	76554715	2531	-0.4007
4143be85-ca59-40c6-a441-a0c796c36f55	1	76554805	76555118	3	-2.2543
4143be85-ca59-40c6-a441-a0c796c36f55	1	76557105	83650829	4577	-0.405
4143be85-ca59-40c6-a441-a0c796c36f55	1	83651293	96384917	8349	-0.3602
4143be85-ca59-40c6-a441-a0c796c36f55	1	96386798	105476583	5336	-0.3949
4143be85-ca59-40c6-a441-a0c796c36f55	1	105476614	105479753	16	-2.0168
4143be85-ca59-40c6-a441-a0c796c36f55	1	105481433	109684893	2635	-0.3811
4143be85-ca59-40c6-a441-a0c796c36f55	1	109690352	109697556	13	1.2957
4143be85-ca59-40c6-a441-a0c796c36f55	1	109702376	112147704	1949	-0.3896
4143be85-ca59-40c6-a441-a0c796c36f55	1	112153343	112154390	18	-1.7571
