miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.383001	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.383001	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.766002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	4.213010	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	41	15.703036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1020	390.660906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4417	1691.714925	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27486	10527.162423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	274	104.942243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	3.830009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.149003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	13	4.979012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	33	12.639029	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	3.064007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.766002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.383001	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	5.745013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	29	11.107026	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.915004	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	250	95.750222	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	4.213010	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	34	13.022030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	3.830009	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	27521	10540.567454	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.766002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	1.532004	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4373	1674.862886	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1040	398.320924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	36	13.788032	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	25	9.575022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	17.618041	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	43	16.469038	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.766002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	34	13.022030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	993	380.319882	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4444	1702.055949	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	27848	10665.808745	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	246	94.218219	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	1.149003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	11	4.213010	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.149003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	31	11.873028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.383001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	9	3.447008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.383001	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	4.596011	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	27	10.341024	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.766002	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.766002	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.149003	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.766002	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.383001	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.383001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	2.298005	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	213	81.579189	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3918	1500.597481	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3974	1522.045531	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17344	6642.767411	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1110	425.130986	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.766002	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	1.915004	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	1	0.383001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.383001	N	mature,MIMAT0000063
