GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	3301765	38593792	19004	0.0004
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	38594029	38594823	2	-1.4922
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	38595228	54833466	8573	-0.002
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	54836135	54839743	7	-1.006
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	54839784	64271273	6902	-0.0013
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	64279307	64279933	7	0.7381
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	64280768	102851916	23606	-0.0011
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	102852113	102856163	3	-1.0991
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	102856785	164852545	18663	-0.0013
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	164853962	164855770	2	-1.7434
bb21253f-27ee-436f-87be-75c4a5b78dc6	1	164857517	247650984	53039	0.0009
bb21253f-27ee-436f-87be-75c4a5b78dc6	2	480597	241537572	132263	-0.0021
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	2170634	24738775	13218	-0.0012
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	24740154	24743916	7	-0.9306
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	24747413	41384385	10596	0.0015
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	41386178	41386655	2	-1.355
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	41387267	48201192	3447	-0.0042
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	48215640	48216743	2	-1.2941
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	48218877	103874428	29141	-0.0007
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	103875744	103883297	16	-1.3461
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	103884951	195423709	50355	0.0015
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	195428692	196256985	118	0.6015
bb21253f-27ee-436f-87be-75c4a5b78dc6	3	196260904	197812401	329	0.0082
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	1059384	164394162	91507	0.0006
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	164395773	164397220	5	-1.61
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	164399200	185690397	10686	0.0004
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	185690509	185691436	3	-1.4581
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	185691578	187086412	852	0.0027
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	187092612	187094561	2	-1.1879
bb21253f-27ee-436f-87be-75c4a5b78dc6	4	187098493	187842528	473	0.0015
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	913983	11809783	7892	0.0046
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	11810114	11822975	7	0.6968
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	11826949	14637163	1663	-0.0015
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	14638349	14648455	6	-0.8625
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	14648552	69022815	27577	0.0028
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	69023860	69024941	3	-1.1764
bb21253f-27ee-436f-87be-75c4a5b78dc6	5	69025359	180934240	64026	0.0009
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	1011760	37560693	21914	-0.0023
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	37567954	37578147	10	-1.2316
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	37579486	51951886	8863	0.0005
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	51953792	52020044	40	0.2478
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	52023317	86658650	17247	-0.0013
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	86658890	86662067	2	-1.2739
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	86676430	114868811	16084	0.0026
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	114869304	114869897	2	-1.3925
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	114870280	115380814	142	0.0252
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	115385540	115387639	3	-1.0072
bb21253f-27ee-436f-87be-75c4a5b78dc6	6	115388301	170596889	32900	-0.0023
bb21253f-27ee-436f-87be-75c4a5b78dc6	7	664936	158592540	81988	0.002
bb21253f-27ee-436f-87be-75c4a5b78dc6	8	667625	3526914	1408	-0.0006
bb21253f-27ee-436f-87be-75c4a5b78dc6	8	3527044	3527222	2	-1.7465
bb21253f-27ee-436f-87be-75c4a5b78dc6	8	3529777	144182542	80856	0.0009
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	789794	791003	8	0.0231
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	792632	798773	7	-1.2495
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	799579	9085115	5185	-0.0016
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	9086923	9088734	3	-1.1676
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	9090782	79478115	26184	-0.0045
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	79479016	79479923	3	-1.1408
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	79479980	129821581	32973	0.0002
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	129822386	129860796	44	0.2279
bb21253f-27ee-436f-87be-75c4a5b78dc6	9	129865444	138044505	4109	0.0123
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	366509	69748668	41244	0.0021
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	69751325	69774427	35	-1.281
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	69774983	88207483	11598	0.0028
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	88210774	88210786	2	-1.3743
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	88211564	107732395	11709	-0.0046
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	107733170	107733457	2	-1.275
bb21253f-27ee-436f-87be-75c4a5b78dc6	10	107735101	133411599	16743	0.0023
bb21253f-27ee-436f-87be-75c4a5b78dc6	11	456012	134272740	77612	0.0003
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	780472	3278838	1150	0.0057
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	3287702	3289924	3	-1.0373
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	3290263	29181116	15871	-0.0005
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	29181195	29181205	2	-2.2201
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	29181219	32091839	1872	0.0022
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	32092858	32092866	2	-1.4753
bb21253f-27ee-436f-87be-75c4a5b78dc6	12	32094505	132605822	55482	0.0009
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	18874255	30876452	7264	0.0018
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	30879907	30881481	5	-0.8564
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	30884499	55896015	14829	0.0031
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	55896315	55897015	4	-1.2511
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	55906050	103375983	28062	0.0015
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	103379795	103389195	14	-1.1489
bb21253f-27ee-436f-87be-75c4a5b78dc6	13	103391625	114226675	6846	0.0088
bb21253f-27ee-436f-87be-75c4a5b78dc6	14	20033191	25225501	2266	0.0001
bb21253f-27ee-436f-87be-75c4a5b78dc6	14	25226321	25226340	2	-1.0731
bb21253f-27ee-436f-87be-75c4a5b78dc6	14	25226674	34106974	5449	0.0061
bb21253f-27ee-436f-87be-75c4a5b78dc6	14	34114637	34147125	25	0.5918
bb21253f-27ee-436f-87be-75c4a5b78dc6	14	34156609	105533894	42075	-0.003
bb21253f-27ee-436f-87be-75c4a5b78dc6	15	23437561	101344124	44812	-0.0014
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	603333	1238529	109	0.0531
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	1299186	1300197	4	-0.8016
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	1303675	48515099	14814	0.0027
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	48520338	48520355	2	-1.5496
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	48522662	52909787	3155	0.0044
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	52910832	52911394	3	-1.2826
bb21253f-27ee-436f-87be-75c4a5b78dc6	16	52912902	89317317	23143	0.0052
bb21253f-27ee-436f-87be-75c4a5b78dc6	17	1074619	82959812	37300	0.0027
bb21253f-27ee-436f-87be-75c4a5b78dc6	18	326691	79349796	42985	-0.0005
bb21253f-27ee-436f-87be-75c4a5b78dc6	19	283868	41462903	17228	0.0014
bb21253f-27ee-436f-87be-75c4a5b78dc6	19	41470755	41501959	24	-1.0467
bb21253f-27ee-436f-87be-75c4a5b78dc6	19	41525232	58370362	6915	0.0039
bb21253f-27ee-436f-87be-75c4a5b78dc6	20	472817	37036566	19683	0.0005
bb21253f-27ee-436f-87be-75c4a5b78dc6	20	37036927	37037384	13	-0.7346
bb21253f-27ee-436f-87be-75c4a5b78dc6	20	37037435	63588502	17878	0.0043
bb21253f-27ee-436f-87be-75c4a5b78dc6	21	13974127	46262057	20608	-0.0017
bb21253f-27ee-436f-87be-75c4a5b78dc6	22	16934932	48940621	17099	0.0034
bb21253f-27ee-436f-87be-75c4a5b78dc6	X	3236359	40333537	16709	0.0177
bb21253f-27ee-436f-87be-75c4a5b78dc6	X	40333760	40349067	13	-1.0757
bb21253f-27ee-436f-87be-75c4a5b78dc6	X	40351195	40882571	313	0.0222
bb21253f-27ee-436f-87be-75c4a5b78dc6	X	40882608	40882627	2	-5.2758
bb21253f-27ee-436f-87be-75c4a5b78dc6	X	40882641	155677414	46814	0.0107
