GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4471fc55-0fa6-4078-b391-1541fec710a4	1	3301765	54833466	27579	-0.0935
4471fc55-0fa6-4078-b391-1541fec710a4	1	54836135	54839784	8	-1.1734
4471fc55-0fa6-4078-b391-1541fec710a4	1	54842717	54852887	13	-0.3235
4471fc55-0fa6-4078-b391-1541fec710a4	1	54853837	69614913	10607	-0.1046
4471fc55-0fa6-4078-b391-1541fec710a4	1	69615418	82601820	7369	-0.1322
4471fc55-0fa6-4078-b391-1541fec710a4	1	82603549	82972436	267	-0.8626
4471fc55-0fa6-4078-b391-1541fec710a4	1	82975873	96404377	8427	-0.1055
4471fc55-0fa6-4078-b391-1541fec710a4	1	96404674	106391717	5477	-0.1364
4471fc55-0fa6-4078-b391-1541fec710a4	1	106392043	119984772	8411	-0.1077
4471fc55-0fa6-4078-b391-1541fec710a4	1	146716041	185902341	22467	0.6439
4471fc55-0fa6-4078-b391-1541fec710a4	1	185904814	193209452	4339	0.5833
4471fc55-0fa6-4078-b391-1541fec710a4	1	193209467	205135673	7368	0.6322
4471fc55-0fa6-4078-b391-1541fec710a4	1	205137110	205137188	3	-0.9205
4471fc55-0fa6-4078-b391-1541fec710a4	1	205140276	247650984	27485	0.6371
4471fc55-0fa6-4078-b391-1541fec710a4	2	480597	138595990	72623	0.3032
4471fc55-0fa6-4078-b391-1541fec710a4	2	138598930	147506509	5124	0.2526
4471fc55-0fa6-4078-b391-1541fec710a4	2	147509269	160883265	7927	0.2925
4471fc55-0fa6-4078-b391-1541fec710a4	2	160885451	160885540	2	-1.2991
4471fc55-0fa6-4078-b391-1541fec710a4	2	160886874	209123450	26847	0.2978
4471fc55-0fa6-4078-b391-1541fec710a4	2	209123938	215059763	3510	0.2584
4471fc55-0fa6-4078-b391-1541fec710a4	2	215062772	219671442	2835	0.3049
4471fc55-0fa6-4078-b391-1541fec710a4	2	219676450	227102614	4943	0.2825
4471fc55-0fa6-4078-b391-1541fec710a4	2	227103525	241537572	8473	0.315
4471fc55-0fa6-4078-b391-1541fec710a4	3	2170634	77498672	44886	-0.1059
4471fc55-0fa6-4078-b391-1541fec710a4	3	77498687	103874428	11524	-0.1316
4471fc55-0fa6-4078-b391-1541fec710a4	3	103875744	103883297	16	-1.1296
4471fc55-0fa6-4078-b391-1541fec710a4	3	103884951	144418630	23240	-0.1161
4471fc55-0fa6-4078-b391-1541fec710a4	3	144418736	145386845	552	-0.197
4471fc55-0fa6-4078-b391-1541fec710a4	3	145387746	162603082	9132	-0.1154
4471fc55-0fa6-4078-b391-1541fec710a4	3	162603596	166689558	1636	-0.1591
4471fc55-0fa6-4078-b391-1541fec710a4	3	166689616	195428692	15799	-0.1128
4471fc55-0fa6-4078-b391-1541fec710a4	3	196017117	196197301	86	0.356
4471fc55-0fa6-4078-b391-1541fec710a4	3	196201409	196252550	30	0.5452
4471fc55-0fa6-4078-b391-1541fec710a4	3	196256985	197812401	330	-0.0901
4471fc55-0fa6-4078-b391-1541fec710a4	4	1059384	27982807	16968	-0.1113
4471fc55-0fa6-4078-b391-1541fec710a4	4	27983908	35569986	4402	-0.1501
