GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f3b64ea5-f0cf-4e28-b350-16c437832996	1	3301765	49594295	24953	-0.1288
f3b64ea5-f0cf-4e28-b350-16c437832996	1	49597506	49983240	136	-0.4156
f3b64ea5-f0cf-4e28-b350-16c437832996	1	49984856	113496868	38986	-0.1128
f3b64ea5-f0cf-4e28-b350-16c437832996	1	113503345	113510923	6	-0.9191
f3b64ea5-f0cf-4e28-b350-16c437832996	1	113515658	119984738	4057	-0.1013
f3b64ea5-f0cf-4e28-b350-16c437832996	1	119984772	178157905	17396	0.3476
f3b64ea5-f0cf-4e28-b350-16c437832996	1	178159449	178173073	7	1.0317
f3b64ea5-f0cf-4e28-b350-16c437832996	1	178186875	190392476	7714	0.341
f3b64ea5-f0cf-4e28-b350-16c437832996	1	190392925	192549937	1194	0.2935
f3b64ea5-f0cf-4e28-b350-16c437832996	1	192550123	197014101	2632	0.3396
f3b64ea5-f0cf-4e28-b350-16c437832996	1	197018951	211842323	9690	0.1458
f3b64ea5-f0cf-4e28-b350-16c437832996	1	211843985	212644567	499	0.3681
f3b64ea5-f0cf-4e28-b350-16c437832996	1	212646235	212803607	116	0.1292
f3b64ea5-f0cf-4e28-b350-16c437832996	1	212803644	225736476	8400	0.3556
f3b64ea5-f0cf-4e28-b350-16c437832996	1	225736758	235555399	6302	0.157
f3b64ea5-f0cf-4e28-b350-16c437832996	1	235555422	242873653	5500	0.3373
f3b64ea5-f0cf-4e28-b350-16c437832996	1	242874036	245257534	1174	0.1372
f3b64ea5-f0cf-4e28-b350-16c437832996	1	245258894	247650984	1027	0.3523
f3b64ea5-f0cf-4e28-b350-16c437832996	2	480597	48799789	29298	-0.1102
f3b64ea5-f0cf-4e28-b350-16c437832996	2	48829828	70289516	12179	-0.0861
f3b64ea5-f0cf-4e28-b350-16c437832996	2	70289529	74110457	2082	-0.1041
f3b64ea5-f0cf-4e28-b350-16c437832996	2	74110588	77554363	2041	0.1423
f3b64ea5-f0cf-4e28-b350-16c437832996	2	77557623	77774623	92	-0.0928
f3b64ea5-f0cf-4e28-b350-16c437832996	2	77776126	79470645	491	0.1179
f3b64ea5-f0cf-4e28-b350-16c437832996	2	79470856	79624399	107	-0.105
f3b64ea5-f0cf-4e28-b350-16c437832996	2	79625711	142893202	28976	0.1335
f3b64ea5-f0cf-4e28-b350-16c437832996	2	142893253	147037487	2205	0.0949
f3b64ea5-f0cf-4e28-b350-16c437832996	2	147037863	241537572	54768	0.1417
f3b64ea5-f0cf-4e28-b350-16c437832996	3	2170634	90368798	51289	-0.1119
f3b64ea5-f0cf-4e28-b350-16c437832996	3	90369509	110305550	8723	0.1116
f3b64ea5-f0cf-4e28-b350-16c437832996	3	110306077	123220310	7698	0.1292
f3b64ea5-f0cf-4e28-b350-16c437832996	3	123221530	123222108	2	-1.2336
