GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
481f18ac-3b45-40ba-bfff-4e78eba96132	1	3301765	5912629	1868	-0.6601
481f18ac-3b45-40ba-bfff-4e78eba96132	1	5914528	55425925	26108	-0.6191
481f18ac-3b45-40ba-bfff-4e78eba96132	1	55426126	79975771	15891	-0.6586
481f18ac-3b45-40ba-bfff-4e78eba96132	1	79975951	83112229	2017	-0.7279
481f18ac-3b45-40ba-bfff-4e78eba96132	1	83112991	119984772	22179	-0.6581
481f18ac-3b45-40ba-bfff-4e78eba96132	1	146716041	186484621	22800	0.4757
481f18ac-3b45-40ba-bfff-4e78eba96132	1	186485762	200085949	7929	0.4218
481f18ac-3b45-40ba-bfff-4e78eba96132	1	200086169	215072799	10114	0.4772
481f18ac-3b45-40ba-bfff-4e78eba96132	1	215073493	219460527	2967	0.431
481f18ac-3b45-40ba-bfff-4e78eba96132	1	219461038	226813131	4432	0.467
481f18ac-3b45-40ba-bfff-4e78eba96132	1	226817303	226819481	4	-0.6625
481f18ac-3b45-40ba-bfff-4e78eba96132	1	226825995	234772540	5333	0.4775
481f18ac-3b45-40ba-bfff-4e78eba96132	1	234776541	234780167	3	-0.6728
481f18ac-3b45-40ba-bfff-4e78eba96132	1	234794424	236237845	756	0.4609
481f18ac-3b45-40ba-bfff-4e78eba96132	1	236237852	244340418	5925	0.4348
481f18ac-3b45-40ba-bfff-4e78eba96132	1	244340836	247650984	1399	0.4593
481f18ac-3b45-40ba-bfff-4e78eba96132	2	480597	9553733	5616	0.0025
481f18ac-3b45-40ba-bfff-4e78eba96132	2	9556938	9557080	3	-1.4305
481f18ac-3b45-40ba-bfff-4e78eba96132	2	9558966	11535346	1340	0.0545
481f18ac-3b45-40ba-bfff-4e78eba96132	2	11535463	25389801	9009	-0.0025
481f18ac-3b45-40ba-bfff-4e78eba96132	2	25389945	29665471	2212	0.0444
481f18ac-3b45-40ba-bfff-4e78eba96132	2	29666923	36404455	3548	-0.0054
481f18ac-3b45-40ba-bfff-4e78eba96132	2	36404636	38714616	1191	0.0455
481f18ac-3b45-40ba-bfff-4e78eba96132	2	38715787	41464575	1533	-0.0019
481f18ac-3b45-40ba-bfff-4e78eba96132	2	41465490	49414335	5206	0.032
481f18ac-3b45-40ba-bfff-4e78eba96132	2	49414418	51309666	1000	-0.0299
481f18ac-3b45-40ba-bfff-4e78eba96132	2	51311298	51313307	2	-1.0981
481f18ac-3b45-40ba-bfff-4e78eba96132	2	51320013	52812949	713	-0.0361
481f18ac-3b45-40ba-bfff-4e78eba96132	2	52813113	63672279	5953	0.0021
481f18ac-3b45-40ba-bfff-4e78eba96132	2	63673158	76679937	7755	0.0263
481f18ac-3b45-40ba-bfff-4e78eba96132	2	76680916	83191822	3354	-0.007
481f18ac-3b45-40ba-bfff-4e78eba96132	2	83192084	103246152	6376	0.0339
481f18ac-3b45-40ba-bfff-4e78eba96132	2	103248830	104319219	623	-0.0317
481f18ac-3b45-40ba-bfff-4e78eba96132	2	104319825	114726843	5362	0.0331
481f18ac-3b45-40ba-bfff-4e78eba96132	2	114727120	118477760	1757	-0.0125
481f18ac-3b45-40ba-bfff-4e78eba96132	2	118477800	122477101	2453	0.0333
481f18ac-3b45-40ba-bfff-4e78eba96132	2	122480130	126730046	1798	-0.0197
481f18ac-3b45-40ba-bfff-4e78eba96132	2	126734579	126734615	2	-1.1229
481f18ac-3b45-40ba-bfff-4e78eba96132	2	126734878	129190369	1483	0.0363
481f18ac-3b45-40ba-bfff-4e78eba96132	2	129193936	156597095	14855	-0.0153
481f18ac-3b45-40ba-bfff-4e78eba96132	2	156601040	167527617	6201	0
481f18ac-3b45-40ba-bfff-4e78eba96132	2	167527820	174014446	4313	0.038
481f18ac-3b45-40ba-bfff-4e78eba96132	2	174015785	208938290	18734	0.0085
481f18ac-3b45-40ba-bfff-4e78eba96132	2	208938808	215516188	3897	-0.0278
481f18ac-3b45-40ba-bfff-4e78eba96132	2	215516740	235650751	12520	0.0093
481f18ac-3b45-40ba-bfff-4e78eba96132	2	235651343	235783594	80	-0.7125
481f18ac-3b45-40ba-bfff-4e78eba96132	2	235787763	241537572	3376	0.0223
481f18ac-3b45-40ba-bfff-4e78eba96132	3	2170634	3847210	1101	-0.0077
481f18ac-3b45-40ba-bfff-4e78eba96132	3	3848065	15015351	6778	0.0389
481f18ac-3b45-40ba-bfff-4e78eba96132	3	15016654	19938725	2792	0.002
481f18ac-3b45-40ba-bfff-4e78eba96132	3	19938835	20150563	150	-0.0439
481f18ac-3b45-40ba-bfff-4e78eba96132	3	20150654	20150779	2	-1.0466
481f18ac-3b45-40ba-bfff-4e78eba96132	3	20151086	23294526	1472	-0.0429
