GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CM-4748-01A-01D-A91Y-36	chr1	17001	1716000	889	-0.011648
TCGA-CM-4748-01A-01D-A91Y-36	chr1	1716001	1750000	24	0.582191
TCGA-CM-4748-01A-01D-A91Y-36	chr1	1752001	16603000	14258	-0.017071
TCGA-CM-4748-01A-01D-A91Y-36	chr1	16604001	16628000	24	0.066521
TCGA-CM-4748-01A-01D-A91Y-36	chr1	16628001	16873000	106	-0.121939
TCGA-CM-4748-01A-01D-A91Y-36	chr1	16873001	16949000	75	-0.634668
TCGA-CM-4748-01A-01D-A91Y-36	chr1	16949001	123525000	102399	-0.001145
TCGA-CM-4748-01A-01D-A91Y-36	chr1	123525001	123532000	4	-2.057756
TCGA-CM-4748-01A-01D-A91Y-36	chr1	123535001	124027000	57	-0.159952
TCGA-CM-4748-01A-01D-A91Y-36	chr1	124044001	124070000	5	-0.997520
TCGA-CM-4748-01A-01D-A91Y-36	chr1	124096001	161515000	14365	0.006554
TCGA-CM-4748-01A-01D-A91Y-36	chr1	161515001	161565000	44	-0.996352
TCGA-CM-4748-01A-01D-A91Y-36	chr1	161565001	161598000	13	-4.440909
TCGA-CM-4748-01A-01D-A91Y-36	chr1	161598001	161646000	36	-1.003038
TCGA-CM-4748-01A-01D-A91Y-36	chr1	161646001	248931000	86012	0.006089
TCGA-CM-4748-01A-01D-A91Y-36	chr2	11001	89872000	87873	0.001571
TCGA-CM-4748-01A-01D-A91Y-36	chr2	89883001	89884000	1	-8.969072
TCGA-CM-4748-01A-01D-A91Y-36	chr2	89896001	92551000	711	-0.025874
TCGA-CM-4748-01A-01D-A91Y-36	chr2	92552001	92756000	8	-0.635545
TCGA-CM-4748-01A-01D-A91Y-36	chr2	92790001	242159000	144303	0.004591
TCGA-CM-4748-01A-01D-A91Y-36	chr3	12001	195618000	191483	0.009090
TCGA-CM-4748-01A-01D-A91Y-36	chr3	195618001	195730000	85	-0.777226
TCGA-CM-4748-01A-01D-A91Y-36	chr3	195730001	198175000	2361	0.001082
TCGA-CM-4748-01A-01D-A91Y-36	chr4	15001	4108000	4003	-0.009089
TCGA-CM-4748-01A-01D-A91Y-36	chr4	4108001	4157000	19	-6.245961
TCGA-CM-4748-01A-01D-A91Y-36	chr4	4157001	9103000	4883	-0.012893
TCGA-CM-4748-01A-01D-A91Y-36	chr4	9103001	9125000	22	-0.975666
TCGA-CM-4748-01A-01D-A91Y-36	chr4	9125001	48714000	39085	0.004559
TCGA-CM-4748-01A-01D-A91Y-36	chr4	48715001	48720000	5	-29.870443
TCGA-CM-4748-01A-01D-A91Y-36	chr4	48720001	49091000	370	0.017742
TCGA-CM-4748-01A-01D-A91Y-36	chr4	49091001	49657000	296	-0.088768
TCGA-CM-4748-01A-01D-A91Y-36	chr4	49657001	160957000	108112	0.014123
TCGA-CM-4748-01A-01D-A91Y-36	chr4	160957001	160964000	7	-1.486341
TCGA-CM-4748-01A-01D-A91Y-36	chr4	160964001	190204000	28777	0.008979
TCGA-CM-4748-01A-01D-A91Y-36	chr5	13001	698000	635	-0.006903
TCGA-CM-4748-01A-01D-A91Y-36	chr5	698001	717000	17	0.400078
TCGA-CM-4748-01A-01D-A91Y-36	chr5	717001	725000	7	0.795981
TCGA-CM-4748-01A-01D-A91Y-36	chr5	728001	799000	52	1.035701
TCGA-CM-4748-01A-01D-A91Y-36	chr5	799001	826000	23	0.476757
TCGA-CM-4748-01A-01D-A91Y-36	chr5	827001	21480000	20379	0.001864
TCGA-CM-4748-01A-01D-A91Y-36	chr5	21480001	21496000	16	-0.904489
TCGA-CM-4748-01A-01D-A91Y-36	chr5	21496001	34309000	12680	0.010618
TCGA-CM-4748-01A-01D-A91Y-36	chr5	34309001	34390000	74	0.004953
TCGA-CM-4748-01A-01D-A91Y-36	chr5	34390001	45524000	11082	0.011748
TCGA-CM-4748-01A-01D-A91Y-36	chr5	45524001	45576000	52	-0.938660
TCGA-CM-4748-01A-01D-A91Y-36	chr5	45576001	47111000	854	0.007589
TCGA-CM-4748-01A-01D-A91Y-36	chr5	47111001	50144000	63	-0.479874
TCGA-CM-4748-01A-01D-A91Y-36	chr5	50145001	85691000	33526	0.010419
TCGA-CM-4748-01A-01D-A91Y-36	chr5	85691001	86225000	533	-0.546683
TCGA-CM-4748-01A-01D-A91Y-36	chr5	86225001	91008000	4753	-0.539853
TCGA-CM-4748-01A-01D-A91Y-36	chr5	91008001	91177000	169	-0.525942
TCGA-CM-4748-01A-01D-A91Y-36	chr5	91177001	91313000	133	-0.538478
TCGA-CM-4748-01A-01D-A91Y-36	chr5	91313001	97731000	6388	-0.536871
TCGA-CM-4748-01A-01D-A91Y-36	chr5	97731001	99191000	1449	-0.526325
TCGA-CM-4748-01A-01D-A91Y-36	chr5	99191001	99228000	37	-0.440288
TCGA-CM-4748-01A-01D-A91Y-36	chr5	99228001	101761000	2414	-0.536209
TCGA-CM-4748-01A-01D-A91Y-36	chr5	101761001	101784000	23	-0.517432
TCGA-CM-4748-01A-01D-A91Y-36	chr5	101784001	103376000	1572	-0.536667
TCGA-CM-4748-01A-01D-A91Y-36	chr5	103376001	103518000	142	-0.540922
TCGA-CM-4748-01A-01D-A91Y-36	chr5	103518001	103800000	282	-0.532265
TCGA-CM-4748-01A-01D-A91Y-36	chr5	103800001	103843000	43	-0.555855
TCGA-CM-4748-01A-01D-A91Y-36	chr5	103843001	103869000	26	-0.543017
TCGA-CM-4748-01A-01D-A91Y-36	chr5	103869001	104231000	358	-0.536347
TCGA-CM-4748-01A-01D-A91Y-36	chr5	104231001	106980000	2723	-0.534082
TCGA-CM-4748-01A-01D-A91Y-36	chr5	106980001	106995000	14	-0.646581
TCGA-CM-4748-01A-01D-A91Y-36	chr5	106995001	107755000	760	-0.535956
TCGA-CM-4748-01A-01D-A91Y-36	chr5	107755001	107774000	19	-0.563638
TCGA-CM-4748-01A-01D-A91Y-36	chr5	107774001	108244000	470	-0.551525
TCGA-CM-4748-01A-01D-A91Y-36	chr5	108244001	108581000	337	-0.536965
TCGA-CM-4748-01A-01D-A91Y-36	chr5	108581001	110086000	1496	-0.548479
TCGA-CM-4748-01A-01D-A91Y-36	chr5	110086001	110107000	21	-0.524746
TCGA-CM-4748-01A-01D-A91Y-36	chr5	110107001	115115000	4986	-0.546137
TCGA-CM-4748-01A-01D-A91Y-36	chr5	115115001	115992000	873	-0.529721
TCGA-CM-4748-01A-01D-A91Y-36	chr5	115992001	116024000	32	-0.560303
TCGA-CM-4748-01A-01D-A91Y-36	chr5	116024001	117096000	1066	-0.545028
TCGA-CM-4748-01A-01D-A91Y-36	chr5	117096001	117150000	54	-0.567022
TCGA-CM-4748-01A-01D-A91Y-36	chr5	117150001	117488000	336	-0.532452
TCGA-CM-4748-01A-01D-A91Y-36	chr5	117488001	117751000	259	-0.533458
TCGA-CM-4748-01A-01D-A91Y-36	chr5	117751001	117968000	216	-0.565273
TCGA-CM-4748-01A-01D-A91Y-36	chr5	117968001	118328000	359	-0.542543
TCGA-CM-4748-01A-01D-A91Y-36	chr5	118328001	118477000	148	-0.553774
