GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	62920	2374376	439	0.1237
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	2374713	3952173	641	0.0506
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	3955322	5089929	1004	-0.0222
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	5090400	25266637	11923	0.0347
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	25269390	25319167	19	-2.0372
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	25319693	25320455	4	-0.7032
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	25336819	34626073	4950	0.0209
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	34637053	34638890	20	-0.5761
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	34648667	55660063	11895	0.0261
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	55663431	55663693	2	1.3163
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	55667795	58161148	2054	0.003
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	58161571	70106050	8481	0.0379
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	70107060	72284670	1319	0.0045
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	72290430	72297687	9	-2.9265
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	72302735	72345465	48	0.9241
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	72346221	83079716	6949	0.0053
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	83079735	95685983	8227	0.0412
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	95685985	108187137	7719	0.0177
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	108191613	108192255	2	-4.0004
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	108194874	109690415	698	0.043
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	109690431	109697533	10	0.7464
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	109697556	152583051	9575	0.0388
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	152583230	152614064	33	1.2245
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	152614100	152778324	160	-0.0002
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	152778761	152796094	45	0.2958
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	152796224	156885705	2094	0.0318
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	156885826	156886003	3	-1.3653
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	156886693	168556865	8552	0.0222
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	168557156	170072811	1246	0.0783
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	170075022	195771973	16898	0.0277
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	195774920	195776838	6	-0.7764
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	195786616	196843377	712	0.0228
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	196843400	196846661	2	1.6036
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	196847600	240228440	29929	0.0229
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	240230715	240230839	6	-1.6213
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	240232805	248546369	5680	0.0097
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	248550567	248645808	37	0.3145
02df2624-91d6-4c65-b09d-0eb3adc7dadb	1	248646068	248930189	139	0.0647
02df2624-91d6-4c65-b09d-0eb3adc7dadb	2	12784	3680514	2568	0.0155
02df2624-91d6-4c65-b09d-0eb3adc7dadb	2	3680971	3688948	6	-0.853
02df2624-91d6-4c65-b09d-0eb3adc7dadb	2	3694481	32904972	20267	0.0128
02df2624-91d6-4c65-b09d-0eb3adc7dadb	2	32908249	32908593	3	-1.6339
02df2624-91d6-4c65-b09d-0eb3adc7dadb	2	32909089	37531602	3544	0.0043
