GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
52b7cda9-a860-45b7-83b6-cf01d406f067	1	3301765	17904041	7890	0.0046
52b7cda9-a860-45b7-83b6-cf01d406f067	1	17906080	17906665	2	-2.2808
52b7cda9-a860-45b7-83b6-cf01d406f067	1	17910125	70435652	30676	0.0066
52b7cda9-a860-45b7-83b6-cf01d406f067	1	70453993	70471236	17	-1.1919
52b7cda9-a860-45b7-83b6-cf01d406f067	1	70473843	189807087	54266	0.0042
52b7cda9-a860-45b7-83b6-cf01d406f067	1	189810880	189816853	13	0.497
52b7cda9-a860-45b7-83b6-cf01d406f067	1	189819270	204407080	8792	0.0087
52b7cda9-a860-45b7-83b6-cf01d406f067	1	204413461	204414328	2	-2.398
52b7cda9-a860-45b7-83b6-cf01d406f067	1	204417745	227311497	14981	0.001
52b7cda9-a860-45b7-83b6-cf01d406f067	1	227312801	227319247	2	-1.5887
52b7cda9-a860-45b7-83b6-cf01d406f067	1	227320549	247650984	13084	-0.0026
52b7cda9-a860-45b7-83b6-cf01d406f067	2	480597	134650209	70637	0.0077
52b7cda9-a860-45b7-83b6-cf01d406f067	2	134657318	134657945	2	-2.5528
52b7cda9-a860-45b7-83b6-cf01d406f067	2	134660929	235841299	58217	0.0063
52b7cda9-a860-45b7-83b6-cf01d406f067	2	235842443	235845756	2	-2.9471
52b7cda9-a860-45b7-83b6-cf01d406f067	2	235846930	241537572	3331	0.0112
52b7cda9-a860-45b7-83b6-cf01d406f067	3	2170634	197812401	107178	0.0009
52b7cda9-a860-45b7-83b6-cf01d406f067	4	1059384	187842528	103507	0.0031
52b7cda9-a860-45b7-83b6-cf01d406f067	5	913983	38837522	22600	0.0032
52b7cda9-a860-45b7-83b6-cf01d406f067	5	38837759	38838341	5	-1.052
52b7cda9-a860-45b7-83b6-cf01d406f067	5	38842308	66375894	12650	0.0035
52b7cda9-a860-45b7-83b6-cf01d406f067	5	66377896	66443728	40	0.5458
52b7cda9-a860-45b7-83b6-cf01d406f067	5	66451464	74584578	4191	-0.0022
52b7cda9-a860-45b7-83b6-cf01d406f067	5	74589721	74774762	101	0.605
52b7cda9-a860-45b7-83b6-cf01d406f067	5	74779604	168840902	54570	-0.0028
52b7cda9-a860-45b7-83b6-cf01d406f067	5	168841366	168841382	2	-1.8963
52b7cda9-a860-45b7-83b6-cf01d406f067	5	168843239	180934240	6965	0.0017
52b7cda9-a860-45b7-83b6-cf01d406f067	6	1011760	170596889	97168	0.0001
52b7cda9-a860-45b7-83b6-cf01d406f067	7	664936	158592540	81940	0.0019
52b7cda9-a860-45b7-83b6-cf01d406f067	8	667625	6398439	2693	0.006
52b7cda9-a860-45b7-83b6-cf01d406f067	8	6398724	6431952	32	-1.3202
52b7cda9-a860-45b7-83b6-cf01d406f067	8	6432416	9359074	1166	0.0083
52b7cda9-a860-45b7-83b6-cf01d406f067	8	9359414	9359685	4	-1.0486
52b7cda9-a860-45b7-83b6-cf01d406f067	8	9361146	35609769	17145	0.0027
52b7cda9-a860-45b7-83b6-cf01d406f067	8	35615346	35653476	26	-1.2154
52b7cda9-a860-45b7-83b6-cf01d406f067	8	35655039	76649608	21511	0.0026
52b7cda9-a860-45b7-83b6-cf01d406f067	8	76650153	76650363	2	-1.4842
52b7cda9-a860-45b7-83b6-cf01d406f067	8	76651943	90963243	7679	0.0025
52b7cda9-a860-45b7-83b6-cf01d406f067	8	90964076	90965779	3	1.0477
52b7cda9-a860-45b7-83b6-cf01d406f067	8	90972922	94634189	2101	0.0082
52b7cda9-a860-45b7-83b6-cf01d406f067	8	94635564	94635644	2	-1.4325
52b7cda9-a860-45b7-83b6-cf01d406f067	8	94648544	95635573	619	-0.0054
52b7cda9-a860-45b7-83b6-cf01d406f067	8	95640390	95641579	4	-1.3403
52b7cda9-a860-45b7-83b6-cf01d406f067	8	95641634	144182542	29245	0.0015
52b7cda9-a860-45b7-83b6-cf01d406f067	9	789794	109955225	51567	0.003
52b7cda9-a860-45b7-83b6-cf01d406f067	9	109961104	109966933	3	-1.5149
52b7cda9-a860-45b7-83b6-cf01d406f067	9	109972165	138044505	16902	0.0052
52b7cda9-a860-45b7-83b6-cf01d406f067	10	366509	43029180	26565	0.003
52b7cda9-a860-45b7-83b6-cf01d406f067	10	43029253	43030294	2	-1.9982
52b7cda9-a860-45b7-83b6-cf01d406f067	10	43030575	56568759	6566	0.0053
52b7cda9-a860-45b7-83b6-cf01d406f067	10	56569449	56725253	63	-1.0808
52b7cda9-a860-45b7-83b6-cf01d406f067	10	56728169	133411599	48087	0.003
52b7cda9-a860-45b7-83b6-cf01d406f067	11	456012	116643920	65428	0.0042
52b7cda9-a860-45b7-83b6-cf01d406f067	11	116644925	116647046	2	-2.1092
52b7cda9-a860-45b7-83b6-cf01d406f067	11	116647061	134272740	12141	0.0084
52b7cda9-a860-45b7-83b6-cf01d406f067	12	780472	30990558	18383	-0.0008
52b7cda9-a860-45b7-83b6-cf01d406f067	12	30992698	30992791	2	-1.6232
52b7cda9-a860-45b7-83b6-cf01d406f067	12	30993599	106301379	41798	0.0038
52b7cda9-a860-45b7-83b6-cf01d406f067	12	106301588	106304024	3	-1.4719
52b7cda9-a860-45b7-83b6-cf01d406f067	12	106305373	132605822	14165	0.0092
52b7cda9-a860-45b7-83b6-cf01d406f067	13	18874255	114226675	56986	0.0037
52b7cda9-a860-45b7-83b6-cf01d406f067	14	20033191	97754414	45751	0.004
52b7cda9-a860-45b7-83b6-cf01d406f067	14	97754609	97755193	3	-1.7115
52b7cda9-a860-45b7-83b6-cf01d406f067	14	97756708	105533894	4021	-0.0009
52b7cda9-a860-45b7-83b6-cf01d406f067	15	23437561	101344124	44787	0.007
52b7cda9-a860-45b7-83b6-cf01d406f067	16	603333	5521321	1981	0.0085
52b7cda9-a860-45b7-83b6-cf01d406f067	16	5521608	5521796	4	-1.224
52b7cda9-a860-45b7-83b6-cf01d406f067	16	5522103	63884567	23289	0.0113
52b7cda9-a860-45b7-83b6-cf01d406f067	16	63889231	63893214	3	-1.5145
52b7cda9-a860-45b7-83b6-cf01d406f067	16	63893283	89317317	15934	0.0061
52b7cda9-a860-45b7-83b6-cf01d406f067	17	1074619	82959812	37262	0.0049
52b7cda9-a860-45b7-83b6-cf01d406f067	18	326691	79349796	42957	0.0044
52b7cda9-a860-45b7-83b6-cf01d406f067	19	283868	58370362	24141	0.0028
52b7cda9-a860-45b7-83b6-cf01d406f067	20	472817	63588502	37538	0.0062
52b7cda9-a860-45b7-83b6-cf01d406f067	21	13974127	20719836	4283	0.0124
52b7cda9-a860-45b7-83b6-cf01d406f067	21	20722233	20722402	2	-2.6334
52b7cda9-a860-45b7-83b6-cf01d406f067	21	20726399	24124382	1894	0.0037
52b7cda9-a860-45b7-83b6-cf01d406f067	21	24130397	24130814	4	-1.0647
52b7cda9-a860-45b7-83b6-cf01d406f067	21	24133267	24182040	50	-0.0228
52b7cda9-a860-45b7-83b6-cf01d406f067	21	24182070	24182765	6	0.3949
52b7cda9-a860-45b7-83b6-cf01d406f067	21	24189256	24213071	44	-0.081
52b7cda9-a860-45b7-83b6-cf01d406f067	21	24215936	24216026	3	-2.3585
