GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	62920	12779433	6486	0.0174
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	12792599	12797904	3	-2.2122
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	12799143	12868035	29	-0.6
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	12922922	16864367	2175	0.0094
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	16868660	16951445	55	0.3618
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	16955930	25256850	5251	0.0118
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	25266637	25320455	24	0.6496
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	25336819	34626073	4942	0.0133
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	34637053	34638890	20	-2.0423
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	34648667	58939323	14529	0.0129
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	58940617	58941181	2	-1.241
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	58941228	61647430	1908	0.0121
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	61648334	61652515	4	-1.2001
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	61654137	72280898	7266	0.0182
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	72284165	72346757	61	0.297
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	72351072	105476583	20922	0.0154
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	105476614	105479753	16	0.4472
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	105481433	109663865	2626	0.0123
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	109664699	109702376	22	-0.4436
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	109703504	112153465	1945	0.0277
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	112153571	112154591	20	-0.3405
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	112154619	143494500	5160	0.0178
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	143541857	143713743	89	-0.5781
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	143713884	152583051	2343	0.0104
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	152583230	152614118	35	-1.535
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	152618018	158549749	3491	0.0092
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	158549782	158553881	10	-0.4794
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	158555761	169264736	7960	0.0143
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	169265291	169272528	6	0.8415
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	169273163	196740093	18159	0.0165
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	196740316	196820098	50	0.4027
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	196820637	196820704	2	-0.2848
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	196821139	196926717	75	-0.7068
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	196932623	206970205	6423	0.0156
490805eb-787e-4c0f-a3db-170e33c4d6d5	1	206971274	206972719	3	-0.9802
