GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-A01X-01A-21D-A91W-36	chr1	17001	821000	52	0.363213
TCGA-AA-A01X-01A-21D-A91W-36	chr1	821001	16542000	15088	-0.350743
TCGA-AA-A01X-01A-21D-A91W-36	chr1	16543001	16652000	79	-0.016869
TCGA-AA-A01X-01A-21D-A91W-36	chr1	16652001	16865000	76	-0.185760
TCGA-AA-A01X-01A-21D-A91W-36	chr1	16867001	16949000	81	-0.877750
TCGA-AA-A01X-01A-21D-A91W-36	chr1	16949001	24193000	7215	-0.350053
TCGA-AA-A01X-01A-21D-A91W-36	chr1	24193001	24197000	4	-0.668801
TCGA-AA-A01X-01A-21D-A91W-36	chr1	24197001	122742000	95092	-0.356838
TCGA-AA-A01X-01A-21D-A91W-36	chr1	122756001	124783000	293	0.251954
TCGA-AA-A01X-01A-21D-A91W-36	chr1	124802001	143541000	334	0.791145
TCGA-AA-A01X-01A-21D-A91W-36	chr1	143541001	143915000	232	0.976199
TCGA-AA-A01X-01A-21D-A91W-36	chr1	143935001	150058000	2352	0.832932
TCGA-AA-A01X-01A-21D-A91W-36	chr1	150058001	152502000	2422	0.847144
TCGA-AA-A01X-01A-21D-A91W-36	chr1	152502001	153255000	707	0.825888
TCGA-AA-A01X-01A-21D-A91W-36	chr1	153255001	154154000	897	0.847215
TCGA-AA-A01X-01A-21D-A91W-36	chr1	154154001	154862000	708	0.838237
TCGA-AA-A01X-01A-21D-A91W-36	chr1	154862001	156172000	1281	0.853982
TCGA-AA-A01X-01A-21D-A91W-36	chr1	156172001	156186000	13	0.899357
TCGA-AA-A01X-01A-21D-A91W-36	chr1	156186001	157185000	997	0.848377
TCGA-AA-A01X-01A-21D-A91W-36	chr1	157185001	157491000	306	0.822756
TCGA-AA-A01X-01A-21D-A91W-36	chr1	157491001	158826000	1333	0.829860
TCGA-AA-A01X-01A-21D-A91W-36	chr1	158826001	160044000	1202	0.834349
TCGA-AA-A01X-01A-21D-A91W-36	chr1	160044001	160104000	60	0.829847
TCGA-AA-A01X-01A-21D-A91W-36	chr1	160104001	161518000	1385	0.841237
TCGA-AA-A01X-01A-21D-A91W-36	chr1	161518001	161706000	128	0.982510
TCGA-AA-A01X-01A-21D-A91W-36	chr1	161706001	162845000	1135	0.829814
TCGA-AA-A01X-01A-21D-A91W-36	chr1	162845001	163077000	232	0.826557
TCGA-AA-A01X-01A-21D-A91W-36	chr1	163077001	164207000	1122	0.827038
TCGA-AA-A01X-01A-21D-A91W-36	chr1	164207001	165831000	1622	0.821880
TCGA-AA-A01X-01A-21D-A91W-36	chr1	165831001	165859000	28	0.814006
TCGA-AA-A01X-01A-21D-A91W-36	chr1	165859001	166195000	333	0.815549
TCGA-AA-A01X-01A-21D-A91W-36	chr1	166195001	167191000	989	0.829025
TCGA-AA-A01X-01A-21D-A91W-36	chr1	167191001	167427000	236	0.837634
TCGA-AA-A01X-01A-21D-A91W-36	chr1	167427001	167858000	431	0.830787
TCGA-AA-A01X-01A-21D-A91W-36	chr1	167858001	172079000	4181	0.834813
TCGA-AA-A01X-01A-21D-A91W-36	chr1	172079001	172264000	185	0.831794
TCGA-AA-A01X-01A-21D-A91W-36	chr1	172264001	173924000	1653	0.835499
TCGA-AA-A01X-01A-21D-A91W-36	chr1	173924001	175034000	1082	0.838440
TCGA-AA-A01X-01A-21D-A91W-36	chr1	175034001	177578000	2530	0.812666
TCGA-AA-A01X-01A-21D-A91W-36	chr1	177578001	177779000	199	0.855312
TCGA-AA-A01X-01A-21D-A91W-36	chr1	177779001	177822000	43	0.806402
TCGA-AA-A01X-01A-21D-A91W-36	chr1	177822001	177969000	147	0.812118
TCGA-AA-A01X-01A-21D-A91W-36	chr1	177969001	179284000	1306	0.832456
TCGA-AA-A01X-01A-21D-A91W-36	chr1	179284001	180913000	1617	0.838643
TCGA-AA-A01X-01A-21D-A91W-36	chr1	180913001	180945000	32	0.839234
TCGA-AA-A01X-01A-21D-A91W-36	chr1	180945001	184984000	4024	0.829463
TCGA-AA-A01X-01A-21D-A91W-36	chr1	184984001	185064000	79	0.856504
TCGA-AA-A01X-01A-21D-A91W-36	chr1	185064001	188456000	3361	0.830743
TCGA-AA-A01X-01A-21D-A91W-36	chr1	188456001	188973000	515	0.807716
TCGA-AA-A01X-01A-21D-A91W-36	chr1	188973001	190207000	1232	0.807947
TCGA-AA-A01X-01A-21D-A91W-36	chr1	190207001	192207000	1993	0.822408
TCGA-AA-A01X-01A-21D-A91W-36	chr1	192207001	192382000	175	0.844764
TCGA-AA-A01X-01A-21D-A91W-36	chr1	192382001	195335000	2932	0.832770
TCGA-AA-A01X-01A-21D-A91W-36	chr1	195335001	195418000	83	0.819843
TCGA-AA-A01X-01A-21D-A91W-36	chr1	195418001	196377000	949	0.822738
TCGA-AA-A01X-01A-21D-A91W-36	chr1	196377001	196757000	376	0.827563
TCGA-AA-A01X-01A-21D-A91W-36	chr1	196760001	196845000	13	-0.939443
TCGA-AA-A01X-01A-21D-A91W-36	chr1	196846001	197343000	490	0.817269
TCGA-AA-A01X-01A-21D-A91W-36	chr1	197343001	200595000	3233	0.831100
TCGA-AA-A01X-01A-21D-A91W-36	chr1	200595001	200708000	113	0.842938
TCGA-AA-A01X-01A-21D-A91W-36	chr1	200708001	204922000	4205	0.838497
TCGA-AA-A01X-01A-21D-A91W-36	chr1	204922001	204946000	24	0.838926
TCGA-AA-A01X-01A-21D-A91W-36	chr1	204946001	205490000	544	0.839724
TCGA-AA-A01X-01A-21D-A91W-36	chr1	205490001	205528000	38	0.839064
TCGA-AA-A01X-01A-21D-A91W-36	chr1	205528001	207124000	1364	0.832981
TCGA-AA-A01X-01A-21D-A91W-36	chr1	207124001	207383000	256	0.848825
TCGA-AA-A01X-01A-21D-A91W-36	chr1	207383001	207484000	101	0.846833
TCGA-AA-A01X-01A-21D-A91W-36	chr1	207484001	207706000	180	0.845621
TCGA-AA-A01X-01A-21D-A91W-36	chr1	207706001	207964000	254	0.827091
TCGA-AA-A01X-01A-21D-A91W-36	chr1	207964001	207998000	34	0.824640
TCGA-AA-A01X-01A-21D-A91W-36	chr1	207998001	209869000	1868	0.819856
TCGA-AA-A01X-01A-21D-A91W-36	chr1	209869001	215696000	5799	0.830208
TCGA-AA-A01X-01A-21D-A91W-36	chr1	215696001	215717000	21	0.814512
TCGA-AA-A01X-01A-21D-A91W-36	chr1	215717001	219079000	3344	0.815864
TCGA-AA-A01X-01A-21D-A91W-36	chr1	219079001	222257000	3151	0.821736
TCGA-AA-A01X-01A-21D-A91W-36	chr1	222257001	222395000	138	0.817161
TCGA-AA-A01X-01A-21D-A91W-36	chr1	222395001	226139000	3603	0.833321
TCGA-AA-A01X-01A-21D-A91W-36	chr1	226139001	229338000	3084	0.837069
TCGA-AA-A01X-01A-21D-A91W-36	chr1	229338001	229418000	80	0.831743
TCGA-AA-A01X-01A-21D-A91W-36	chr1	229418001	231223000	1795	0.829078
TCGA-AA-A01X-01A-21D-A91W-36	chr1	231223001	231241000	18	0.830579
