GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CA-6717-01A-11D-1835-10	chr1	17001	269000	8	-0.993732
TCGA-CA-6717-01A-11D-1835-10	chr1	269001	702000	6	-4.881271
TCGA-CA-6717-01A-11D-1835-10	chr1	737001	4061000	3076	0.017883
TCGA-CA-6717-01A-11D-1835-10	chr1	4061001	12842000	8759	-0.031268
TCGA-CA-6717-01A-11D-1835-10	chr1	12842001	12864000	22	0.404536
TCGA-CA-6717-01A-11D-1835-10	chr1	12864001	13248000	65	-0.037384
TCGA-CA-6717-01A-11D-1835-10	chr1	13300001	13366000	39	-0.916335
TCGA-CA-6717-01A-11D-1835-10	chr1	13366001	16544000	3166	-0.039590
TCGA-CA-6717-01A-11D-1835-10	chr1	16544001	16603000	30	-0.566672
TCGA-CA-6717-01A-11D-1835-10	chr1	16604001	16646000	42	0.094119
TCGA-CA-6717-01A-11D-1835-10	chr1	16646001	16675000	9	-1.722762
TCGA-CA-6717-01A-11D-1835-10	chr1	16675001	16949000	154	0.127857
TCGA-CA-6717-01A-11D-1835-10	chr1	16949001	83264000	65798	-0.036542
TCGA-CA-6717-01A-11D-1835-10	chr1	83264001	83480000	189	-0.197649
TCGA-CA-6717-01A-11D-1835-10	chr1	83480001	119996000	35911	-0.011102
TCGA-CA-6717-01A-11D-1835-10	chr1	119996001	121408000	194	-0.403963
TCGA-CA-6717-01A-11D-1835-10	chr1	121408001	121743000	192	-0.002752
TCGA-CA-6717-01A-11D-1835-10	chr1	121743001	121775000	3	-1.918838
TCGA-CA-6717-01A-11D-1835-10	chr1	121775001	122937000	53	-0.818251
TCGA-CA-6717-01A-11D-1835-10	chr1	122948001	123121000	16	-2.349036
TCGA-CA-6717-01A-11D-1835-10	chr1	123144001	123186000	9	-0.762374
TCGA-CA-6717-01A-11D-1835-10	chr1	123195001	123201000	2	-3.631662
TCGA-CA-6717-01A-11D-1835-10	chr1	123213001	123226000	2	0.203810
TCGA-CA-6717-01A-11D-1835-10	chr1	123230001	123391000	12	-2.417710
TCGA-CA-6717-01A-11D-1835-10	chr1	123393001	123396000	3	0.436868
TCGA-CA-6717-01A-11D-1835-10	chr1	123397001	123526000	16	-2.124119
TCGA-CA-6717-01A-11D-1835-10	chr1	123527001	123529000	2	-24.843749
TCGA-CA-6717-01A-11D-1835-10	chr1	123531001	123617000	12	-1.290116
TCGA-CA-6717-01A-11D-1835-10	chr1	123618001	123757000	19	-1.559651
TCGA-CA-6717-01A-11D-1835-10	chr1	123762001	123818000	8	-2.260673
TCGA-CA-6717-01A-11D-1835-10	chr1	123820001	123838000	2	1.653200
TCGA-CA-6717-01A-11D-1835-10	chr1	123845001	124099000	24	-2.084332
TCGA-CA-6717-01A-11D-1835-10	chr1	124102001	124103000	1	2.308763
TCGA-CA-6717-01A-11D-1835-10	chr1	124119001	124226000	16	-2.769265
TCGA-CA-6717-01A-11D-1835-10	chr1	124228001	124281000	6	-0.584715
TCGA-CA-6717-01A-11D-1835-10	chr1	124281001	124291000	3	-2.909536
TCGA-CA-6717-01A-11D-1835-10	chr1	124298001	124452000	29	-1.670753
TCGA-CA-6717-01A-11D-1835-10	chr1	124454001	124476000	6	-3.467520
TCGA-CA-6717-01A-11D-1835-10	chr1	124495001	124500000	2	0.349634
TCGA-CA-6717-01A-11D-1835-10	chr1	124508001	124618000	29	-2.688009
TCGA-CA-6717-01A-11D-1835-10	chr1	124622001	124630000	3	-0.188817
TCGA-CA-6717-01A-11D-1835-10	chr1	124631001	124632000	1	-6.000383
TCGA-CA-6717-01A-11D-1835-10	chr1	124639001	124660000	4	-3.690109
TCGA-CA-6717-01A-11D-1835-10	chr1	124671001	124737000	19	-0.089296
TCGA-CA-6717-01A-11D-1835-10	chr1	124737001	124779000	16	-3.427265
TCGA-CA-6717-01A-11D-1835-10	chr1	124780001	125176000	238	0.077357
TCGA-CA-6717-01A-11D-1835-10	chr1	125176001	125184000	8	-2.983242
TCGA-CA-6717-01A-11D-1835-10	chr1	125184001	143216000	22	-0.670110
TCGA-CA-6717-01A-11D-1835-10	chr1	143216001	143738000	254	-0.091909
TCGA-CA-6717-01A-11D-1835-10	chr1	143742001	145686000	311	-0.447454
TCGA-CA-6717-01A-11D-1835-10	chr1	145686001	146059000	358	-0.030124
TCGA-CA-6717-01A-11D-1835-10	chr1	146059001	146549000	52	-0.720166
TCGA-CA-6717-01A-11D-1835-10	chr1	146551001	147005000	121	-0.529900
TCGA-CA-6717-01A-11D-1835-10	chr1	147005001	147926000	912	-0.014553
TCGA-CA-6717-01A-11D-1835-10	chr1	147926001	149818000	455	-0.228019
TCGA-CA-6717-01A-11D-1835-10	chr1	149843001	189357000	39094	-0.018157
TCGA-CA-6717-01A-11D-1835-10	chr1	189357001	189575000	216	-1.006175
TCGA-CA-6717-01A-11D-1835-10	chr1	189575001	222477000	32391	-0.018882
TCGA-CA-6717-01A-11D-1835-10	chr1	222477001	222521000	28	-0.500633
TCGA-CA-6717-01A-11D-1835-10	chr1	222521001	223887000	1304	-0.021858
TCGA-CA-6717-01A-11D-1835-10	chr1	223887001	224041000	99	-0.391602
TCGA-CA-6717-01A-11D-1835-10	chr1	224041001	242976000	18730	-0.020068
TCGA-CA-6717-01A-11D-1835-10	chr1	242976001	243099000	95	-0.486018
TCGA-CA-6717-01A-11D-1835-10	chr1	243099001	248931000	5645	-0.017915
TCGA-CA-6717-01A-11D-1835-10	chr2	11001	87138000	86292	-0.016916
TCGA-CA-6717-01A-11D-1835-10	chr2	87143001	87399000	78	-1.272344
TCGA-CA-6717-01A-11D-1835-10	chr2	87399001	87406000	7	-0.288809
TCGA-CA-6717-01A-11D-1835-10	chr2	87406001	87431000	12	-2.988551
TCGA-CA-6717-01A-11D-1835-10	chr2	87431001	87720000	75	-1.483178
TCGA-CA-6717-01A-11D-1835-10	chr2	87736001	88982000	1004	-0.048207
TCGA-CA-6717-01A-11D-1835-10	chr2	88982001	89262000	211	-0.375461
TCGA-CA-6717-01A-11D-1835-10	chr2	89270001	89664000	72	-0.616711
TCGA-CA-6717-01A-11D-1835-10	chr2	89664001	91423000	418	-0.161838
TCGA-CA-6717-01A-11D-1835-10	chr2	91423001	91504000	68	-0.647606
TCGA-CA-6717-01A-11D-1835-10	chr2	91504001	91535000	13	-1.732577
TCGA-CA-6717-01A-11D-1835-10	chr2	91535001	91714000	66	-0.642074
TCGA-CA-6717-01A-11D-1835-10	chr2	91715001	92354000	263	-0.194157
TCGA-CA-6717-01A-11D-1835-10	chr2	92370001	94166000	27	-0.554222
TCGA-CA-6717-01A-11D-1835-10	chr2	94166001	97060000	2469	-0.054359
TCGA-CA-6717-01A-11D-1835-10	chr2	97060001	97551000	168	-0.148031
TCGA-CA-6717-01A-11D-1835-10	chr2	97551001	111253000	12700	-0.012547
TCGA-CA-6717-01A-11D-1835-10	chr2	111254001	111612000	114	-0.509986
TCGA-CA-6717-01A-11D-1835-10	chr2	111615001	113411000	1638	-0.022340
TCGA-CA-6717-01A-11D-1835-10	chr2	113412001	113490000	43	-0.737639
TCGA-CA-6717-01A-11D-1835-10	chr2	113499001	113508000	8	-3.156320
TCGA-CA-6717-01A-11D-1835-10	chr2	113508001	113590000	49	-0.535093
TCGA-CA-6717-01A-11D-1835-10	chr2	113591001	131440000	17257	-0.024251
TCGA-CA-6717-01A-11D-1835-10	chr2	131440001	131464000	23	-0.267725
TCGA-CA-6717-01A-11D-1835-10	chr2	131464001	132091000	605	-0.065133
TCGA-CA-6717-01A-11D-1835-10	chr2	132091001	132104000	12	-0.377976
TCGA-CA-6717-01A-11D-1835-10	chr2	132104001	150030000	17815	-0.018173
TCGA-CA-6717-01A-11D-1835-10	chr2	150030001	236354000	85702	-0.010172
TCGA-CA-6717-01A-11D-1835-10	chr2	236354001	236358000	4	-0.422296
TCGA-CA-6717-01A-11D-1835-10	chr2	236359001	242159000	5683	-0.008944
TCGA-CA-6717-01A-11D-1835-10	chr3	12001	3439000	3398	0.006317
TCGA-CA-6717-01A-11D-1835-10	chr3	3439001	3443000	4	-1.153432
TCGA-CA-6717-01A-11D-1835-10	chr3	3443001	34701000	31090	0.013163
TCGA-CA-6717-01A-11D-1835-10	chr3	34701001	34707000	6	-0.438561
TCGA-CA-6717-01A-11D-1835-10	chr3	34707001	60327000	25510	0.009666
TCGA-CA-6717-01A-11D-1835-10	chr3	60327001	60390000	63	-0.346700
TCGA-CA-6717-01A-11D-1835-10	chr3	60390001	60626000	236	-0.296357
TCGA-CA-6717-01A-11D-1835-10	chr3	60626001	175078000	110807	0.012537
TCGA-CA-6717-01A-11D-1835-10	chr3	175078001	175134000	55	-0.158052
TCGA-CA-6717-01A-11D-1835-10	chr3	175134001	198175000	22760	0.012117
TCGA-CA-6717-01A-11D-1835-10	chr4	15001	67000	24	-1.184828
TCGA-CA-6717-01A-11D-1835-10	chr4	68001	2058000	1948	0.028587
TCGA-CA-6717-01A-11D-1835-10	chr4	2058001	2062000	4	-1.208493
TCGA-CA-6717-01A-11D-1835-10	chr4	2062001	34778000	32157	-0.023109
TCGA-CA-6717-01A-11D-1835-10	chr4	34778001	34827000	49	-0.842265
TCGA-CA-6717-01A-11D-1835-10	chr4	34827001	43450000	8600	-0.012037
TCGA-CA-6717-01A-11D-1835-10	chr4	43451001	43454000	3	-0.080060
TCGA-CA-6717-01A-11D-1835-10	chr4	43454001	49092000	5603	-0.015927
TCGA-CA-6717-01A-11D-1835-10	chr4	49092001	49170000	66	0.183479
TCGA-CA-6717-01A-11D-1835-10	chr4	49172001	49712000	233	-0.230332
TCGA-CA-6717-01A-11D-1835-10	chr4	50662001	69264000	17119	-0.020485
TCGA-CA-6717-01A-11D-1835-10	chr4	69264001	69365000	98	0.384935
TCGA-CA-6717-01A-11D-1835-10	chr4	69365001	79439000	10009	0.001936
