GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d05cd935-6150-4d5a-962c-ba746db0413d	1	3301765	5135311	1293	-0.0167
d05cd935-6150-4d5a-962c-ba746db0413d	1	5135322	23631293	10163	0.0284
d05cd935-6150-4d5a-962c-ba746db0413d	1	23632431	23633123	2	-1.7737
d05cd935-6150-4d5a-962c-ba746db0413d	1	23634378	44828899	11032	0.0109
d05cd935-6150-4d5a-962c-ba746db0413d	1	44833378	48551763	1887	0.0506
d05cd935-6150-4d5a-962c-ba746db0413d	1	48554121	55932054	4056	0.0003
d05cd935-6150-4d5a-962c-ba746db0413d	1	55932364	68517991	9183	-0.014
d05cd935-6150-4d5a-962c-ba746db0413d	1	68517995	77127401	4787	-0.0654
d05cd935-6150-4d5a-962c-ba746db0413d	1	77131426	79101955	954	-0.0036
d05cd935-6150-4d5a-962c-ba746db0413d	1	79102450	83124400	2587	-0.0985
d05cd935-6150-4d5a-962c-ba746db0413d	1	83124649	87571805	2825	-0.0098
d05cd935-6150-4d5a-962c-ba746db0413d	1	87573370	88512684	705	-0.0721
d05cd935-6150-4d5a-962c-ba746db0413d	1	88513764	95610081	4279	-0.0023
d05cd935-6150-4d5a-962c-ba746db0413d	1	95610114	99505586	2315	-0.0751
d05cd935-6150-4d5a-962c-ba746db0413d	1	99505874	101498210	1256	-0.0154
d05cd935-6150-4d5a-962c-ba746db0413d	1	101498301	106698380	2580	-0.0754
d05cd935-6150-4d5a-962c-ba746db0413d	1	106699474	107672688	734	0.0152
d05cd935-6150-4d5a-962c-ba746db0413d	1	107675635	107675654	2	-2.1936
d05cd935-6150-4d5a-962c-ba746db0413d	1	107676065	174574509	22903	-0.0006
d05cd935-6150-4d5a-962c-ba746db0413d	1	174574833	177495875	1532	-0.0494
d05cd935-6150-4d5a-962c-ba746db0413d	1	177495895	184377912	4617	-0.0076
d05cd935-6150-4d5a-962c-ba746db0413d	1	184377962	199613109	8905	-0.0669
d05cd935-6150-4d5a-962c-ba746db0413d	1	199613684	214818267	10162	-0.0033
d05cd935-6150-4d5a-962c-ba746db0413d	1	214818283	222047359	4931	-0.0599
d05cd935-6150-4d5a-962c-ba746db0413d	1	222054276	237161500	9524	-0.0119
d05cd935-6150-4d5a-962c-ba746db0413d	1	237162155	247650984	6552	-0.0494
d05cd935-6150-4d5a-962c-ba746db0413d	2	480597	7909319	4531	-0.0646
d05cd935-6150-4d5a-962c-ba746db0413d	2	7909850	11955893	2730	0.0159
d05cd935-6150-4d5a-962c-ba746db0413d	2	11957234	18899633	4763	-0.0485
d05cd935-6150-4d5a-962c-ba746db0413d	2	18899979	21579046	1837	-0.0063
d05cd935-6150-4d5a-962c-ba746db0413d	2	21580695	22960350	774	-0.0867
d05cd935-6150-4d5a-962c-ba746db0413d	2	22960779	34101578	5960	-0.0141
d05cd935-6150-4d5a-962c-ba746db0413d	2	34101871	35539348	723	-0.0868
d05cd935-6150-4d5a-962c-ba746db0413d	2	35539907	40218978	2438	-0.0019
d05cd935-6150-4d5a-962c-ba746db0413d	2	40223105	41710518	887	-0.0544
