GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ea9710ab-a070-4abe-b261-92874d78bf2b	1	62920	901366	56	0.1323
ea9710ab-a070-4abe-b261-92874d78bf2b	1	901705	3305549	688	-0.1321
ea9710ab-a070-4abe-b261-92874d78bf2b	1	3305770	3408473	63	0.0365
ea9710ab-a070-4abe-b261-92874d78bf2b	1	3409529	3410232	3	-1.0115
ea9710ab-a070-4abe-b261-92874d78bf2b	1	3410239	15827002	7531	0.0013
ea9710ab-a070-4abe-b261-92874d78bf2b	1	15827041	15827430	5	1.192
ea9710ab-a070-4abe-b261-92874d78bf2b	1	15827706	16864367	360	0.0203
ea9710ab-a070-4abe-b261-92874d78bf2b	1	16868660	16935752	53	-0.4851
ea9710ab-a070-4abe-b261-92874d78bf2b	1	16949746	18915410	1461	0.0044
ea9710ab-a070-4abe-b261-92874d78bf2b	1	18915849	18922622	4	-1.609
ea9710ab-a070-4abe-b261-92874d78bf2b	1	18923932	61647430	25263	0.0089
ea9710ab-a070-4abe-b261-92874d78bf2b	1	61648334	61652515	4	-1.469
ea9710ab-a070-4abe-b261-92874d78bf2b	1	61654137	67525427	4330	-0.0018
ea9710ab-a070-4abe-b261-92874d78bf2b	1	67526399	67527394	3	-1.7153
ea9710ab-a070-4abe-b261-92874d78bf2b	1	67528099	70531759	1861	0.0046
ea9710ab-a070-4abe-b261-92874d78bf2b	1	70532128	70532262	2	-1.4449
ea9710ab-a070-4abe-b261-92874d78bf2b	1	70533103	72284670	1091	0.0039
ea9710ab-a070-4abe-b261-92874d78bf2b	1	72290430	72297687	9	-1.1854
ea9710ab-a070-4abe-b261-92874d78bf2b	1	72302735	103697067	20091	0.0044
ea9710ab-a070-4abe-b261-92874d78bf2b	1	103697364	103760781	4	1.0554
ea9710ab-a070-4abe-b261-92874d78bf2b	1	103760879	105476583	918	-0.0038
ea9710ab-a070-4abe-b261-92874d78bf2b	1	105476614	105479753	16	-2.3266
ea9710ab-a070-4abe-b261-92874d78bf2b	1	105481433	109690352	2637	0.0074
ea9710ab-a070-4abe-b261-92874d78bf2b	1	109690415	109697556	12	1.9335
ea9710ab-a070-4abe-b261-92874d78bf2b	1	109702376	110828115	832	-0.0212
ea9710ab-a070-4abe-b261-92874d78bf2b	1	110831471	110836788	19	0.4857
ea9710ab-a070-4abe-b261-92874d78bf2b	1	110836933	121593930	6282	0.0057
ea9710ab-a070-4abe-b261-92874d78bf2b	1	121597150	143748012	102	0.3129
ea9710ab-a070-4abe-b261-92874d78bf2b	1	143748074	143754798	18	0.8926
ea9710ab-a070-4abe-b261-92874d78bf2b	1	143759680	144432313	14	0.3087
ea9710ab-a070-4abe-b261-92874d78bf2b	1	144442092	146150530	178	0.0744
ea9710ab-a070-4abe-b261-92874d78bf2b	1	146161924	146174153	2	-2.8207
ea9710ab-a070-4abe-b261-92874d78bf2b	1	146250588	152583051	2134	0.0471
ea9710ab-a070-4abe-b261-92874d78bf2b	1	152583230	152614064	33	-2.3844
ea9710ab-a070-4abe-b261-92874d78bf2b	1	152614100	152787202	169	0.0068
ea9710ab-a070-4abe-b261-92874d78bf2b	1	152789447	152796224	37	-0.4571
ea9710ab-a070-4abe-b261-92874d78bf2b	1	152801429	158896783	3614	0.0159
ea9710ab-a070-4abe-b261-92874d78bf2b	1	158898711	158899969	2	3.611
ea9710ab-a070-4abe-b261-92874d78bf2b	1	158905028	189679027	21114	0.006
ea9710ab-a070-4abe-b261-92874d78bf2b	1	189679353	189679397	2	1.3007
ea9710ab-a070-4abe-b261-92874d78bf2b	1	189682917	196745743	4737	0.0029
ea9710ab-a070-4abe-b261-92874d78bf2b	1	196758720	196762956	4	1.2864
ea9710ab-a070-4abe-b261-92874d78bf2b	1	196769493	196832720	54	0.3178
ea9710ab-a070-4abe-b261-92874d78bf2b	1	196843377	199138574	1376	-0.0101
ea9710ab-a070-4abe-b261-92874d78bf2b	1	199142235	199143883	8	-0.9694
ea9710ab-a070-4abe-b261-92874d78bf2b	1	199144712	209897717	7405	0.0069
ea9710ab-a070-4abe-b261-92874d78bf2b	1	209908268	209910639	3	1.1418
ea9710ab-a070-4abe-b261-92874d78bf2b	1	209913207	242885438	23237	0.0026
ea9710ab-a070-4abe-b261-92874d78bf2b	1	242889755	243182604	95	0.2103
ea9710ab-a070-4abe-b261-92874d78bf2b	1	243187175	248546369	3526	0.0285
ea9710ab-a070-4abe-b261-92874d78bf2b	1	248550567	248645808	37	-0.8592
ea9710ab-a070-4abe-b261-92874d78bf2b	1	248646068	248930189	139	0.0236
ea9710ab-a070-4abe-b261-92874d78bf2b	2	12784	4168862	2992	-0.0228
ea9710ab-a070-4abe-b261-92874d78bf2b	2	4168879	4176105	34	0.3589
ea9710ab-a070-4abe-b261-92874d78bf2b	2	4176135	14563570	8017	0.0006
ea9710ab-a070-4abe-b261-92874d78bf2b	2	14564825	14569968	12	-0.9568
ea9710ab-a070-4abe-b261-92874d78bf2b	2	14570240	20617913	4519	-0.0019
ea9710ab-a070-4abe-b261-92874d78bf2b	2	20618017	20618052	2	-1.6135
