GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
003dbdff-c9a6-4253-8792-471a5c9478e9	1	62920	1275810	143	-0.0116
003dbdff-c9a6-4253-8792-471a5c9478e9	1	1275912	3086742	508	0.0955
003dbdff-c9a6-4253-8792-471a5c9478e9	1	3086924	12779433	5841	0.005
003dbdff-c9a6-4253-8792-471a5c9478e9	1	12792599	12797714	2	-1.1528
003dbdff-c9a6-4253-8792-471a5c9478e9	1	12797904	12807374	13	-0.0968
003dbdff-c9a6-4253-8792-471a5c9478e9	1	12807507	12867264	16	-0.6
003dbdff-c9a6-4253-8792-471a5c9478e9	1	12868035	13778803	242	-0.0097
003dbdff-c9a6-4253-8792-471a5c9478e9	1	13778888	13782619	2	-1.2628
003dbdff-c9a6-4253-8792-471a5c9478e9	1	13786254	14730074	800	0.0003
003dbdff-c9a6-4253-8792-471a5c9478e9	1	14733135	14741078	6	-0.6271
003dbdff-c9a6-4253-8792-471a5c9478e9	1	14741704	15823420	768	0.0139
003dbdff-c9a6-4253-8792-471a5c9478e9	1	15827002	15827430	6	-2.0075
003dbdff-c9a6-4253-8792-471a5c9478e9	1	15827706	16504088	297	-0.0125
003dbdff-c9a6-4253-8792-471a5c9478e9	1	16504325	16679281	37	0.3085
003dbdff-c9a6-4253-8792-471a5c9478e9	1	16679483	16686246	3	-0.8261
003dbdff-c9a6-4253-8792-471a5c9478e9	1	16689764	16868660	24	0.4636
003dbdff-c9a6-4253-8792-471a5c9478e9	1	16877002	16935393	50	-0.3939
003dbdff-c9a6-4253-8792-471a5c9478e9	1	16935737	25256850	5263	0.0001
003dbdff-c9a6-4253-8792-471a5c9478e9	1	25266637	25320198	22	0.7452
003dbdff-c9a6-4253-8792-471a5c9478e9	1	25320253	27022452	723	0.0122
003dbdff-c9a6-4253-8792-471a5c9478e9	1	27034728	27049799	8	0.0994
003dbdff-c9a6-4253-8792-471a5c9478e9	1	27051821	27053461	5	0.6314
003dbdff-c9a6-4253-8792-471a5c9478e9	1	27054388	30258675	1647	-0.0035
003dbdff-c9a6-4253-8792-471a5c9478e9	1	30258730	30266949	12	-0.6675
003dbdff-c9a6-4253-8792-471a5c9478e9	1	30268649	34626073	2557	0.0016
003dbdff-c9a6-4253-8792-471a5c9478e9	1	34637053	34638890	20	-0.4632
003dbdff-c9a6-4253-8792-471a5c9478e9	1	34648667	59580430	15031	0.0021
003dbdff-c9a6-4253-8792-471a5c9478e9	1	59586394	59592607	2	-1.2296
003dbdff-c9a6-4253-8792-471a5c9478e9	1	59593034	65387966	4209	0.0045
003dbdff-c9a6-4253-8792-471a5c9478e9	1	65389172	65490042	66	0.637
003dbdff-c9a6-4253-8792-471a5c9478e9	1	65491255	72302815	4453	-0.0022
003dbdff-c9a6-4253-8792-471a5c9478e9	1	72303233	72345465	46	-1.32
003dbdff-c9a6-4253-8792-471a5c9478e9	1	72346221	81171201	5576	0.0047
003dbdff-c9a6-4253-8792-471a5c9478e9	1	81173488	81174024	3	-1.0321
003dbdff-c9a6-4253-8792-471a5c9478e9	1	81174735	103616762	14436	-0.0011
003dbdff-c9a6-4253-8792-471a5c9478e9	1	103620877	103697364	4	1.087
003dbdff-c9a6-4253-8792-471a5c9478e9	1	103717410	105476748	923	0.0117
003dbdff-c9a6-4253-8792-471a5c9478e9	1	105476861	105479753	13	0.6693
003dbdff-c9a6-4253-8792-471a5c9478e9	1	105481433	112153465	4599	0.0017
003dbdff-c9a6-4253-8792-471a5c9478e9	1	112153571	112154591	20	-0.4082
003dbdff-c9a6-4253-8792-471a5c9478e9	1	112154619	121573699	5155	-0.0044
003dbdff-c9a6-4253-8792-471a5c9478e9	1	121580012	147215930	447	0.1124
003dbdff-c9a6-4253-8792-471a5c9478e9	1	147216069	152575558	1986	0.0105
003dbdff-c9a6-4253-8792-471a5c9478e9	1	152575695	152618018	50	0.3469
003dbdff-c9a6-4253-8792-471a5c9478e9	1	152618089	152789809	172	-0.0241
003dbdff-c9a6-4253-8792-471a5c9478e9	1	152789918	152795805	26	-0.2899
003dbdff-c9a6-4253-8792-471a5c9478e9	1	152795862	153366548	464	0.0192
003dbdff-c9a6-4253-8792-471a5c9478e9	1	153368173	153368348	2	1.5314
003dbdff-c9a6-4253-8792-471a5c9478e9	1	153371898	155210675	880	0.0261
003dbdff-c9a6-4253-8792-471a5c9478e9	1	155219369	155231273	11	1.4392
003dbdff-c9a6-4253-8792-471a5c9478e9	1	155241876	196745692	28101	0.0008
