GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	3301765	7492401	2719	-0.0194
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	7492530	7511538	3	-2.0349
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	7511749	48889968	21786	-0.0128
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	48892229	49360721	232	-0.6906
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	49365453	237483057	98295	-0.0004
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	237483069	244015110	4640	-0.0535
57b31ff8-bd42-47d3-b560-0d5c18c571c2	1	244015525	247650984	1636	-0.0163
57b31ff8-bd42-47d3-b560-0d5c18c571c2	2	480597	6936281	3864	-0.0406
57b31ff8-bd42-47d3-b560-0d5c18c571c2	2	6936291	6964035	32	-1.0399
57b31ff8-bd42-47d3-b560-0d5c18c571c2	2	6965025	235468915	124327	-0.0084
57b31ff8-bd42-47d3-b560-0d5c18c571c2	2	235470184	235499319	25	-0.8825
57b31ff8-bd42-47d3-b560-0d5c18c571c2	2	235508014	241537572	3533	-0.0243
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	2170634	59530093	33349	-0.0059
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	59533649	59720118	185	0.4875
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	61040294	61163406	133	0.0066
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	61164294	61204720	44	-0.7084
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	61220164	174868727	61389	-0.006
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	174869282	174920962	28	-0.8991
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	174922478	175087178	99	0.0157
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	175090139	175126620	30	-1.9164
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	175136723	175175985	25	-0.7697
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	175176193	188359370	6842	-0.0011
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	188359385	188362460	3	-2.3312
57b31ff8-bd42-47d3-b560-0d5c18c571c2	3	188362681	197812401	4772	-0.0014
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	1059384	2519134	529	-0.0259
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	2617604	2910413	136	-0.779
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	2910884	2929137	13	-0.003
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	2929828	2949172	10	-0.8787
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	2953418	91395043	50196	-0.0055
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	91397371	91452571	27	-0.738
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	91452878	132901275	22654	-0.009
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	132901652	132905112	6	-1.5796
57b31ff8-bd42-47d3-b560-0d5c18c571c2	4	132905330	187842528	29672	-0.0124
57b31ff8-bd42-47d3-b560-0d5c18c571c2	5	913983	51401844	26381	-0.0236
57b31ff8-bd42-47d3-b560-0d5c18c571c2	5	51401923	51408735	4	-1.7106
57b31ff8-bd42-47d3-b560-0d5c18c571c2	5	51409200	60247097	5682	0.0191
57b31ff8-bd42-47d3-b560-0d5c18c571c2	5	60250022	60402847	88	-0.7012
57b31ff8-bd42-47d3-b560-0d5c18c571c2	5	60407975	180934240	68688	-0.0037
57b31ff8-bd42-47d3-b560-0d5c18c571c2	6	1011760	148411209	83826	-0.0009
57b31ff8-bd42-47d3-b560-0d5c18c571c2	6	148413973	148566527	119	-0.7619
57b31ff8-bd42-47d3-b560-0d5c18c571c2	6	148571473	170596889	12972	-0.0227
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	664936	13299657	5760	-0.0018
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	13301785	13396435	58	0.696
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	13396921	23793605	6325	0.0185
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	23800396	23816618	4	2.0797
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	23818957	55431365	20791	0.0178
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	55431898	76299806	5481	-0.0315
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	76301357	110910485	18018	0.0089
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	110910569	111001153	45	-0.7709
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	111001863	155927109	23863	0.0051
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	155927159	156236884	208	-0.853
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	156236973	157546895	746	0.0524
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	157547419	157558146	4	1.4106
57b31ff8-bd42-47d3-b560-0d5c18c571c2	7	157559061	158592540	440	0.0084
57b31ff8-bd42-47d3-b560-0d5c18c571c2	8	667625	144182542	82001	-0.0118
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	789794	22548708	13986	-0.0074
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	22550742	22565073	3	-2.0468
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	22565119	27335567	2929	-0.0215
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	27335829	27335839	2	-2.5406
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	27336209	98223304	26644	-0.0025
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	98223445	98225561	2	-2.6848
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	98225785	113134569	9808	0.0063
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	113135373	113135523	2	-2.5908
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	113137037	126081887	8847	-0.0122
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	126083208	126084054	5	-1.7488
57b31ff8-bd42-47d3-b560-0d5c18c571c2	9	126084525	138044505	6028	-0.0156
57b31ff8-bd42-47d3-b560-0d5c18c571c2	10	366509	133411599	80990	-0.0063
57b31ff8-bd42-47d3-b560-0d5c18c571c2	11	456012	74523493	38936	-0.0053
57b31ff8-bd42-47d3-b560-0d5c18c571c2	11	74524446	74525848	2	-2.6665
57b31ff8-bd42-47d3-b560-0d5c18c571c2	11	74530806	134272740	38411	-0.0119
57b31ff8-bd42-47d3-b560-0d5c18c571c2	12	780472	132605822	74295	0.494
57b31ff8-bd42-47d3-b560-0d5c18c571c2	13	18874255	54312409	21373	-0.0074
57b31ff8-bd42-47d3-b560-0d5c18c571c2	13	54326057	80851534	14607	0.0714
57b31ff8-bd42-47d3-b560-0d5c18c571c2	13	80852657	94330093	7931	0.0379
57b31ff8-bd42-47d3-b560-0d5c18c571c2	13	94331956	114226675	12920	0.0802
57b31ff8-bd42-47d3-b560-0d5c18c571c2	14	20033191	77563690	32496	-0.003
57b31ff8-bd42-47d3-b560-0d5c18c571c2	14	77564136	77569049	3	-2.268
57b31ff8-bd42-47d3-b560-0d5c18c571c2	14	77569276	105533894	17163	-0.0255
57b31ff8-bd42-47d3-b560-0d5c18c571c2	15	23437561	101344124	44635	0.0002
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	603333	78400796	33648	-0.0094
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	78402711	78408201	10	-0.8553
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	78409935	78467817	64	-0.0115
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	78468492	78674912	262	-0.8737
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	78677693	78695727	31	-3.676
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	78701441	79139851	280	-0.1248
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	79141285	79285403	153	0.4614
57b31ff8-bd42-47d3-b560-0d5c18c571c2	16	79286772	89317317	6607	-0.0087
57b31ff8-bd42-47d3-b560-0d5c18c571c2	17	1074619	11253150	5387	-0.0216
57b31ff8-bd42-47d3-b560-0d5c18c571c2	17	11253177	11253225	2	-2.8482
