GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	3301765	6199070	1982	-0.5225
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	6201763	6396412	81	0.0175
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	6401571	111847567	60895	-0.4972
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	111849687	116287675	2908	0.021
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	116289270	116291483	7	-1.0301
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	116295203	118171325	1142	0.0328
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	118172283	156992704	4397	0.1049
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	156993061	186235759	19360	0.1314
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	186235811	208932621	13880	0.1031
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	208933002	208991140	44	0.5622
95964d58-2d3f-44b6-a2da-9ba9aa387410	1	208993222	247650984	25032	0.1213
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	480597	6440513	3507	0.0583
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	6440613	62502539	33293	0.0972
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	62514032	62533097	13	-0.4024
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	62537112	139168245	36142	0.0949
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	139170416	147146541	4592	0.0638
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	147157161	239219800	53387	0.1011
95964d58-2d3f-44b6-a2da-9ba9aa387410	2	239224388	241537572	1321	0.0713
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	2170634	28996201	15860	0.1092
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	28996762	37834574	5605	0.1378
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	37834642	44392768	3820	0.1152
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	44394261	74251743	18043	-0.5009
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	74260340	98678664	10361	0.1057
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	98688460	98688556	4	-0.8886
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	98698130	175032370	41775	0.1134
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	175035329	175041873	11	-0.6282
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	175046181	178239226	1403	0.1218
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	178241865	181262354	1703	0.0729
95964d58-2d3f-44b6-a2da-9ba9aa387410	3	181266196	197812401	8629	0.1169
95964d58-2d3f-44b6-a2da-9ba9aa387410	4	1059384	9652366	4339	-0.543
95964d58-2d3f-44b6-a2da-9ba9aa387410	4	9657770	23911956	9918	-0.4976
95964d58-2d3f-44b6-a2da-9ba9aa387410	4	23913531	27939673	2656	-0.2791
95964d58-2d3f-44b6-a2da-9ba9aa387410	4	27942360	34763973	3998	-0.3252
95964d58-2d3f-44b6-a2da-9ba9aa387410	4	34839742	36105872	748	-0.2951
95964d58-2d3f-44b6-a2da-9ba9aa387410	4	36106188	187842528	81820	-0.4974
95964d58-2d3f-44b6-a2da-9ba9aa387410	5	913983	2510462	634	0.1153
