GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3667-01A-01D-A91V-36	chr1	17001	7863000	6880	-0.032927
TCGA-AA-3667-01A-01D-A91V-36	chr1	7863001	8135000	271	-0.735909
TCGA-AA-3667-01A-01D-A91V-36	chr1	8135001	8833000	696	-0.740978
TCGA-AA-3667-01A-01D-A91V-36	chr1	8833001	8860000	27	-0.745626
TCGA-AA-3667-01A-01D-A91V-36	chr1	8860001	13007000	4014	0.006897
TCGA-AA-3667-01A-01D-A91V-36	chr1	13056001	13111000	10	-1.131454
TCGA-AA-3667-01A-01D-A91V-36	chr1	13111001	16512000	3214	-0.006003
TCGA-AA-3667-01A-01D-A91V-36	chr1	16512001	16615000	70	-0.122918
TCGA-AA-3667-01A-01D-A91V-36	chr1	16615001	16632000	17	-0.288140
TCGA-AA-3667-01A-01D-A91V-36	chr1	16632001	16949000	177	-0.441076
TCGA-AA-3667-01A-01D-A91V-36	chr1	16949001	22898000	5923	0.007060
TCGA-AA-3667-01A-01D-A91V-36	chr1	22898001	22990000	92	-0.756152
TCGA-AA-3667-01A-01D-A91V-36	chr1	22990001	23390000	400	-0.729951
TCGA-AA-3667-01A-01D-A91V-36	chr1	23390001	23420000	30	-0.728838
TCGA-AA-3667-01A-01D-A91V-36	chr1	23420001	23584000	164	-0.741495
TCGA-AA-3667-01A-01D-A91V-36	chr1	23584001	23622000	38	-0.699338
TCGA-AA-3667-01A-01D-A91V-36	chr1	23622001	24168000	543	-0.737721
TCGA-AA-3667-01A-01D-A91V-36	chr1	24168001	24211000	43	-0.687099
TCGA-AA-3667-01A-01D-A91V-36	chr1	24211001	24254000	43	-0.733899
TCGA-AA-3667-01A-01D-A91V-36	chr1	24254001	25006000	746	-0.745547
TCGA-AA-3667-01A-01D-A91V-36	chr1	25006001	25025000	19	-0.756184
TCGA-AA-3667-01A-01D-A91V-36	chr1	25025001	25033000	8	-0.755718
TCGA-AA-3667-01A-01D-A91V-36	chr1	25033001	25068000	35	-0.798594
TCGA-AA-3667-01A-01D-A91V-36	chr1	25068001	25505000	348	-0.737942
TCGA-AA-3667-01A-01D-A91V-36	chr1	25505001	25558000	50	-0.738301
TCGA-AA-3667-01A-01D-A91V-36	chr1	25558001	28001000	2433	-0.748066
TCGA-AA-3667-01A-01D-A91V-36	chr1	28001001	28086000	85	-0.702732
TCGA-AA-3667-01A-01D-A91V-36	chr1	28086001	28102000	15	-0.731061
TCGA-AA-3667-01A-01D-A91V-36	chr1	28102001	28132000	30	-0.776619
