GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr1	61735	15987560	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr1	15988231	16559698	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr1	16561572	248930189	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr2	12784	185667108	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr2	185667573	186082748	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr2	186083167	235654681	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr2	235657781	235932397	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr2	235935436	242147305	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr3	18667	198169247	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	12281	94975252	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	94976378	95535399	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	95535399	96182505	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	96182975	98067568	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	98067919	110482684	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	110483341	112335806	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	112340512	140183239	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	140183561	141127393	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr4	141127619	190106768	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr5	15532	181363319	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr6	149661	170741917	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr7	43259	159334314	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr8	81254	145072769	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr9	46587	138200944	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr10	26823	771086	2	2	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr10	772838	133769379	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr11	198572	135074876	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr12	51460	75537430	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr12	75539175	75858982	3	2	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr12	75859139	133201603	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr13	18452809	114342922	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr14	18225647	106877229	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr15	19811075	101928837	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	10777	6441125	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	6441191	6689666	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	6694218	6760811	0	0	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	6761304	6900106	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	6900274	7031750	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	7031767	7219560	1	1	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr16	7222559	90221127	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr17	150733	43338154	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr17	43340919	83090856	2	2	0
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr18	48133	80257174	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr19	90910	58586487	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr20	80664	64324800	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr21	10336543	46677045	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chr22	15294545	50796027	2	1	1
49ebf706-3bd8-40c4-b573-d866c5a4a914	chrX	251810	156004181	3	2	1
