GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CA-5255-01A-11D-A91X-36	chr1	17001	2689000	1817	-0.160302
TCGA-CA-5255-01A-11D-A91X-36	chr1	2752001	13122000	10092	-0.154540
TCGA-CA-5255-01A-11D-A91X-36	chr1	13170001	13247000	26	-0.700771
TCGA-CA-5255-01A-11D-A91X-36	chr1	13247001	16602000	3235	-0.152987
TCGA-CA-5255-01A-11D-A91X-36	chr1	16602001	16632000	29	0.216915
TCGA-CA-5255-01A-11D-A91X-36	chr1	16632001	16949000	177	0.245735
TCGA-CA-5255-01A-11D-A91X-36	chr1	16949001	49041000	31827	-0.144308
TCGA-CA-5255-01A-11D-A91X-36	chr1	49041001	121775000	70460	-0.219291
TCGA-CA-5255-01A-11D-A91X-36	chr1	121775001	125026000	409	0.019906
TCGA-CA-5255-01A-11D-A91X-36	chr1	125026001	125046000	20	0.766741
TCGA-CA-5255-01A-11D-A91X-36	chr1	125046001	125168000	119	0.141529
TCGA-CA-5255-01A-11D-A91X-36	chr1	125168001	143254000	66	-0.312455
TCGA-CA-5255-01A-11D-A91X-36	chr1	143254001	143744000	225	0.204847
TCGA-CA-5255-01A-11D-A91X-36	chr1	143745001	143755000	10	0.545830
TCGA-CA-5255-01A-11D-A91X-36	chr1	143756001	152635000	4907	0.165763
TCGA-CA-5255-01A-11D-A91X-36	chr1	152635001	152746000	111	0.185041
TCGA-CA-5255-01A-11D-A91X-36	chr1	152746001	159613000	6805	0.157243
TCGA-CA-5255-01A-11D-A91X-36	chr1	159613001	160728000	1113	0.173254
TCGA-CA-5255-01A-11D-A91X-36	chr1	160728001	160783000	55	0.181022
TCGA-CA-5255-01A-11D-A91X-36	chr1	160783001	161969000	1097	0.164740
TCGA-CA-5255-01A-11D-A91X-36	chr1	161969001	166807000	4814	0.159832
TCGA-CA-5255-01A-11D-A91X-36	chr1	166807001	168727000	1914	0.180095
TCGA-CA-5255-01A-11D-A91X-36	chr1	168727001	171163000	2407	0.180380
TCGA-CA-5255-01A-11D-A91X-36	chr1	171163001	171766000	600	0.155636
TCGA-CA-5255-01A-11D-A91X-36	chr1	171766001	172450000	682	0.177861
TCGA-CA-5255-01A-11D-A91X-36	chr1	172450001	175634000	3148	0.170934
TCGA-CA-5255-01A-11D-A91X-36	chr1	175634001	177610000	1963	0.145799
TCGA-CA-5255-01A-11D-A91X-36	chr1	177610001	178069000	457	0.168498
TCGA-CA-5255-01A-11D-A91X-36	chr1	178069001	179950000	1871	0.173045
TCGA-CA-5255-01A-11D-A91X-36	chr1	179950001	189314000	9304	0.171574
TCGA-CA-5255-01A-11D-A91X-36	chr1	189314001	189581000	265	0.154537
TCGA-CA-5255-01A-11D-A91X-36	chr1	189581001	191889000	2302	0.158108
TCGA-CA-5255-01A-11D-A91X-36	chr1	191889001	192693000	798	0.166834
TCGA-CA-5255-01A-11D-A91X-36	chr1	192693001	194190000	1487	0.184607
TCGA-CA-5255-01A-11D-A91X-36	chr1	194190001	194945000	749	0.175404
TCGA-CA-5255-01A-11D-A91X-36	chr1	194945001	195190000	245	0.156373
TCGA-CA-5255-01A-11D-A91X-36	chr1	195190001	195966000	772	0.168315
TCGA-CA-5255-01A-11D-A91X-36	chr1	195966001	199728000	3650	0.172202
TCGA-CA-5255-01A-11D-A91X-36	chr1	199728001	200738000	1010	0.159370
TCGA-CA-5255-01A-11D-A91X-36	chr1	200738001	209828000	8797	0.168135
TCGA-CA-5255-01A-11D-A91X-36	chr1	209828001	210417000	576	0.173529
TCGA-CA-5255-01A-11D-A91X-36	chr1	210417001	211201000	782	0.149395
TCGA-CA-5255-01A-11D-A91X-36	chr1	211201001	216589000	5371	0.166332
TCGA-CA-5255-01A-11D-A91X-36	chr1	216589001	217438000	847	0.135525
TCGA-CA-5255-01A-11D-A91X-36	chr1	217438001	222798000	5302	0.159537
TCGA-CA-5255-01A-11D-A91X-36	chr1	222798001	230051000	7008	0.167167
TCGA-CA-5255-01A-11D-A91X-36	chr1	230051001	230449000	396	0.146367
TCGA-CA-5255-01A-11D-A91X-36	chr1	230449001	237478000	6978	0.160231
TCGA-CA-5255-01A-11D-A91X-36	chr1	237478001	238623000	1145	0.147198
TCGA-CA-5255-01A-11D-A91X-36	chr1	238623001	238748000	123	0.163902
TCGA-CA-5255-01A-11D-A91X-36	chr1	238748001	241471000	2714	0.153837
TCGA-CA-5255-01A-11D-A91X-36	chr1	241471001	241945000	474	0.161686
TCGA-CA-5255-01A-11D-A91X-36	chr1	241945001	243023000	1065	0.130315
TCGA-CA-5255-01A-11D-A91X-36	chr1	243023001	244604000	1546	0.157666
