GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	3301765	4116046	445	0.0201
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	4117838	5690522	1272	-0.0599
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	5690854	64901879	33281	0.0099
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	64902147	64902385	3	-1.6074
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	64902716	88602632	14502	0.0186
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	88603000	88603482	3	-1.7006
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	88604250	97013449	5065	0.0202
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	97019321	109881907	7046	-0.8309
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	109883630	110633365	533	-0.9942
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	110633655	111215896	340	-0.8493
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	111215914	111216045	2	-7.4436
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	111217009	111867900	469	-0.8878
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	111868052	111911573	42	-1.4712
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	111912501	117408094	3544	-0.8889
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	117438133	197174270	30500	0.0225
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	197175589	197179206	2	-2.2804
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	197179402	206050479	5661	0.0188
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	206053799	206057416	2	-1.9221
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	206058126	223263567	11542	0.011
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	223267838	223268330	2	-1.9444
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	223268720	236684633	8446	0.0299
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	236685418	236689147	2	-2.1747
9e9dd076-fd2e-4169-be58-b26c50b75b3c	1	236689988	247650984	6966	0.0116
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	480597	22688855	14434	-0.004
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	22689630	22690202	3	-1.7814
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	22697714	56547300	18929	0.0058
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	56550874	56596418	33	-1.4551
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	56600558	117613597	28533	0.0003
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	117614252	121721047	2503	-0.0231
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	121721563	121722033	4	-1.5486
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	121724566	149536496	14284	-0.0222
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	149537223	173478207	14448	0.019
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	173479263	173479352	2	-3.3333
9e9dd076-fd2e-4169-be58-b26c50b75b3c	2	173479628	241537572	38964	0.0073
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	2170634	25454339	13857	0.0034
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	25456940	25457320	5	-1.5709
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	25457418	116761771	50082	0.0173
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	116762012	116762204	3	-2.424
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	116762567	194830213	42511	0.0234
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	194830339	194836484	2	-2.1415
9e9dd076-fd2e-4169-be58-b26c50b75b3c	3	194837368	197812401	741	0.0401
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	1059384	11465479	5777	-0.0058
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	11465808	11465928	2	-2.1062
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	11466569	67956345	32086	0.0173
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	67957382	81928049	7526	0.052
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	81928081	90895983	5342	0.0243
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	90901160	90965057	38	-0.6368
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	90977787	91365454	272	0.0085
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	91365950	91574787	50	-0.846
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	91579615	118887423	15190	0.026
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	118890580	118890962	3	-3.1011
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	118891042	168913052	27546	0.0293
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	168913977	168914173	2	-2.5221
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	168914760	183378972	7642	0.0266
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	183379780	183379867	2	-2.0623
9e9dd076-fd2e-4169-be58-b26c50b75b3c	4	183380896	187842528	2034	0.0288
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	913983	3223306	1271	-0.0314
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	3223630	3224125	3	-1.7232
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	3224502	10678169	5890	-0.0102
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	10679634	10680798	5	-1.8244
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	10680885	13464624	1380	-0.0312
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	13467790	151022235	73939	0.0225
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	151022330	156234455	3463	-0.0189
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	156234733	164703484	5404	0.0163
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	164704342	171445109	4678	-0.0323
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	171446085	171448093	2	-2.0349
9e9dd076-fd2e-4169-be58-b26c50b75b3c	5	171453322	180934240	5098	-0.0011
9e9dd076-fd2e-4169-be58-b26c50b75b3c	6	1011760	4698433	2624	0.0222
9e9dd076-fd2e-4169-be58-b26c50b75b3c	6	4700450	4700910	4	-1.6063
9e9dd076-fd2e-4169-be58-b26c50b75b3c	6	4701267	10870955	4358	0.0071
9e9dd076-fd2e-4169-be58-b26c50b75b3c	6	10871828	10872237	2	-2.2563
