GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fed12986-a8b0-47a3-ad7e-465f913b53f2	1	3301765	247650984	129793	-0.0003
fed12986-a8b0-47a3-ad7e-465f913b53f2	2	480597	180361418	97542	-0.0042
fed12986-a8b0-47a3-ad7e-465f913b53f2	2	180365671	180366188	3	-1.3058
fed12986-a8b0-47a3-ad7e-465f913b53f2	2	180368880	198588087	8823	-0.0001
fed12986-a8b0-47a3-ad7e-465f913b53f2	2	198592058	198592061	2	-1.5579
fed12986-a8b0-47a3-ad7e-465f913b53f2	2	198592360	241537572	25889	-0.0017
fed12986-a8b0-47a3-ad7e-465f913b53f2	3	2170634	80009324	46226	-0.0003
fed12986-a8b0-47a3-ad7e-465f913b53f2	3	80011199	80021657	5	-0.8344
fed12986-a8b0-47a3-ad7e-465f913b53f2	3	80023428	164234303	43821	-0.0003
fed12986-a8b0-47a3-ad7e-465f913b53f2	3	164234531	164237113	2	-1.9451
fed12986-a8b0-47a3-ad7e-465f913b53f2	3	164239330	197812401	17169	0.001
fed12986-a8b0-47a3-ad7e-465f913b53f2	4	1059384	187842528	103533	-0.0006
fed12986-a8b0-47a3-ad7e-465f913b53f2	5	913983	180934240	101163	0.0005
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	1011760	40241923	23797	0.0065
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	40244212	40253287	9	-0.8907
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	40256310	142309911	56285	0.0049
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	142312764	142321959	2	1.5326
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	142330418	149564624	4793	0.0009
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	149565632	149582493	9	0.8729
fed12986-a8b0-47a3-ad7e-465f913b53f2	6	149586404	170596889	12297	0.0032
fed12986-a8b0-47a3-ad7e-465f913b53f2	7	664936	158592540	81969	-0.0004
fed12986-a8b0-47a3-ad7e-465f913b53f2	8	667625	144182542	82254	-0.0002
fed12986-a8b0-47a3-ad7e-465f913b53f2	9	789794	138044505	68501	0.0017
fed12986-a8b0-47a3-ad7e-465f913b53f2	10	366509	43029180	26588	-0.0015
fed12986-a8b0-47a3-ad7e-465f913b53f2	10	43029253	43030294	2	-1.4051
fed12986-a8b0-47a3-ad7e-465f913b53f2	10	43030575	133411599	54738	-0.0017
fed12986-a8b0-47a3-ad7e-465f913b53f2	11	456012	1381971	275	-0.0235
fed12986-a8b0-47a3-ad7e-465f913b53f2	11	1387501	1397647	2	-1.7383
fed12986-a8b0-47a3-ad7e-465f913b53f2	11	1414149	134272740	77315	-0.0002
fed12986-a8b0-47a3-ad7e-465f913b53f2	12	780472	132605822	74372	-0.0002
fed12986-a8b0-47a3-ad7e-465f913b53f2	13	18874255	114226675	57012	0.0005
fed12986-a8b0-47a3-ad7e-465f913b53f2	14	20033191	59275709	21655	-0.005
fed12986-a8b0-47a3-ad7e-465f913b53f2	14	59280702	59281038	2	1.2907
fed12986-a8b0-47a3-ad7e-465f913b53f2	14	59281245	80410190	12957	-0.0008
fed12986-a8b0-47a3-ad7e-465f913b53f2	14	80410812	80411016	2	-1.581
fed12986-a8b0-47a3-ad7e-465f913b53f2	14	80411630	105533894	15184	-0.0019
fed12986-a8b0-47a3-ad7e-465f913b53f2	15	23437561	101344124	44804	-0.0002
fed12986-a8b0-47a3-ad7e-465f913b53f2	16	603333	77366185	32853	-0.0007
fed12986-a8b0-47a3-ad7e-465f913b53f2	16	77367023	77374262	4	1.2694
fed12986-a8b0-47a3-ad7e-465f913b53f2	16	77374483	89317317	8375	-0.0035
fed12986-a8b0-47a3-ad7e-465f913b53f2	17	1074619	82959812	37294	0.0028
fed12986-a8b0-47a3-ad7e-465f913b53f2	18	326691	79349796	42984	-0.0014
fed12986-a8b0-47a3-ad7e-465f913b53f2	19	283868	45549196	18853	0.0034
fed12986-a8b0-47a3-ad7e-465f913b53f2	19	45549855	45551665	2	1.3047
fed12986-a8b0-47a3-ad7e-465f913b53f2	19	45552094	58370362	5306	-0.0008
fed12986-a8b0-47a3-ad7e-465f913b53f2	20	472817	63588502	37570	0.002
fed12986-a8b0-47a3-ad7e-465f913b53f2	21	13974127	46262057	20608	-0.0008
fed12986-a8b0-47a3-ad7e-465f913b53f2	22	16934932	48940621	17091	0.0038
fed12986-a8b0-47a3-ad7e-465f913b53f2	X	3236359	155677414	63975	-0.0001
